, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
15,0.38756999999999997,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0286,0.034,0.01735,0.0105,0.0286,0.015,0.035,0.019,0.0285,72.0,0.049,0.48,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0012953019368479473,0.006995772147201696,0.0012971980390115393,0.006195956587428501,0.0009012067042909214,0.0007633459981952636,0.005236637152765946,0.5845843210912172
16,0.425,0.02,0.5656,0.045,72.0,0.03,0.027700000000000002,0.04,0.0365,0.023350000000000003,0.0185,0.03,0.015,0.04,0.05,0.04,67.99999999999991,0.136,0.48,0.1,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0112,0.004572264273770565,0.0005021989611482943,0.0019346099427674248,0.00730158694800967,0.009754397165798923,0.002569422451580361,0.005065241110715148,0.6582061294403003
18,0.45,0.055,0.5656,0.045,74.5,0.04,0.029200000000000004,0.045,0.0365,0.022,0.017,0.0318,0.015,0.0509,0.0504,0.0268,70.5,0.111,0.48260000000000003,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.004194212978370408,0.002595866743194278,0.004940837353444802,0.001355885939668938,0.009912618421755566,0.005457563772814515,0.0013091117229216268,0.70626485867911
19,0.4,0.0705,0.5656,0.38,75.0,0.09,0.0275,0.055,0.0365,0.046,0.013,0.0318,0.015,0.0442,0.265,0.0201,75.0,0.125,0.69,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.007,0.009469700559082193,0.0006279326733766297,0.0011011746514880745,0.00260632988042246,0.000840101041969344,0.0009423236798595593,0.0005161632679704714,0.669656286963413
21,0.44244,0.077,0.5656,0.065,73.0,0.0381,0.027,0.0318,0.034,0.02125,0.0109,0.0286,0.016,0.0434,0.040799999999999996,0.0399,71.5,0.2,0.6407999999999999,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0010382134392512752,0.0006378847482424091,0.0006176839407217125,0.003695725869757984,0.001210569824995288,0.005841694039535745,0.0021229167738204503,0.6505067586957591
22,0.422,0.05,0.5656,0.065,74.5,0.05,0.03015,0.045,0.0365,0.022,0.017,0.0318,0.015,0.0458,0.0606,0.027,73.0,0.15,0.53,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.006303369582617657,0.0010382134392512752,0.0028402162673115895,0.0008422543124986524,0.0017527209920451324,0.007179788859164101,0.0027664101958715386,0.7174340571146448
24,0.405,0.073,0.5656,0.077,74.0,0.04,0.0286,0.05,0.0443,0.0265,0.013,0.032,0.015,0.0591,0.0549,0.0354,72.0,0.1264,0.465,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.007,0.0027522833105031843,0.0043440711023942724,0.0005474653719838479,0.006354285862697581,0.007143124717912104,0.0005506780030035738,0.0011376035296614853,0.6506593070092218
25,0.35,-0.0145,0.5656,0.045,74.5,0.04,0.029200000000000004,0.045,0.0365,0.022,0.0185,0.0318,0.015,0.035,0.025,0.015,74.0,0.09,0.265,0.068,0.11,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.002085978106348877,0.0005817284441223633,0.008190036600280845,0.0007108076467553155,0.0013628454140694002,0.0019247307090461425,0.0030916974414665803,0.6107391728894326
26,0.395,0.057,0.5656,0.045,75.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013,0.0318,0.015,0.0456,0.0345,0.0443,74.0,0.1217,0.53,0.068,0.12,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.00271430149179431,0.0011401023312556328,0.0006974187193374368,0.0007669835615022331,0.0005190023836094081,0.0006913245644981453,0.003663432033832161,0.6576670606502955
27,0.407,0.0722,0.5656,0.025,72.53453074346996,0.04,0.028200000000000003,0.036,0.01905,0.023350000000000003,0.013,0.031,0.015,0.0429,0.0225,0.0334,73.03453074346996,0.14859999999999998,0.58,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009,0.004101688115296714,0.0006316175018388921,0.0017688182749994853,0.0007762954157243636,0.005495615564552153,0.001958097807003328,0.0022681870709228705,0.6441349020060737
28,0.425,0.043,0.5656,0.077,73.0,0.035,0.042,0.045,0.044950000000000004,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.12359999999999999,0.52,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.0008478166705515338,0.003938527951810015,0.0005216663125556663,0.0019688681706680838,0.005562337165335549,0.0021306942797480475,0.0006458653727715079,0.7038693533105786
29,0.425,0.043,0.5656,0.072,73.0,0.035,0.042,0.045,0.044950000000000004,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.12359999999999999,0.52,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.0029719721517629705,0.0009154898861843185,0.0007681062952440992,0.004555574496720056,0.00823809729412785,0.009876435169533045,0.0046976839236609535,0.7038693533105786
32,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,73.0,0.1238,0.54,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0006783026246547652,0.001788984376843987,0.0005955038812320103,0.009775823174555331,0.0019818708345448514,0.005919107451089525,0.0010053348512155794,0.6234443656860658
33,0.407,0.07970000000000001,0.5656,0.025,72.535,0.04,0.028200000000000003,0.036,0.01905,0.023350000000000003,0.013,0.031,0.015,0.0645,0.021,0.040799999999999996,74.035,0.14859999999999998,0.58,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009,0.001193863825488646,0.001504274953332537,0.003693023878169312,0.007111847365812064,0.003107566467443143,0.009013551257136458,0.004626083556993069,0.6853063322624584
34,0.31685,0.013,0.5656,0.045,72.1,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013,0.0318,0.015,0.040799999999999996,0.0251,0.0263,74.0,0.3526,0.4801,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009,0.008325927288085018,0.0005268425644987838,0.008944596891205612,0.001813354782396347,0.005033849554025306,0.006970236029767987,0.0013318064608869571,0.514566274633877
35,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.3,0.03,73.0,0.1238,0.5,0.068,0.12,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.005374381597598617,0.0008013903573815663,0.0011417712475411054,0.006148557039166885,0.0008672585984965895,0.00312351694575785,0.0011088523755146652,0.6234443656860658
36,0.44,0.071,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013,0.035,0.015,0.0513,0.0287,0.027,71.5,0.1459,0.52,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.0019149019243878786,0.009079716227502102,0.0006837817015140861,0.002768434232900988,0.0005133396832382623,0.005147401883609505,0.001263951083901111,0.6493923136566664
37,0.4069,0.06999999999999901,0.5656,0.03,74.0,0.04,0.027700000000000002,0.038,0.0365,0.023350000000000003,0.013,0.035,0.015,0.0494,0.0856,0.0361,74.0,0.1179,0.6156,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.0015153172500776985,0.002127579863974754,0.0006525125678446248,0.0061350810346802905,0.00421882541854872,0.0010002010318632907,0.0007552934807892246,0.6432086377161369
39,0.41,0.067,0.5656,0.045,73.0,0.04,0.030199999999999998,0.0317,0.038450000000000005,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.03,73.0,0.1758,0.6187,0.068,0.12,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.0017617173364413792,0.008987220468880753,0.002162090285531756,0.0025619165400276363,0.0038927076053534996,0.0018407477770329595,0.0052156146208312305,0.6462059863676842
40,0.405,0.07,0.5656,0.045,73.5,0.04,0.02695,0.032,0.0365,0.023350000000000003,0.013,0.0285,0.015,0.0332,0.0206,0.030199999999999998,72.0,0.1,0.5306000000000001,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.007,0.004555574496720056,0.0022149083305229716,0.0010596938309518282,0.00270637235312258,0.002132253196833837,0.0022475452392603933,0.0006096055232392845,0.6293702191097402
41,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009,0.0009929124481702822,0.004948069900644276,0.0011903762571930535,0.0010903555609028262,0.0011662468836620419,0.009362954548114635,0.000756399102237268,0.6536386402787728
42,0.395,0.06,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.028,0.015,0.0349,0.015,0.03,0.035,0.03,73.0,0.12359999999999999,0.57,0.068,0.12,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.0005571599326632545,0.005207991006032555,0.0007207541347403678,0.0007421514042488844,0.008664503507170634,0.002102827863310032,0.001363842536472871,0.6298876707052952
43,0.425,0.037,0.5656,0.072,72.5,0.035,0.0405,0.039,0.044950000000000004,0.0265,0.017,0.0308,0.015,0.0525,0.062,0.0235,70.0,0.168,0.53,0.1,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0112,0.0015286750539615032,0.0005720246066928133,0.004812444386022222,0.0010512026064363477,0.008053418244217661,0.0020722924151835498,0.0005924628950907905,0.7048509797939472
44,0.41,0.067,0.5656,0.045,73.5,0.04,0.030199999999999998,0.0317,0.038450000000000005,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.05,73.5,0.1656,0.5887,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.007,0.008053418244217661,0.001887095374265699,0.00786712330973061,0.004592372736766078,0.00786712330973061,0.0007575063421274368,0.007959725773674273,0.6493180509191564
45,0.385,0.014,0.5656,0.037,68.0,0.045,0.04,0.035,0.0345,0.018,0.015,0.035,0.015,0.045200000000000004,0.0354,0.028300000000000002,76.0,0.0706,0.45539999999999997,0.17,0.11,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009,0.0006194936331742799,0.0015683116846684955,0.0029159914379797824,0.005121116281979233,0.0006131828044957373,0.0026015686910055846,0.0028736479314829927,0.6081715405480075
46,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.019,0.03,0.015,0.0464,0.0341,0.032600000000000004,72.5,0.12029999999999999,0.2911,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009,0.0015142093826091226,0.004359986016801384,0.0005167298458988169,0.0006832817801262211,0.0008749036446244988,0.0038898615979445386,0.004246687095470205,0.6158553773983279
47,0.42,0.074,0.5656,0.04,74.0,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,74.0,0.14,0.54,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0024510270477814075,0.0006618853205235345,0.0015370834113977456,0.004387175297439278,0.0015529029516765016,0.004765161903013297,0.005026491623513896,0.6438938373418057
