,Material=Steel,Material=Aluminum,Material=Titanium,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,valid
11,1,0,0,0.48,0.105,0.5656,0.055,75.0,0.033,0.0292,0.033,0.034,0.0222,0.0222,0.0275,0.014,0.0437,0.0434,0.0336,75.0,0.1038,0.562,0.068,0.135,0.0,0.0,0.33,0.35,0.025,0.0067717502233639,0.0009749225114516,0.0023108861228654,0.0030557290162985,0.0039126880462853,0.0008697994956069,0.0009495881024642,0.7134257454403127,0.0
12,1,0,0,0.444,0.0575,0.5656,0.055,73.0,0.04,0.03015,0.05,0.0365,0.022,0.017,0.0318,0.015,0.05,0.0709,0.0242,71.0,0.1054,0.457,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.000863,0.001686,0.006727,0.00984,0.00052626,0.00086031,0.002438,0.673723,1.0
13,1,0,0,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.03845,0.02335,0.013,0.034,0.015,0.05,0.0287,0.05,73.0,0.1502,0.5887,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.001637,0.002162,0.006553,0.00263,0.001711,0.007217,0.009445,0.658442,1.0
14,0,0,1,0.40943,0.072,0.5656,0.045,73.5,0.04,0.0286,0.045,0.05105,0.02335,0.013,0.0334,0.015,0.0512,0.0286,0.0332,72.5,0.1677,0.61,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.00132,0.00073,0.009833,0.002648,0.004259,0.001345,0.007919,0.672092,1.0
15,1,0,0,0.38757,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0286,0.034,0.01735,0.0105,0.0286,0.015,0.035,0.019,0.0285,72.0,0.049,0.48,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.001295,0.006996,0.001297,0.006196,0.00090121,0.00076335,0.005237,0.584584,1.0
16,1,0,0,0.425,0.02,0.5656,0.045,72.0,0.03,0.0277,0.04,0.0365,0.02335,0.0185,0.03,0.015,0.04,0.05,0.04,68.0,0.136,0.48,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.004572,0.000502,0.001935,0.007302,0.009754,0.002569,0.005065,0.658206,1.0
17,1,0,0,0.355,0.025,0.5656,0.045,74.0,0.0381,0.0254,0.033,0.034,0.01875,0.013,0.0286,0.014,0.0329,0.0378,0.0325,75.0,0.1394,0.4828,0.068,0.12,0.0,0.0,0.33,0.35,0.025,0.0085230867856054,0.0018213297758254,0.0005785461960721,0.0014689401805723,0.0006270148300984,0.0008285075532643,0.002281497224433,0.6209706224563203,0.0
18,1,0,0,0.45,0.055,0.5656,0.045,74.5,0.04,0.0292,0.045,0.0365,0.022,0.017,0.0318,0.015,0.0509,0.0504,0.0268,70.5,0.111,0.4826,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.004194,0.002596,0.004941,0.001356,0.009913,0.005458,0.001309,0.706265,1.0
19,0,0,1,0.4,0.0705,0.5656,0.38,75.0,0.09,0.0275,0.055,0.0365,0.046,0.013,0.0318,0.015,0.0442,0.265,0.0201,75.0,0.125,0.69,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.00947,0.000628,0.001101,0.002606,0.0008401,0.00094232,0.00051616,0.669656,1.0
20,1,0,0,0.355,0.014,0.5656,0.38,74.0,0.0381,0.0254,0.033,0.034,0.01875,0.013,0.0286,0.014,0.0327999999999999,0.0378,0.0325,75.0,0.1431,0.4828,0.068,0.12,0.0,0.0,0.33,0.35,0.025,0.0099780826551648,0.0006042786939665,0.0021636721734258,0.0021167152145835,0.0094247887291412,0.0038955556950365,0.0020829290517853,0.6134347816059488,0.0
21,1,0,0,0.44244,0.077,0.5656,0.065,73.0,0.0381,0.027,0.0318,0.034,0.02125,0.0109,0.0286,0.016,0.0434,0.0408,0.0399,71.5,0.2,0.6408,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.001038,0.000638,0.000618,0.003696,0.001211,0.005842,0.002123,0.650507,1.0
22,1,0,0,0.422,0.05,0.5656,0.065,74.5,0.05,0.03015,0.045,0.0365,0.022,0.017,0.0318,0.015,0.0458,0.0606,0.027,73.0,0.15,0.53,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.0098692143837673,0.0033531608835166,0.0046396370718995,0.0015086821830663,0.0009699439950397,0.0020753258995166,0.0048194889877115,0.7174340571146448,0.0
23,1,0,0,0.41,-0.01,0.5656,0.065,74.0,0.039,0.0254,0.033,0.034,0.01875,0.013,0.0254,0.014,0.0498,0.0405,0.0361,74.0,0.1272,0.4905,0.068,0.12,0.0,0.0,0.33,0.35,0.025,0.0095287544975731,0.0086518386839498,0.0014911303613789,0.007855624009639,0.0013303461772366,0.0091731639451181,0.0056113702037876,0.6467846029638838,0.0
24,0,0,1,0.405,0.073,0.5656,0.077,74.0,0.04,0.0286,0.05,0.0443,0.0265,0.013,0.032,0.015,0.0591,0.0549,0.0354,72.0,0.1264,0.465,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.002752,0.004344,0.000547,0.006354,0.007143,0.00055068,0.001138,0.650659,1.0
25,1,0,0,0.35,-0.0145,0.5656,0.045,74.5,0.04,0.0292,0.045,0.0365,0.022,0.0185,0.0318,0.015,0.035,0.025,0.015,74.0,0.09,0.265,0.068,0.11,0.0,0.0,0.33,0.35,0.008,0.002086,0.000582,0.00819,0.00071081,0.001363,0.001925,0.003092,0.610739,1.0
26,1,0,0,0.395,0.057,0.5656,0.045,75.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0456,0.0345,0.0443,74.0,0.1217,0.53,0.068,0.12,0.0,0.0,0.33,0.35,0.007,0.002714,0.00114,0.000697,0.00076698,0.000519,0.00069132,0.003663,0.657667,1.0
27,0,0,1,0.407,0.0722,0.5656,0.025,72.53453,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0429,0.0225,0.0334,73.03453,0.1486,0.58,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.004102,0.000632,0.001769,0.0007763,0.005496,0.001958,0.002268,0.644135,1.0
28,0,0,1,0.425,0.043,0.5656,0.077,73.0,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.000848,0.003939,0.000522,0.001969,0.005562,0.002131,0.00064587,0.703869,1.0
29,0,0,1,0.425,0.043,0.5656,0.072,73.0,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.002972,0.000915,0.000768,0.004556,0.008238,0.009876,0.004698,0.703869,1.0
30,1,0,0,0.53998,0.05,0.5656,0.072,40.0,0.0381,0.0254,0.045,0.034,0.01875,0.013,0.0286,0.014,0.0462999999999999,0.0509,0.0358,40.0,0.1001,0.4508999999999999,0.068,0.12,0.0,0.0,0.33,0.35,0.025,0.0007737446644964,0.0053586817141881,0.0068514592518368,0.001894008926243,0.0095916836432325,0.0062574361799443,0.0091530588053767,0.5547817601166938,0.0
31,1,0,0,0.8,0.025,0.5656,0.072,25.0,0.0381,0.0277,0.045,0.034,0.01875,0.01775,0.0286,0.014,0.0462999999999999,0.06,0.037,30.0,0.2682,0.55,0.068,0.13,0.0,0.0,0.33,0.35,0.025,0.0024519235277076,0.0026846864523447,0.0069881015043661,0.0022197734846147,0.0029481580254018,0.0041393587054717,0.0040436053824143,0.5623684832667248,0.0
32,1,0,0,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,73.0,0.1238,0.54,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.000678,0.001789,0.000596,0.009776,0.001982,0.005919,0.001005,0.623444,1.0
33,0,0,1,0.407,0.0797,0.5656,0.025,72.535,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0645,0.021,0.0408,74.035,0.1486,0.58,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.001194,0.001504,0.003693,0.007112,0.003108,0.009014,0.004626,0.685306,1.0
34,0,0,1,0.31685,0.013,0.5656,0.045,72.1,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0408,0.0251,0.0263,74.0,0.3526,0.4801,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.008326,0.000527,0.008945,0.001813,0.005034,0.00697,0.001332,0.514566,1.0
35,1,0,0,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.3,0.03,73.0,0.1238,0.5,0.068,0.12,0.0,0.0,0.33,0.35,0.0106,0.005374,0.000801,0.001142,0.006149,0.00086726,0.003124,0.001109,0.623444,1.0
36,1,0,0,0.44,0.071,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.035,0.015,0.0513,0.0287,0.027,71.5,0.1459,0.52,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.001915,0.00908,0.000684,0.002768,0.00051334,0.005147,0.001264,0.649392,1.0
37,1,0,0,0.4069,0.07,0.5656,0.03,74.0,0.04,0.0277,0.038,0.0365,0.02335,0.013,0.035,0.015,0.0494,0.0856,0.0361,74.0,0.1179,0.6156,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.001515,0.002128,0.000653,0.006135,0.004219,0.001,0.00075529,0.643209,1.0
39,1,0,0,0.41,0.067,0.5656,0.045,73.0,0.04,0.0302,0.0317,0.03845,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.03,73.0,0.1758,0.6187,0.068,0.12,0.0,0.0,0.33,0.35,0.007,0.001762,0.008987,0.002162,0.002562,0.003893,0.001841,0.005216,0.646206,1.0
40,0,0,1,0.405,0.07,0.5656,0.045,73.5,0.04,0.02695,0.032,0.0365,0.02335,0.013,0.0285,0.015,0.0332,0.0206,0.0302,72.0,0.1,0.5306,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.004556,0.002215,0.00106,0.002706,0.002132,0.002248,0.00060961,0.62937,1.0
41,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.000993,0.004948,0.00119,0.00109,0.001166,0.009363,0.0007564,0.653639,1.0
42,1,0,0,0.395,0.06,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.028,0.015,0.0349,0.015,0.03,0.035,0.03,73.0,0.1236,0.57,0.068,0.12,0.0,0.0,0.33,0.35,0.007,0.000557,0.005208,0.000721,0.00074215,0.008665,0.002103,0.001364,0.629888,1.0
43,1,0,0,0.425,0.037,0.5656,0.072,72.5,0.035,0.0405,0.039,0.04495,0.0265,0.017,0.0308,0.015,0.0525,0.062,0.0235,70.0,0.168,0.53,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.001529,0.000572,0.004812,0.001051,0.008053,0.002072,0.00059246,0.704851,1.0
44,1,0,0,0.41,0.067,0.5656,0.045,73.5,0.04,0.0302,0.0317,0.03845,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.05,73.5,0.1656,0.5887,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.008053,0.001887,0.007867,0.004592,0.007867,0.00075751,0.00796,0.649318,1.0
45,0,1,0,0.385,0.014,0.5656,0.037,68.0,0.045,0.04,0.035,0.0345,0.018,0.015,0.035,0.015,0.0452,0.0354,0.0283,76.0,0.0706,0.4553999999999999,0.17,0.11,0.0,0.0,0.33,0.35,0.009,0.0055177666938256,0.0067618520198023,0.0038898615979445,0.0005069966101451,0.0061395697512167,0.0005674410286611,0.0087217250258285,0.6081715405480075,0.0
46,1,0,0,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0464,0.0341,0.0326,72.5,0.1203,0.2911,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.001514,0.00436,0.000517,0.00068328,0.0008749,0.00389,0.004247,0.615855,1.0
47,1,0,0,0.42,0.074,0.5656,0.04,74.0,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,74.0,0.14,0.54,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.002451,0.000662,0.001537,0.004387,0.001553,0.004765,0.005026,0.643894,1.0
48,0,0,1,0.56,0.06537,0.5656,0.04,56.97582,0.0381,0.0277,0.0317,0.034,0.0175,0.00525,0.0286,0.015,0.0317,0.04,0.03,53.47582,0.142,0.5,0.068,0.135,0.0,0.0,0.33,0.35,0.0106,0.000548,0.0006,0.001563,0.009927,0.00065923,0.00092559,0.00090418,0.602132,1.0
49,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0548,0.0509,0.0309,73.0,0.145,0.5169,0.068,0.12,0.0,0.0,0.33,0.35,0.009,0.000855,0.002175,0.008627,0.00077431,0.002503,0.003514,0.002051,0.656339,1.0
50,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.001372,0.004473,0.002191,0.00466,0.002918,0.004395,0.006937,0.653639,1.0
51,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.0145,0.0318,0.015,0.052,0.0492,0.0322,76.5,0.145,0.5152,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.001422,0.00424,0.001605,0.007361,0.00096782,0.003101,0.002355,0.674499,1.0
52,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.002963,0.002425,0.001965,0.001218,0.00075917,0.003003,0.001722,0.653639,1.0
53,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.000609,0.000528,0.002466,0.001696,0.00068278,0.00060031,0.004708,0.653639,1.0
54,1,0,0,0.40504,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.000906,0.004366,0.002899,0.001138,0.002083,0.001375,0.005632,0.653639,1.0
55,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.003769,0.00263,0.003413,0.001226,0.001311,0.001618,0.006073,0.653639,1.0
56,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0548,0.0555,0.0309,73.0,0.145,0.5215,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.000509,0.000913,0.007861,0.003811,0.003415,0.005615,0.002267,0.656339,1.0
57,1,0,0,0.381,0.046,0.5656,0.045,74.0,0.0381,0.027,0.037,0.034,0.0212,0.0126,0.0286,0.014,0.0397999999999999,0.0382,0.0368,74.5,0.1490999999999999,0.561,0.068,0.135,0.0,0.0,0.33,0.35,0.025,0.0042126588011446,0.0006573024085503,0.0051098921548299,0.0005371531951765,0.0006383514550066,0.001482431173056,0.0028547944938613,0.6370381633173889,0.0
58,1,0,0,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0503,0.0339,0.0327,72.5,0.115,0.2909,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.001091,0.00345,0.001516,0.001826,0.00543,0.001099,0.001745,0.617439,1.0
59,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0397,0.0353,0.0285,72.0,0.0998,0.5,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.000655,0.008526,0.001567,0.004681,0.007196,0.003027,0.00060207,0.634375,1.0
60,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0397,0.0353,0.0285,72.0,0.0998,0.5,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.005006,0.006927,0.006591,0.002838,0.00065156,0.003089,0.006533,0.634375,1.0
61,0,0,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0396,0.0352,0.0286,72.0,0.0998,0.5,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.000872,0.001459,0.005803,0.005669,0.002172,0.003634,0.009826,0.633134,1.0
62,1,0,0,0.445,0.06,0.5656,0.1,73.0,0.03,0.0405,0.046,0.04375,0.0265,0.017,0.0304,0.015,0.04,0.095,0.025,72.0,0.13,0.535,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.000726,0.000727,0.007549,0.007006,0.009197,0.0005533,0.001795,0.740423,1.0
63,0,0,1,0.408,0.07,0.5656,0.045,74.0,0.04,0.0322,0.034,0.0365,0.02335,0.013,0.039,0.015,0.0476,0.049,0.0342,72.0,0.1706,0.567,0.068,0.12,0.0,0.0,0.33,0.35,0.009,0.002139,0.000572,0.00914,0.003579,0.002738,0.004718,0.001049,0.649558,1.0
64,1,0,0,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0454,0.0341,0.0227,71.5,0.1144,0.2911,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.005114,0.00397,0.00445,0.001091,0.004297,0.001675,0.00071707,0.616975,1.0
65,1,0,0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0291,0.037,0.0365,0.021,0.01665,0.0318,0.015,0.0467,0.0475,0.0328,73.0,0.1277,0.5825,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.007635,0.007065,0.000698,0.004981,0.00067041,0.00094681,0.001991,0.654201,1.0
66,0,0,1,0.325,0.07,0.5656,0.045,72.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0494,0.0465,0.0369,72.0,0.0922,0.429,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.00282,0.001471,0.000889,0.00992,0.002663,0.002807,0.001367,0.541839,1.0
67,0,0,1,0.325,0.07,0.5656,0.045,72.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0494,0.0465,0.0369,72.0,0.0922,0.429,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.002584,0.002047,0.001195,0.009332,0.00050792,0.003793,0.00087394,0.541839,1.0
68,1,0,0,0.38,-0.0145,0.5656,0.045,74.0,0.0381,0.0254,0.0318,0.034,0.02075,0.011425,0.0318,0.005,0.0573,0.2154,0.0202,74.0,0.1606,0.5154,0.068,0.13,0.0,0.0,0.33,0.35,0.03,0.0094593173320102,0.0019037304715815,0.001971750259463,0.0016066242184583,0.0009378545331748,0.0069371783788671,0.0090797162275021,0.6070798834893414,0.0
69,0,0,1,0.4,0.058,0.5656,0.025,74.5,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0454,0.0221,0.0349,73.5,0.1107,0.55,0.068,0.12,0.0,0.0,0.33,0.35,0.009,0.000959,0.000826,0.001558,0.001053,0.002554,0.0011,0.001342,0.648309,1.0
70,0,0,1,0.31624,0.013,0.5656,0.033,72.1,0.04,0.0377,0.04,0.05,0.05,0.0315,0.05,0.015,0.0337,0.0308,0.0383,74.0,0.3,0.4858,0.068,0.135,0.0,0.0,0.33,0.35,0.009,0.002381,0.003144,0.004506,0.008089,0.005262,0.004963,0.006495,0.512101,1.0
71,1,0,0,0.408,0.068,0.5656,0.03,73.0,0.04,0.0254,0.0318,0.0365,0.017,0.012,0.0286,0.015,0.0307,0.0197,0.025,72.5,0.1508,0.5477,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.0005,0.002663,0.005502,0.00063231,0.004496,0.001293,0.004823,0.633851,1.0
72,1,0,0,0.38,0.07,0.5656,0.03,70.0,0.0381,0.0254,0.0318,0.034,0.02075,0.011425,0.0286,0.005,0.0372,0.0133,0.0278,74.0,0.1945,0.63,0.068,0.13,0.0,0.0,0.33,0.35,0.01,0.001972,0.004121,0.003378,0.004194,0.00096006,0.00094889,0.00081499,0.658131,1.0
73,0,0,1,0.408,0.063,0.5656,0.045,72.5,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0348,0.015,0.0478,0.048,0.0245,73.5,0.2053,0.578,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.001037,0.008071,0.003056,0.002311,0.003465,0.001875,0.009261,0.655429,1.0
74,1,0,0,0.41,0.069,0.5656,0.2,73.5,0.04,0.0286,0.045,0.05,0.02335,0.013,0.0318,0.015,0.0496,0.0326,0.0271,72.5,0.213,0.605,0.068,0.13,0.0,0.0,0.33,0.35,0.009,0.000602,0.000877,0.000662,0.008449,0.001173,0.002052,0.001024,0.664206,1.0
75,1,0,0,0.425,0.037,0.5656,0.072,73.0,0.035,0.0405,0.039,0.04495,0.0265,0.017,0.0308,0.015,0.0525,0.062,0.0235,72.0,0.1617,0.58,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.001928,0.004995,0.008458,0.001055,0.003506,0.00056166,0.005599,0.702286,1.0
76,1,0,0,0.46,0.078,0.5656,0.046,74.0,0.0381,0.0286,0.0318,0.034,0.01735,0.0105,0.0286,0.015,0.042,0.0344,0.0344,71.0,0.1598,0.5244,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.001439,0.000675,0.000716,0.005624,0.002071,0.001965,0.003805,0.66672,1.0
77,0,0,1,0.36,0.05,0.5656,0.046,71.0,0.04,0.0386,0.045,0.0435,0.02335,0.019,0.0318,0.015,0.05,0.03,0.0257,73.0,0.1268,0.52,0.068,0.12,0.0,0.0,0.33,0.35,0.009,0.007562,0.003304,0.000732,0.002239,0.007453,0.004453,0.006476,0.615054,1.0
78,1,0,0,0.39,0.055,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.028,0.015,0.0349,0.015,0.04,0.035,0.03,74.0,0.157,0.58,0.068,0.12,0.0,0.0,0.33,0.35,0.007,0.007582,0.002587,0.005601,0.004211,0.006666,0.003619,0.002127,0.634679,1.0
79,1,0,0,0.39,0.058,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.028,0.015,0.0349,0.015,0.04,0.035,0.04,73.0,0.1347,0.57,0.068,0.12,0.0,0.0,0.33,0.35,0.007,0.001879,0.001777,0.000724,0.004791,0.007719,0.001398,0.00251,0.633597,1.0
80,0,0,1,0.40748,0.025,0.5656,0.065,75.5,0.04,0.0349,0.039,0.04795,0.02,0.016,0.03,0.015,0.07,0.05,0.025,73.5,0.11,0.43,0.068,0.13,0.0,0.0,0.33,0.35,0.0123,0.006436,0.002,0.00162,0.004114,0.001456,0.001924,0.00067558,0.692788,1.0
