Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
CS OD,,N/A,0.018250,0.022858,0.020357,0.023289,0.022845,0.023116,0.024347,0.015228,0.024120,0.023911,0.024191,0.021715,0.022497,0.023031,0.022212,0.021028,0.023239,0.022913,0.030735,0.021362,0.023544,0.023685,0.020406,0.022285,0.022505,0.022857,0.024567,0.021522,0.024839,0.023124,0.024620,0.021397,0.017322,0.021315,0.023426,0.023220,0.023921,0.021693,0.024630,0.022664,0.023514,0.023949,0.024154,0.023560,0.023595,0.022820,0.023478,0.021664,0.022203,0.018663,0.024256,0.023884,0.020586,0.023591,0.021375,0.021515,0.017517,0.022056,0.025116,0.024221,0.023806,0.022295,0.021858,0.024573,0.026299,0.023353,0.021103,0.023065,0.023859,0.025097,0.022938,0.024774,0.020781,0.023772,0.021418,0.022616,0.024660,0.022493,0.022971,0.022747,0.022007,0.020492,0.022877,0.030462,0.023668,0.023029,0.022822,0.024082,0.024750,0.025207,0.024362,0.022069,0.023239,0.021345,0.022742,0.024060,0.021385,0.032399,0.020348,0.021875,0.023319,0.022372,0.022126,0.021874,0.021902,0.022774,0.024364,0.025035,0.023504,0.023114,0.023311,0.022347,0.022742,0.024705,0.021491,0.023023,0.023574,0.022020,0.022343,0.023803,0.023095,0.023473,0.024423,0.023738,0.022238,0.023499,0.021883,0.026218,0.022658
SS OD,,N/A,0.011800,0.012388,0.012524,0.015664,0.015062,0.010636,0.013114,0.010338,0.014196,0.011097,0.011090,0.014458,0.015111,0.014021,0.012658,0.014119,0.012882,0.013909,0.020736,0.020122,0.010596,0.011512,0.014743,0.014098,0.012125,0.014598,0.013184,0.013642,0.013114,0.012864,0.015234,0.013610,0.012580,0.015107,0.012583,0.013421,0.014104,0.014969,0.011539,0.014041,0.011708,0.012200,0.014131,0.013447,0.013465,0.012262,0.011516,0.010224,0.011628,0.012202,0.012476,0.013160,0.012930,0.013408,0.011018,0.015295,0.011421,0.013601,0.013518,0.012550,0.013135,0.014438,0.013828,0.012873,0.014268,0.014097,0.011119,0.014970,0.012054,0.012305,0.013812,0.013168,0.013490,0.013077,0.011975,0.009856,0.015183,0.011870,0.013908,0.014464,0.013525,0.013017,0.012239,0.012536,0.013039,0.013403,0.012124,0.013435,0.015888,0.025516,0.013364,0.011314,0.013537,0.014019,0.013016,0.014127,0.013257,0.013867,0.014280,0.015396,0.015537,0.013228,0.010559,0.010623,0.012387,0.013083,0.011900,0.014460,0.013826,0.014934,0.019196,0.012528,0.013004,0.013634,0.014646,0.013554,0.012294,0.013491,0.011833,0.012839,0.011530,0.011321,0.014053,0.014093,0.013398,0.011877,0.011600,0.021060,0.013695
ST OD,,N/A,0.028600,0.029742,0.031888,0.030536,0.030572,0.029664,0.034077,0.028471,0.030233,0.036003,0.028764,0.029654,0.034818,0.030654,0.030096,0.033089,0.030686,0.031566,0.032580,0.029454,0.031989,0.028793,0.030432,0.031930,0.031513,0.032051,0.030626,0.028993,0.029766,0.028347,0.030714,0.030155,0.028453,0.031095,0.033536,0.030620,0.030216,0.026632,0.031510,0.030381,0.030678,0.029404,0.032006,0.031165,0.031594,0.033521,0.028479,0.029333,0.029202,0.029733,0.028871,0.031682,0.030839,0.031065,0.027982,0.030685,0.026815,0.029207,0.030016,0.032327,0.033652,0.030331,0.029648,0.031656,0.033628,0.032289,0.028217,0.030978,0.031265,0.032118,0.029632,0.031174,0.029900,0.030823,0.034186,0.029112,0.033181,0.030723,0.032217,0.031012,0.032944,0.036218,0.030140,0.032448,0.035472,0.033311,0.026671,0.032402,0.032644,0.029922,0.032905,0.030850,0.030043,0.028575,0.030460,0.033449,0.032610,0.033038,0.031716,0.031976,0.031588,0.033084,0.030083,0.029834,0.029513,0.034010,0.030467,0.031877,0.031738,0.031422,0.030284,0.028180,0.031079,0.031165,0.028567,0.031219,0.033745,0.033097,0.030426,0.033112,0.030366,0.031291,0.031182,0.030022,0.030730,0.033143,0.032432,0.034654,0.034064
CS F,,m,0.015,0.01481,0.0149,0.0153,0.01534,0.01506,0.01515,0.01484,0.01497,0.01505,0.01499,0.01529,0.01517,0.01473,0.01489,0.01505,0.01489,0.0152,0.01491,0.01514,0.01531,0.01523,0.01522,0.01484,0.01517,0.01503,0.01528,0.01466,0.01491,0.01489,0.01499,0.01482,0.01493,0.01513,0.01483,0.01521,0.01511,0.01521,0.01508,0.01478,0.01503,0.01489,0.01503,0.01495,0.01493,0.01536,0.0149,0.01483,0.01482,0.01519,0.01515,0.01462,0.01503,0.0151,0.01474,0.01517,0.01472,0.01512,0.01545,0.01514,0.01479,0.01481,0.01469,0.01466,0.01506,0.01476,0.01512,0.01482,0.01509,0.015,0.01498,0.01519,0.01496,0.01526,0.01523,0.01483,0.01525,0.0151,0.01486,0.01505,0.01498,0.01506,0.01525,0.01501,0.01504,0.01488,0.01481,0.01484,0.01497,0.0151,0.01501,0.01501,0.01496,0.01474,0.01503,0.01494,0.01527,0.01478,0.01495,0.01484,0.01507,0.01503,0.01476,0.0151,0.01501,0.01486,0.01497,0.01502,0.01486,0.01475,0.01475,0.015,0.0148,0.01503,0.01486,0.01489,0.01503,0.01493,0.0148,0.01501,0.01492,0.01513,0.01486,0.01486,0.01475,0.01454,0.01498,0.01537,0.01488
HT LX,,N/A,0.046600,0.029590,0.030907,0.045570,0.048200,0.031322,0.047624,0.026133,0.047874,0.053522,0.050638,0.032867,0.050821,0.036691,0.045636,0.050844,0.047806,0.047686,0.037708,0.035415,0.049765,0.034220,0.048307,0.049870,0.041893,0.026627,0.053793,0.043565,0.040424,0.045520,0.028377,0.046159,0.034679,0.032708,0.047369,0.032496,0.045511,0.039682,0.048232,0.044175,0.044398,0.033645,0.036633,0.048353,0.050754,0.051195,0.040714,0.050203,0.022941,0.027715,0.040441,0.044698,0.047754,0.046778,0.033347,0.037898,0.045111,0.051854,0.041685,0.049852,0.047323,0.046402,0.047839,0.043552,0.052013,0.049184,0.030474,0.030590,0.049615,0.051330,0.053089,0.044512,0.037300,0.048482,0.050781,0.035562,0.051792,0.048732,0.048263,0.049644,0.047721,0.047965,0.034014,0.051912,0.047721,0.043263,0.031568,0.051777,0.037976,0.050609,0.053909,0.037260,0.037284,0.044286,0.048952,0.055233,0.051170,0.046902,0.046873,0.033001,0.050334,0.049097,0.038087,0.037699,0.047983,0.048003,0.046197,0.051796,0.050874,0.039967,0.035226,0.045472,0.047466,0.050443,0.044296,0.045546,0.048198,0.047209,0.044955,0.052006,0.029137,0.046379,0.030608,0.046208,0.047905,0.050813,0.048949,0.049718,0.045150
ST UX,,N/A,0.032900,0.015504,0.034705,0.031682,0.051010,0.028170,0.046836,0.013027,0.057344,0.046265,0.053401,0.033117,0.060301,0.044461,0.038074,0.053341,0.037920,0.052224,0.077643,0.034379,0.045235,0.011745,0.045526,0.040603,0.046689,0.016822,0.050066,0.045515,0.040467,0.050058,0.010506,0.047863,0.011956,0.060975,0.050029,0.010176,0.050537,0.013939,0.046347,0.046928,0.029560,0.020812,0.060522,0.037775,0.049552,0.050901,0.027580,0.046879,0.014874,0.014169,0.044945,0.050180,0.048053,0.047694,0.019779,0.034895,0.023430,0.053849,0.039688,0.049824,0.045382,0.050942,0.047338,0.031649,0.053146,0.049131,0.015621,0.034438,0.041355,0.047969,0.046255,0.056899,0.018027,0.051908,0.046153,0.021329,0.044483,0.040263,0.047180,0.042302,0.048520,0.047417,0.015802,0.047091,0.052143,0.048450,0.025853,0.048409,0.011576,0.064078,0.045174,0.035575,0.017545,0.048362,0.045238,0.055982,0.048823,0.050245,0.047691,0.018946,0.056944,0.050708,0.020834,0.027803,0.044485,0.052644,0.045177,0.049841,0.044110,0.016058,0.027562,0.013269,0.034527,0.050488,0.047059,0.067214,0.042094,0.040500,0.035027,0.048323,0.030797,0.052884,0.048628,0.048075,0.054740,0.058272,0.049212,0.047689,0.046680
HT UX,,N/A,0.035900,0.029128,0.028159,0.034570,0.031113,0.040453,0.034666,0.029819,0.025662,0.035560,0.033226,0.028636,0.030493,0.031886,0.026118,0.036575,0.030570,0.026398,0.021469,0.037271,0.029090,0.036831,0.034512,0.040842,0.040848,0.031110,0.018113,0.032903,0.035659,0.033232,0.030335,0.020210,0.032721,0.034151,0.032837,0.025095,0.030580,0.032896,0.031906,0.023168,0.029745,0.032482,0.029488,0.030749,0.028532,0.026439,0.037968,0.042402,0.026464,0.031242,0.025464,0.030362,0.038885,0.032776,0.031912,0.029720,0.029881,0.030853,0.030731,0.028640,0.037285,0.029677,0.036781,0.033306,0.031516,0.033672,0.035149,0.031693,0.027320,0.035655,0.027187,0.033307,0.028655,0.039911,0.023967,0.029925,0.029883,0.038843,0.035289,0.028630,0.030714,0.032907,0.023952,0.025486,0.034694,0.025329,0.023865,0.031563,0.025463,0.028224,0.026074,0.024057,0.027826,0.037550,0.015695,0.033311,0.028401,0.030920,0.029222,0.022316,0.025071,0.032846,0.024985,0.034660,0.041844,0.043908,0.022350,0.034527,0.025330,0.031637,0.031692,0.034957,0.033629,0.027151,0.036734,0.028424,0.030022,0.031296,0.037326,0.027646,0.029414,0.041452,0.035452,0.024859,0.028201,0.034935,0.037085,0.028746,0.037523
HT Angle,,deg,73.25,73.33485,74.2466,74.11358,71.21793,70.70174,73.12819,73.97492,70.70498,72.02594,72.92958,76.79775,65.58062,73.06166,73.86732,74.61741,71.06156,70.85535,61.89023,72.82598,71.71948,73.86379,73.0358,71.13829,73.40187,73.04078,69.60016,71.31518,74.42832,73.08516,74.22844,72.55589,71.95455,67.39551,72.85329,73.17089,72.08155,73.69702,72.8998,73.62539,72.35441,75.58879,71.66804,72.84808,73.13782,72.90287,70.60291,71.88414,72.90156,70.29606,72.8947,73.03982,71.98995,73.29216,74.87043,74.41403,72.11642,71.24638,74.1455,73.29053,72.9859,72.99217,72.9792,73.05611,71.55638,72.98259,72.92512,74.73012,73.06922,72.93514,73.00201,65.18368,72.8536,72.21241,71.88308,74.18852,72.98133,72.16494,70.85444,73.01031,73.13096,70.61457,73.09635,74.62914,71.56201,72.97807,70.20018,74.05269,73.31445,70.87519,70.95999,74.75744,74.14641,72.78346,70.98491,74.04256,72.93282,69.04817,73.12213,70.57381,70.48521,72.95119,70.33199,69.89446,72.93949,72.22012,73.933,73.00947,74.1543,71.88115,73.59732,73.12452,75.33679,72.98275,70.85478,64.02847,70.71856,70.07482,73.11297,72.18008,71.03322,69.27638,72.24272,71.44875,69.53137,73.11048,72.68084,66.77934,73.09342
HT Length,,m,0.1486,0.16443,0.15176,0.15127,0.10548,0.15431,0.14986,0.08315,0.1515,0.15989,0.14658,0.08396,0.12595,0.11919,0.08003,0.0897,0.09851,0.0968,0.09187,0.10508,0.1688,0.10325,0.14334,0.18429,0.10873,0.11565,0.10479,0.16845,0.11207,0.10336,0.10134,0.10738,0.11015,0.09043,0.14034,0.11511,0.16671,0.11091,0.11962,0.11249,0.09185,0.13389,0.11111,0.12113,0.11325,0.12247,0.18757,0.17556,0.09175,0.09137,0.1417,0.11159,0.14077,0.11058,0.16382,0.08842,0.15889,0.15677,0.091,0.15297,0.14418,0.09797,0.14878,0.07869,0.08768,0.15336,0.14325,0.09558,0.14205,0.14675,0.14553,0.09506,0.12998,0.14982,0.08643,0.13206,0.10213,0.16126,0.14834,0.14524,0.15487,0.09221,0.10045,0.11554,0.18403,0.14673,0.0749,0.10343,0.11861,0.10017,0.11408,0.10656,0.10176,0.09483,0.10482,0.15588,0.14091,0.09514,0.11009,0.09095,0.16623,0.1441,0.1688,0.09159,0.14437,0.19718,0.10731,0.14868,0.10326,0.10006,0.0855,0.14878,0.11988,0.14668,0.17458,0.13709,0.08843,0.09308,0.14826,0.18141,0.17404,0.16722,0.20359,0.08426,0.15803,0.16513,0.1428,0.12001,0.10106
ST Length,,m,0.545,0.61305,0.60898,0.57313,0.47997,0.57601,0.54501,0.55824,0.44069,0.574,0.58175,0.32308,0.40281,0.50511,0.56545,0.47895,0.51494,0.41449,0.33981,0.32418,0.5003,0.22622,0.58673,0.52218,0.48475,0.59564,0.44736,0.58003,0.58518,0.50276,0.51323,0.29867,0.5172,0.21766,0.52793,0.55091,0.53101,0.57966,0.51013,0.57681,0.54107,0.52257,0.44159,0.60942,0.4973,0.5208,0.55271,0.61703,0.55018,0.57452,0.55379,0.447,0.51882,0.42576,0.56383,0.21401,0.61017,0.5885,0.53812,0.59595,0.55295,0.51567,0.59608,0.271,0.49674,0.55997,0.57798,0.60436,0.58062,0.57348,0.62409,0.4912,0.54882,0.5895,0.28851,0.54289,0.45533,0.61944,0.58016,0.52137,0.5513,0.43643,0.5699,0.45169,0.63633,0.59787,0.52765,0.60055,0.53493,0.3061,0.28787,0.25283,0.53728,0.52439,0.22154,0.60146,0.53875,0.51708,0.50526,0.24258,0.6228,0.51026,0.59207,0.56953,0.5676,0.557,0.42691,0.50605,0.53467,0.5291,0.24822,0.57988,0.31494,0.54349,0.5779,0.47889,0.50141,0.47176,0.52008,0.57309,0.53849,0.59666,0.62609,0.27349,0.58263,0.57994,0.51492,0.30628,0.52682
BB Length,,m,0.068,0.0677,0.06816,0.068,0.06841,0.06821,0.06757,0.06831,0.06792,0.0682,0.06878,0.06816,0.06816,0.06812,0.0679,0.06759,0.06767,0.06802,0.07289,0.06802,0.06829,0.06801,0.0682,0.06862,0.06755,0.06793,0.06805,0.0681,0.06806,0.06819,0.06819,0.06787,0.06805,0.0726,0.06744,0.06846,0.06804,0.0678,0.06803,0.06764,0.0681,0.06819,0.07262,0.06774,0.06807,0.06817,0.06802,0.06803,0.06836,0.06809,0.06781,0.06775,0.06771,0.06836,0.06799,0.06817,0.06869,0.06792,0.06789,0.06783,0.06813,0.06758,0.06819,0.06794,0.06829,0.06774,0.06807,0.06801,0.06761,0.06795,0.06761,0.07244,0.06781,0.0677,0.06791,0.06797,0.06806,0.06754,0.06766,0.06822,0.06795,0.06799,0.06769,0.068,0.06799,0.06804,0.06755,0.06795,0.06843,0.06846,0.06801,0.06848,0.06845,0.06826,0.06867,0.06811,0.06793,0.0677,0.06769,0.06812,0.09078,0.06781,0.06824,0.06782,0.06809,0.06812,0.06804,0.06799,0.06768,0.06831,0.0678,0.0677,0.0682,0.06834,0.06784,0.07251,0.0683,0.06798,0.06769,0.06775,0.07356,0.0677,0.06829,0.06765,0.09058,0.06748,0.06794,0.06812,0.06809
Dropout Offset,,N/A,0.130000,0.129495,0.130150,0.129850,0.134885,0.129507,0.129889,0.129974,0.135275,0.130273,0.130240,0.119696,0.134839,0.130295,0.129744,0.130083,0.134556,0.135091,0.134894,0.130004,0.135185,0.129894,0.130315,0.130013,0.129967,0.129731,0.129571,0.134788,0.129400,0.129505,0.119829,0.130338,0.130032,0.134339,0.130236,0.129896,0.129796,0.129809,0.130144,0.129546,0.130312,0.129965,0.142193,0.130292,0.129885,0.130057,0.130194,0.130163,0.130163,0.130074,0.129692,0.129930,0.134868,0.130174,0.130302,0.129528,0.129824,0.135268,0.129767,0.129998,0.129839,0.130317,0.129660,0.129982,0.130168,0.129764,0.130257,0.130121,0.130241,0.129960,0.129766,0.134930,0.129818,0.130076,0.130038,0.130047,0.129993,0.130133,0.130009,0.129925,0.129913,0.129923,0.130432,0.129827,0.134885,0.129864,0.129656,0.130228,0.130264,0.134887,0.130110,0.129915,0.130121,0.130294,0.129877,0.130018,0.130085,0.129852,0.129837,0.134896,0.135143,0.129701,0.135306,0.130011,0.129808,0.129788,0.129888,0.130267,0.129689,0.129726,0.130005,0.130257,0.129740,0.129792,0.129843,0.142277,0.129855,0.129682,0.130120,0.129820,0.135558,0.130273,0.130098,0.129756,0.134799,0.129902,0.129533,0.134445,0.129672
SSB OD,,N/A,0.016000,0.000066,-0.000060,-0.000015,0.000041,0.000007,-0.000049,0.015935,-0.000024,0.015969,-0.000044,0.000043,-0.000081,0.015975,-0.000012,-0.000017,0.000024,0.000034,-0.000030,0.000056,0.015516,0.016231,0.016005,-0.000008,0.000042,0.015874,0.016068,-0.000048,0.015956,0.016070,0.016161,0.015881,0.015854,0.000170,-0.000028,0.015971,0.015907,0.016021,0.015995,0.016168,-0.000140,-0.000056,0.016053,0.000191,0.016029,0.016052,0.000104,-0.000064,0.000095,0.016055,0.016140,-0.000047,0.000093,0.016011,0.015992,-0.000066,0.015954,0.000088,0.000033,0.016037,0.015856,-0.000048,0.015981,0.000102,-0.000001,0.000032,0.000032,-0.000001,0.000078,-0.000052,0.000022,0.016094,0.016010,0.016104,0.000069,0.016002,0.016026,0.016195,-0.000015,0.000096,0.015925,0.016150,0.000123,0.000075,-0.000018,0.000145,0.015967,0.000057,0.015857,0.000072,0.016022,0.016056,-0.000060,-0.000054,0.016107,0.016041,0.000004,0.015892,0.000048,0.015904,-0.000059,0.000158,0.000151,0.015645,0.000022,-0.000090,0.016034,0.000001,0.015945,0.015803,0.000023,-0.000096,0.000099,0.000025,-0.000104,0.015894,0.016104,0.015936,0.000030,0.015797,0.000072,0.000178,-0.000019,-0.000017,0.000014,0.000091,0.000058,0.000072,-0.000064
CSB OD,,N/A,0.018000,-0.000052,0.000051,-0.000143,-0.000078,0.000168,0.000059,-0.000035,-0.000179,0.018225,0.000405,0.000124,-0.000080,0.017816,-0.000277,-0.000070,-0.000078,0.018066,-0.000012,0.000165,0.018006,0.017894,0.000033,0.000004,-0.000230,0.017854,0.017832,0.000047,0.018110,0.018084,0.018033,0.017761,0.018100,0.000093,0.000044,0.017849,0.017853,0.017910,0.017905,0.018033,-0.000001,0.000218,0.018067,0.000160,0.017860,0.017977,0.000169,0.000033,-0.000102,0.017943,0.018181,-0.000059,-0.000280,0.018075,0.017777,0.000014,0.018516,-0.000046,0.000098,0.018088,0.017763,-0.000094,0.018271,-0.000017,0.000063,-0.000006,0.000161,-0.000191,-0.000080,-0.000040,0.000141,0.017839,0.018163,0.017926,-0.000056,0.017968,0.018355,0.017947,-0.000067,-0.000048,0.017803,0.017870,0.000027,0.000007,-0.000376,0.000051,0.017890,0.000008,0.017988,0.000061,0.017629,0.017810,-0.000146,-0.000113,0.017795,0.000078,-0.000143,0.018075,-0.000165,0.017963,-0.000020,0.000130,0.000177,0.017838,-0.000126,-0.000365,0.018120,-0.000071,0.017783,0.017912,0.000093,0.000032,-0.000033,-0.000135,-0.000038,0.017929,0.018068,0.018049,-0.000110,0.017860,0.000109,-0.000023,-0.000078,0.000059,0.000131,-0.000101,-0.000067,-0.000164,0.000114
