Design Study 1
Scenarios/Iterations:, 110
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110
CS OD,,N/A,0.018250,0.023380,0.023500,0.022805,0.023350,0.022943,0.023687,0.023053,0.023204,0.023579,0.023046,0.023338,0.023415,0.023605,0.023617,0.023672,0.022908,0.023931,0.023042,0.023315,0.023621,0.023815,0.023736,0.023461,0.023648,0.023391,0.023330,0.023426,0.023426,0.023038,0.023690,0.023847,0.023195,0.024256,0.023684,0.023245,0.023307,0.023247,0.023360,0.023031,0.023292,0.023539,0.023100,0.022971,0.023584,0.023572,0.023030,0.023253,0.023269,0.023683,0.022801,0.023108,0.023293,0.023264,0.023717,0.023789,0.023367,0.024585,0.023514,0.023285,0.022416,0.023360,0.023226,0.023445,0.023225,0.023751,0.022960,0.023237,0.023458,0.023761,0.023260,0.023643,0.023670,0.023837,0.024510,0.023955,0.023280,0.023407,0.023343,0.023691,0.023204,0.023800,0.023446,0.023372,0.023588,0.023346,0.023559,0.023212,0.023718,0.023766,0.023183,0.023718,0.023211,0.023331,0.023337,0.023574,0.023534,0.023019,0.023260,0.023581,0.023668,0.023186,0.022672,0.022697,0.023505,0.023685,0.023050,0.023249,0.023286,0.023640,0.023025
SS OD,,N/A,0.011800,0.014024,0.014156,0.013378,0.014045,0.014349,0.015139,0.013677,0.014282,0.014031,0.013954,0.013897,0.014874,0.014286,0.016740,0.019865,0.012842,0.013786,0.015842,0.014024,0.013872,0.013831,0.013692,0.013604,0.013891,0.015679,0.016477,0.014439,0.014041,0.013471,0.013724,0.013743,0.014021,0.013764,0.014031,0.014749,0.014652,0.013832,0.014288,0.013480,0.014932,0.013855,0.013928,0.014050,0.014129,0.013897,0.014275,0.015705,0.014756,0.019477,0.012757,0.014165,0.013320,0.015966,0.014061,0.013650,0.014803,0.013628,0.013688,0.014114,0.013597,0.014089,0.014039,0.013570,0.013464,0.013989,0.012956,0.014075,0.015596,0.016633,0.013698,0.013994,0.014132,0.013538,0.013967,0.013898,0.016218,0.013325,0.014999,0.013626,0.014132,0.013528,0.015124,0.013566,0.017507,0.017907,0.014069,0.013736,0.013828,0.013831,0.013418,0.013974,0.013354,0.014132,0.015273,0.015858,0.015425,0.013300,0.015163,0.014028,0.013856,0.013887,0.013976,0.014155,0.016362,0.014099,0.015304,0.014076,0.013560,0.013710,0.014012
ST OD,,N/A,0.028600,0.031194,0.031307,0.030867,0.031345,0.031647,0.031146,0.031496,0.031148,0.030710,0.031408,0.031393,0.031305,0.031225,0.031041,0.030837,0.030542,0.031313,0.030944,0.031307,0.031626,0.031008,0.031460,0.031486,0.031160,0.031098,0.031123,0.030751,0.031322,0.030832,0.030870,0.031060,0.031310,0.030949,0.030651,0.030739,0.031180,0.031181,0.031234,0.030604,0.031431,0.031458,0.031605,0.031426,0.030661,0.031020,0.031300,0.030830,0.030806,0.030635,0.030185,0.030581,0.031310,0.031278,0.031357,0.031305,0.031455,0.031374,0.031340,0.031171,0.030295,0.031563,0.031026,0.031642,0.030608,0.030721,0.030623,0.031306,0.030824,0.031081,0.031672,0.030799,0.031386,0.031160,0.031143,0.031351,0.031035,0.031447,0.031047,0.031633,0.031491,0.031159,0.031463,0.031804,0.030847,0.031394,0.030666,0.031596,0.031380,0.031313,0.031303,0.031473,0.031593,0.031513,0.031492,0.031162,0.031207,0.030903,0.030424,0.030725,0.031004,0.030807,0.030584,0.030419,0.031260,0.031354,0.031146,0.031056,0.031638,0.031435,0.031580
CS F,,m,0.015,0.01488,0.01496,0.01483,0.01482,0.01472,0.01477,0.01477,0.01502,0.01621,0.01476,0.01488,0.01481,0.01472,0.01477,0.01475,0.01494,0.01541,0.01485,0.01485,0.01507,0.01612,0.01485,0.01482,0.01483,0.01481,0.01481,0.01558,0.0151,0.0149,0.01493,0.01538,0.01486,0.01631,0.01506,0.01477,0.01475,0.01487,0.01483,0.01487,0.01474,0.01533,0.0148,0.01478,0.01527,0.01518,0.01483,0.01482,0.01553,0.01477,0.01515,0.01477,0.01512,0.01482,0.01469,0.01552,0.01484,0.01586,0.0148,0.01506,0.01466,0.01485,0.01484,0.01502,0.01473,0.01543,0.01492,0.01482,0.01481,0.01473,0.01488,0.01485,0.01485,0.01624,0.01472,0.01558,0.01481,0.01492,0.01473,0.01482,0.01484,0.01587,0.01477,0.0152,0.01476,0.01474,0.01485,0.01496,0.01525,0.0154,0.015,0.01496,0.01498,0.01477,0.01482,0.01472,0.01473,0.01488,0.01497,0.01476,0.01483,0.01485,0.01474,0.01487,0.01476,0.01487,0.01477,0.01481,0.01484,0.01524,0.01487
HT LX,,N/A,0.046600,0.055307,0.054935,0.058779,0.052596,0.051081,0.046639,0.059475,0.053760,0.052236,0.049336,0.049098,0.045934,0.050664,0.044407,0.041926,0.065356,0.051814,0.045576,0.050148,0.058489,0.056895,0.063074,0.055605,0.049159,0.044579,0.044675,0.048350,0.052457,0.050179,0.062435,0.060613,0.056777,0.056939,0.045300,0.045235,0.045685,0.053129,0.046176,0.058587,0.046005,0.058096,0.057265,0.053485,0.045494,0.060402,0.051535,0.044931,0.047996,0.042553,0.066959,0.045978,0.062685,0.045244,0.049589,0.061413,0.046135,0.060273,0.064465,0.055976,0.044612,0.053376,0.056905,0.059873,0.064180,0.045553,0.065831,0.056342,0.046025,0.045817,0.065108,0.045995,0.054295,0.061370,0.051317,0.057994,0.044623,0.053131,0.045719,0.049298,0.051817,0.061823,0.045745,0.065393,0.045203,0.042779,0.045568,0.061833,0.052913,0.052696,0.067339,0.057635,0.067942,0.051403,0.045695,0.045896,0.045664,0.055898,0.045160,0.045586,0.046847,0.049364,0.044875,0.051399,0.045243,0.053585,0.045133,0.048977,0.065120,0.063298,0.050507
ST UX,,N/A,0.032900,0.024312,0.025731,0.036828,0.034293,0.044257,0.031436,0.037575,0.027935,0.016776,0.041464,0.032367,0.035422,0.019533,0.031597,0.030252,0.026044,0.020919,0.021657,0.026062,0.024284,0.015876,0.016630,0.027603,0.032385,0.034578,0.028651,0.020092,0.026668,0.027525,0.007023,0.007021,0.033206,0.012516,0.022600,0.026222,0.039096,0.029519,0.032738,0.020592,0.032913,0.029833,0.042291,0.046803,0.016443,0.015271,0.034564,0.024205,0.017116,0.027900,0.012500,0.024850,0.028274,0.028999,0.020802,0.015941,0.036304,0.015426,0.022903,0.027357,0.042499,0.029466,0.023869,0.028679,0.009017,0.018177,0.026482,0.031328,0.023792,0.027176,0.035452,0.029526,0.030282,0.017700,0.035621,0.019211,0.025739,0.018839,0.029669,0.017922,0.031574,0.011830,0.037617,0.032355,0.019866,0.040768,0.025711,0.032374,0.023552,0.025043,0.031498,0.022450,0.032185,0.030582,0.032827,0.033100,0.034968,0.030799,0.021943,0.029212,0.027198,0.026306,0.036518,0.018096,0.025690,0.021262,0.042087,0.030049,0.035086,0.024906,0.024957
HT UX,,N/A,0.035900,0.042694,0.028578,0.032427,0.039069,0.030571,0.035412,0.031477,0.030118,0.030429,0.028934,0.027600,0.029876,0.024526,0.030067,0.027171,0.035381,0.036261,0.030686,0.030268,0.030223,0.031417,0.029491,0.028979,0.037640,0.026959,0.028421,0.028280,0.029387,0.026827,0.028846,0.028809,0.031809,0.031632,0.032852,0.028265,0.031401,0.029977,0.029801,0.030209,0.028797,0.034499,0.031745,0.031585,0.029291,0.029832,0.030174,0.029089,0.025787,0.028582,0.030170,0.029839,0.030981,0.028618,0.024641,0.031237,0.029192,0.031864,0.030781,0.030823,0.026169,0.031472,0.030046,0.047163,0.030080,0.031675,0.035839,0.030393,0.033379,0.029783,0.042480,0.035580,0.040014,0.043861,0.045325,0.030211,0.027939,0.026029,0.029001,0.025371,0.029607,0.033225,0.030819,0.046769,0.029066,0.026273,0.031015,0.037659,0.033126,0.037419,0.044750,0.029047,0.040801,0.027831,0.028401,0.031476,0.034168,0.029305,0.028616,0.031170,0.035722,0.028470,0.026279,0.030185,0.026906,0.026965,0.028631,0.037901,0.036781,0.033864,0.030007
HT Angle,,deg,73.25,77.00088,70.75041,69.68005,71.27929,67.57598,72.90282,68.09159,69.60536,71.13682,67.2974,71.83166,71.0523,70.0404,70.79524,69.21437,71.66495,71.87598,71.95652,72.95524,71.5429,71.24519,71.10883,70.96135,73.36728,69.41424,71.21053,71.43856,71.57295,71.00905,70.21344,70.88554,69.48591,71.21362,72.73348,71.89241,68.99632,72.95019,71.58342,71.98431,70.68113,71.58733,68.91519,67.62011,71.92415,70.33964,68.74587,70.96741,70.99243,69.86985,72.64956,69.96228,74.78441,71.65912,69.98273,71.25037,71.01923,71.47149,70.07512,69.77544,64.33781,74.04004,68.89258,72.21451,67.96709,71.93701,71.7881,69.21764,74.49227,73.26683,70.6819,72.53006,76.03056,71.28324,75.86178,71.4073,71.40287,72.65612,71.70967,71.5779,71.51047,71.18027,70.46546,71.61324,74.4737,68.17874,73.30407,73.59993,71.83508,71.81704,72.55518,71.28236,71.29567,70.39977,71.43676,71.526,71.06019,71.20782,71.55862,74.73449,74.89822,71.30111,65.61691,66.92939,71.68319,71.17757,67.4174,70.90281,70.56351,71.15743,76.0379
HT Length,,m,0.1486,0.14321,0.12827,0.12492,0.1362,0.12366,0.13733,0.12697,0.13095,0.13398,0.11625,0.12323,0.12805,0.11491,0.1285,0.11862,0.12708,0.14578,0.1314,0.13134,0.13092,0.13586,0.12656,0.12414,0.15533,0.11631,0.12554,0.12878,0.12978,0.11524,0.12546,0.1277,0.13422,0.1363,0.14785,0.12875,0.12587,0.12701,0.12799,0.12233,0.12633,0.13851,0.12906,0.12493,0.13126,0.13025,0.12871,0.12568,0.12133,0.1235,0.11721,0.12312,0.12948,0.12687,0.11255,0.13423,0.12702,0.13608,0.12775,0.13291,0.09664,0.13249,0.12903,0.17065,0.12283,0.13938,0.12807,0.12996,0.1367,0.13017,0.15169,0.15664,0.14064,0.16475,0.17654,0.13253,0.12418,0.11704,0.12943,0.11366,0.12961,0.13664,0.1294,0.16565,0.13009,0.11363,0.1367,0.13538,0.13689,0.15082,0.13718,0.12876,0.14439,0.12365,0.12613,0.13439,0.13538,0.1212,0.13096,0.13708,0.14763,0.12063,0.10098,0.12874,0.12273,0.12338,0.11428,0.1337,0.13551,0.13674,0.12839
ST Length,,m,0.545,0.64987,0.39533,0.47497,0.50555,0.42513,0.55041,0.4268,0.3885,0.34909,0.4116,0.46876,0.47129,0.35978,0.46109,0.39753,0.49266,0.42302,0.48552,0.45846,0.42558,0.35339,0.38486,0.44629,0.48503,0.42628,0.45154,0.36753,0.42661,0.45226,0.30413,0.30548,0.42328,0.33557,0.41658,0.42869,0.46028,0.49094,0.47741,0.48701,0.44587,0.44639,0.45517,0.44348,0.37315,0.33956,0.41026,0.45726,0.34481,0.42388,0.48507,0.45342,0.49551,0.45911,0.37208,0.36067,0.46606,0.36586,0.39793,0.39116,0.36746,0.50354,0.3644,0.49308,0.29805,0.38466,0.49729,0.40719,0.54058,0.4871,0.47698,0.45521,0.62816,0.37497,0.64035,0.37488,0.45108,0.43875,0.45965,0.41748,0.45705,0.33993,0.47126,0.48181,0.4785,0.39781,0.4382,0.51827,0.4342,0.43211,0.52003,0.39663,0.48335,0.42664,0.46049,0.49277,0.49705,0.47199,0.37859,0.47318,0.47474,0.46587,0.39039,0.30238,0.44372,0.38552,0.42324,0.49798,0.47327,0.40982,0.49798
BB Length,,m,0.068,0.06712,0.06867,0.06834,0.06821,0.07583,0.06746,0.07543,0.07057,0.06792,0.07428,0.06737,0.06787,0.06864,0.06811,0.06834,0.06699,0.06774,0.06718,0.06715,0.06845,0.06816,0.06835,0.06819,0.06721,0.0679,0.06763,0.06735,0.06814,0.06674,0.06803,0.06786,0.07258,0.06808,0.0663,0.06644,0.06861,0.06686,0.0675,0.0657,0.06829,0.06856,0.0727,0.07441,0.06643,0.06833,0.07438,0.06703,0.06789,0.0681,0.06508,0.06684,0.06709,0.06769,0.06867,0.06824,0.06813,0.06827,0.06899,0.07015,0.0729,0.06778,0.07106,0.06807,0.07017,0.06674,0.06691,0.07225,0.06739,0.06663,0.07076,0.0667,0.06735,0.06849,0.06681,0.06826,0.06722,0.06672,0.06689,0.06723,0.06818,0.06819,0.06857,0.06896,0.06681,0.06891,0.06616,0.06787,0.06787,0.06804,0.06775,0.06841,0.06877,0.06905,0.06795,0.06743,0.06794,0.0672,0.0663,0.06602,0.06649,0.06644,0.0685,0.07469,0.06716,0.06832,0.06904,0.06779,0.06942,0.06861,0.0672
