Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
CS OD,,N/A,0.021821,0.023316,0.024782,0.019397,0.024132,0.022052,0.020807,0.024846,0.023553,0.021755,0.024771,0.027111,0.023057,0.033115,0.025357,0.029144,0.031917,0.030502,0.027058,0.025629,0.027722,0.023410,0.024826,0.023962,0.028378,0.023524,0.038739,0.022424,0.025843,0.023860,0.028981,0.030842,0.022919,0.020473,0.025234,0.022143,0.024413,0.023608,0.022762,0.031922,0.019554,0.024455,0.021140,0.023177,0.021453,0.029511,0.023368,0.023397,0.023848,0.024988,0.024089,0.025318,0.022585,0.026736,0.023123,0.024312,0.030985,0.024857,0.023880,0.026303,0.019141,0.025925,0.026476,0.023045,0.032959,0.023633,0.022151,0.022632,0.020766,0.033361,0.025842,0.032233,0.018247,0.025813,0.025820,0.022759,0.030038,0.023063,0.023828,0.022402,0.024813,0.028888,0.021632,0.028826,0.018943,0.026053,0.025359,0.024567,0.025600,0.026141,0.032607,0.021365,0.023329,0.026109,0.023088,0.024463,0.023819,0.024836,0.027100,0.032430,0.024527,0.026549,0.021176,0.027319,0.024336,0.031266,0.025160,0.020598,0.021685,0.030139,0.021902,0.023152,0.023368,0.023867,0.021868,0.022817,0.030934,0.026146,0.026995,0.022967,0.021237,0.022033,0.025711,0.022924,0.024550,0.024602,0.030901,0.025599,0.024990,0.027339,0.022431,0.024923,0.023944,0.022261,0.027148,0.027975,0.034390,0.032090,0.025246,0.023690,0.026010,0.022741,0.024430,0.020401,0.023713,0.031074,0.020513,0.021775,0.023557,0.035299,0.037569,0.024274,0.026070,0.025125,0.027346,0.024085,0.023889,0.033227,0.020928
SS OD,,N/A,0.012524,0.017016,0.013052,0.017072,0.017166,0.014703,0.015155,0.015505,0.015159,0.014435,0.015810,0.013541,0.015009,0.014506,0.017333,0.015458,0.017475,0.013828,0.013183,0.015492,0.014560,0.016121,0.015669,0.016622,0.015048,0.015001,0.013429,0.013511,0.016637,0.015903,0.013122,0.014741,0.018682,0.012719,0.016221,0.011350,0.014972,0.012441,0.015080,0.017797,0.015221,0.012971,0.015906,0.013255,0.017767,0.015585,0.015696,0.018644,0.016416,0.018395,0.016670,0.018352,0.013220,0.018954,0.015768,0.018063,0.013690,0.016746,0.017459,0.016804,0.014917,0.015308,0.014847,0.015438,0.017496,0.015233,0.013094,0.017132,0.016625,0.016983,0.014587,0.014244,0.018156,0.014149,0.017351,0.014559,0.014735,0.013995,0.015350,0.013104,0.015678,0.015339,0.016549,0.014799,0.018321,0.012839,0.015515,0.018896,0.016221,0.014544,0.014485,0.017756,0.019008,0.017685,0.015497,0.014717,0.012957,0.013901,0.016860,0.017810,0.015382,0.012633,0.017057,0.013793,0.017627,0.016107,0.013940,0.016645,0.010784,0.015697,0.014585,0.017884,0.013348,0.012793,0.012501,0.013920,0.015090,0.013596,0.013921,0.014749,0.014342,0.014995,0.017467,0.015038,0.016797,0.013434,0.020049,0.015978,0.013918,0.019329,0.014001,0.015330,0.015890,0.014786,0.016070,0.021446,0.013759,0.014855,0.018855,0.015171,0.017538,0.013001,0.014143,0.018999,0.014072,0.015210,0.013141,0.015522,0.013722,0.015708,0.014788,0.015316,0.017926,0.015313,0.014660,0.017373,0.015974,0.015169,0.018286
ST OD,,N/A,0.032524,0.032272,0.031604,0.024115,0.066388,0.027594,0.024820,0.031949,0.030834,0.028554,0.034969,0.033881,0.029896,0.038600,0.032968,0.032132,0.031243,0.039262,0.036421,0.036379,0.034445,0.027201,0.033900,0.032352,0.035242,0.032256,0.038906,0.030899,0.032449,0.028930,0.040034,0.031941,0.029002,0.026590,0.032343,0.029581,0.033606,0.031419,0.032644,0.034108,0.023744,0.028580,0.028811,0.032661,0.025494,0.032051,0.030264,0.029565,0.036499,0.027341,0.033053,0.032686,0.034319,0.029290,0.029566,0.026163,0.038721,0.031912,0.028780,0.034002,0.022163,0.028150,0.034084,0.028710,0.038210,0.030174,0.025284,0.031880,0.029439,0.035601,0.035143,0.036544,0.011149,0.036154,0.034440,0.029841,0.033219,0.029251,0.030707,0.038743,0.036833,0.036646,0.021097,0.032258,0.023985,0.032617,0.030696,0.032525,0.035927,0.034142,0.039621,0.029645,0.029618,0.035504,0.029712,0.031453,0.039649,0.032366,0.032249,0.037329,0.029032,0.030301,0.029329,0.032860,0.030742,0.031961,0.032936,0.028536,0.027627,0.036439,0.027004,0.026786,0.034032,0.028991,0.032493,0.028006,0.036728,0.036266,0.034809,0.032019,0.029476,0.024190,0.029675,0.029803,0.033377,0.036162,0.032557,0.032219,0.031189,0.037577,0.049917,0.032593,0.031164,0.028111,0.028768,0.029399,0.040701,0.038407,0.037248,0.029875,0.028707,0.028179,0.034370,0.027570,0.030346,0.036890,0.023048,0.027026,0.029723,0.038692,0.037811,0.030026,0.034468,0.033117,0.035806,0.035430,0.032878,0.036171,0.027905
CS F,,m,0.01452,0.01486,0.01541,0.01492,0.01496,0.01512,0.01497,0.01486,0.01488,0.0151,0.01497,0.01506,0.015,0.01485,0.01542,0.01484,0.01545,0.01553,0.01482,0.01533,0.01486,0.01498,0.01521,0.01532,0.01535,0.01523,0.01544,0.0149,0.01583,0.01505,0.01486,0.01485,0.01504,0.01495,0.01488,0.01577,0.01487,0.01485,0.01508,0.01484,0.01488,0.01533,0.01486,0.01497,0.01501,0.01487,0.01503,0.01505,0.01509,0.01497,0.0149,0.01488,0.01488,0.01513,0.01503,0.01511,0.01487,0.0156,0.01485,0.01519,0.01485,0.0151,0.01482,0.01487,0.01509,0.01512,0.01509,0.01502,0.01495,0.01521,0.01545,0.01546,0.01499,0.01515,0.01516,0.01496,0.01479,0.01517,0.01487,0.01486,0.01534,0.01487,0.01498,0.01484,0.01491,0.01558,0.01572,0.0149,0.01525,0.0154,0.01497,0.01489,0.01505,0.01506,0.01508,0.01484,0.01489,0.01555,0.01571,0.01481,0.01528,0.01539,0.01493,0.01534,0.01488,0.01527,0.0151,0.01493,0.0154,0.01489,0.01511,0.01499,0.01484,0.01488,0.01488,0.01528,0.01508,0.01484,0.01475,0.01542,0.01489,0.01507,0.01515,0.01527,0.01523,0.01486,0.01485,0.01484,0.01498,0.01517,0.01509,0.01489,0.015,0.01485,0.01499,0.01488,0.01492,0.01489,0.01511,0.01498,0.01515,0.01488,0.01486,0.0149,0.01486,0.01484,0.01488,0.01496,0.01486,0.01483,0.01482,0.01519,0.01482,0.01519,0.0148,0.01534,0.01528,0.0148,0.01511
HT LX,,N/A,0.076139,0.049596,0.044917,0.068159,0.045055,0.056933,0.062154,0.063188,0.054115,0.052497,0.059106,0.045440,0.053264,0.061629,0.044470,0.049865,0.045670,0.051879,0.044159,0.045603,0.045361,0.061773,0.055445,0.046519,0.063271,0.048433,0.058668,0.046351,0.044122,0.057830,0.053502,0.055647,0.062897,0.046324,0.046789,0.044098,0.057097,0.045837,0.052993,0.047405,0.063262,0.050991,0.056238,0.056122,0.068508,0.050669,0.058455,0.061445,0.053821,0.066447,0.051505,0.067262,0.046129,0.074569,0.059706,0.069224,0.062165,0.045375,0.061583,0.046009,0.061553,0.051450,0.052723,0.062046,0.072372,0.056703,0.061276,0.050000,0.061441,0.050820,0.057023,0.054824,0.077753,0.045025,0.043830,0.056148,0.045819,0.051502,0.051946,0.045706,0.045924,0.064292,0.069951,0.056352,0.069582,0.042540,0.048599,0.065951,0.064794,0.061975,0.062550,0.060085,0.061549,0.067107,0.058091,0.049395,0.044523,0.053845,0.045185,0.080205,0.054695,0.046990,0.058787,0.045974,0.063835,0.054871,0.043350,0.064720,0.044794,0.057565,0.056923,0.065628,0.050273,0.049569,0.045866,0.054600,0.062675,0.053334,0.045520,0.044116,0.048995,0.060633,0.065439,0.049106,0.045033,0.051505,0.083090,0.046188,0.046133,0.043249,0.042790,0.052618,0.053946,0.064827,0.064691,0.082528,0.064932,0.068044,0.044347,0.051428,0.068961,0.054272,0.053268,0.064503,0.049888,0.065317,0.051315,0.059047,0.053291,0.075881,0.072784,0.060218,0.073360,0.060686,0.047276,0.044884,0.045331,0.072026,0.065657
ST UX,,N/A,0.039866,0.047307,0.052035,0.039981,0.041305,0.046500,0.044734,0.043307,0.043465,0.041843,0.047515,0.040694,0.047967,0.040922,0.041515,0.038783,0.036784,0.049757,0.034740,0.036467,0.039291,0.046726,0.043457,0.040241,0.076570,0.040937,0.045700,0.037298,0.035445,0.038543,0.034970,0.036239,0.043225,0.039446,0.049807,0.042603,0.041661,0.032428,0.036087,0.038907,0.038970,0.049846,0.033810,0.030791,0.046783,0.037781,0.048453,0.043684,0.044326,0.048968,0.042241,0.047304,0.036961,0.077627,0.047691,0.063457,0.040535,0.038645,0.056265,0.038886,0.039084,0.036318,0.038957,0.045553,0.069733,0.049920,0.025705,0.042896,0.038976,0.036941,0.063878,0.044861,0.041281,0.031322,0.043347,0.037541,0.037428,0.033367,0.044419,0.033162,0.041253,0.045285,0.046085,0.037074,0.035652,0.038049,0.038530,0.048573,0.065852,0.077980,0.046799,0.038166,0.044027,0.057490,0.047877,0.043115,0.028876,0.056496,0.036536,0.048190,0.043079,0.032109,0.041519,0.041174,0.045952,0.041700,0.045104,0.038162,0.047069,0.040462,0.046666,0.047786,0.036794,0.031064,0.035035,0.050438,0.049433,0.038389,0.037648,0.035560,0.040963,0.046850,0.057062,0.039220,0.039484,0.038020,0.052634,0.049669,0.038365,0.044541,0.036111,0.049842,0.049595,0.039605,0.042680,0.050545,0.041971,0.048427,0.044228,0.039761,0.069583,0.034241,0.040162,0.037319,0.038934,0.043821,0.043288,0.046893,0.037118,0.047489,0.042725,0.058784,0.045137,0.051732,0.035800,0.040361,0.038732,0.041149,0.041493
HT UX,,N/A,0.052591,0.029799,0.029263,0.045170,0.025565,0.036642,0.034475,0.054171,0.042796,0.031318,0.046756,0.029939,0.031750,0.052817,0.022643,0.036024,0.026294,0.035981,0.027071,0.028896,0.027986,0.042512,0.036098,0.026911,0.045162,0.028344,0.039999,0.037941,0.019434,0.034885,0.049162,0.044142,0.044908,0.029724,0.030791,0.027768,0.049900,0.048804,0.029341,0.031171,0.039817,0.031367,0.030506,0.030734,0.047990,0.033494,0.040950,0.045982,0.035547,0.045518,0.031682,0.050434,0.045846,0.050575,0.041875,0.049945,0.060385,0.023784,0.042830,0.027326,0.032977,0.031351,0.046028,0.047384,0.058931,0.039165,0.054381,0.029772,0.031708,0.030262,0.039786,0.034680,0.054027,0.025626,0.023113,0.031813,0.031419,0.040824,0.034404,0.038701,0.029920,0.056501,0.049941,0.048042,0.043401,0.023977,0.027136,0.050842,0.048248,0.044005,0.055558,0.031787,0.045322,0.052662,0.039927,0.033676,0.026749,0.034652,0.022530,0.069644,0.032512,0.031533,0.031558,0.029249,0.053062,0.031333,0.025878,0.035048,0.028767,0.039889,0.036861,0.047146,0.052030,0.052846,0.047447,0.035582,0.046797,0.050683,0.034309,0.023519,0.029801,0.040689,0.043636,0.029622,0.024354,0.051868,0.059480,0.030857,0.032063,0.020588,0.021325,0.036203,0.035246,0.055622,0.043747,0.057455,0.060111,0.057985,0.023578,0.040564,0.045981,0.038589,0.050000,0.037998,0.048143,0.056819,0.031072,0.034005,0.054781,0.066757,0.060843,0.042083,0.064632,0.042607,0.031348,0.023751,0.025220,0.065861,0.044018
HT Angle,,deg,72.20739,70.42982,71.26837,76.84482,69.45482,75.5365,72.40482,75.47886,73.49999,74.74055,73.03635,71.30023,71.7142,75.49333,69.46868,71.89474,71.42862,72.50186,71.26913,72.7181,71.19326,76.68427,74.70315,70.87403,74.46993,70.97645,77.08193,73.14144,69.58979,74.46307,75.40283,74.16526,74.69067,75.44637,70.60158,75.00049,75.33944,74.7327,71.18551,71.76093,76.989,78.19506,73.61425,71.82449,75.44993,72.06854,73.5841,74.18457,71.76842,77.66757,71.74445,75.80701,74.99044,77.24282,74.5633,76.66897,77.13408,70.36933,71.52991,71.11462,75.16883,73.99095,74.55035,73.31834,73.70142,73.4345,79.63977,70.92839,71.82776,76.49669,73.61857,75.92771,77.75201,71.17727,69.15323,71.88877,71.48705,73.72463,71.64163,73.79134,71.88046,75.68488,77.87752,74.23977,76.04856,70.95865,71.28184,74.61214,72.72118,73.23021,74.22034,71.90475,74.05668,73.19489,74.267,71.55094,71.28633,74.45373,70.37694,77.45318,75.12872,71.86678,71.74865,71.14984,75.01529,76.97515,70.04282,71.92604,74.32569,75.78587,75.89771,76.23828,75.96971,75.78833,75.19209,74.31823,75.55553,75.62032,71.96178,70.84713,71.87555,77.26283,76.8251,73.03838,70.08128,76.17218,79.20899,70.50315,71.74059,68.20848,69.81503,71.36596,71.53726,76.32136,77.22087,79.3126,76.54595,75.56058,69.21119,73.69836,77.8087,74.89403,75.20067,74.03627,75.50181,75.77586,75.68273,71.92859,76.6677,77.13368,77.70976,74.33979,76.75673,74.97006,71.96033,69.81559,70.4933,77.39787,73.84699
HT Length,,m,0.18566,0.15066,0.13399,0.20751,0.11975,0.18845,0.1842,0.14319,0.15425,0.15907,0.16493,0.11023,0.17392,0.1241,0.10384,0.1269,0.1121,0.13388,0.08662,0.11338,0.10409,0.19856,0.13409,0.11546,0.1723,0.12493,0.12427,0.12728,0.08701,0.16998,0.11668,0.12872,0.19824,0.14521,0.14565,0.12642,0.13416,0.11975,0.13028,0.11932,0.19214,0.14245,0.14382,0.1277,0.22293,0.12735,0.1894,0.18942,0.13925,0.20404,0.1307,0.16763,0.1246,0.19193,0.19228,0.23815,0.12701,0.10608,0.20765,0.11021,0.17469,0.13196,0.12565,0.19237,0.19645,0.18622,0.13533,0.13515,0.15305,0.11141,0.1588,0.12717,0.24233,0.09066,0.11051,0.13506,0.11732,0.12961,0.1543,0.11716,0.12424,0.13664,0.24165,0.12937,0.19498,0.10268,0.12177,0.1862,0.19564,0.18812,0.13762,0.15256,0.19098,0.19493,0.18702,0.13896,0.08237,0.14509,0.09631,0.15535,0.13615,0.11801,0.15514,0.11284,0.17532,0.12547,0.12083,0.16239,0.13644,0.12462,0.19104,0.21898,0.12478,0.12458,0.12228,0.18984,0.13928,0.12345,0.11109,0.10965,0.13719,0.2054,0.17903,0.13527,0.1058,0.12683,0.17242,0.15333,0.12144,0.10141,0.10582,0.1673,0.17601,0.19406,0.13642,0.20921,0.12647,0.14455,0.11219,0.13475,0.19404,0.13218,0.13279,0.17662,0.13271,0.13282,0.17124,0.18416,0.13344,0.13836,0.12932,0.19257,0.14826,0.16415,0.10877,0.10979,0.107,0.13106,0.1907
ST Length,,N/A,0.581865,0.509839,0.500739,0.575189,0.446220,0.581200,0.553074,0.517967,0.536162,0.552979,0.546306,0.499257,0.549258,0.500402,0.307930,0.504294,0.457072,0.499669,0.394907,0.438909,0.438550,0.558711,0.500106,0.425009,0.570909,0.476656,0.487297,0.516978,0.258938,0.540898,0.493075,0.498291,0.552315,0.542526,0.487488,0.497555,0.521101,0.548786,0.503828,0.488657,0.568752,0.548413,0.527128,0.500129,0.575904,0.498486,0.562951,0.541858,0.502967,0.563663,0.505124,0.531886,0.536695,0.583172,0.564457,0.608005,0.524153,0.345188,0.550225,0.418764,0.549060,0.499773,0.508050,0.530676,0.590396,0.567806,0.529922,0.504408,0.528812,0.470155,0.551009,0.491626,0.585712,0.333518,0.337350,0.507157,0.502305,0.536000,0.521155,0.494459,0.467109,0.538022,0.592446,0.499744,0.559442,0.357489,0.471871,0.554795,0.566861,0.580380,0.543257,0.530994,0.545458,0.571399,0.565470,0.505210,0.337628,0.537084,0.335118,0.557804,0.503618,0.560533,0.531426,0.503001,0.547447,0.494761,0.417431,0.534780,0.545763,0.494705,0.585924,0.573294,0.545639,0.528352,0.553563,0.590990,0.510948,0.522450,0.501341,0.386869,0.513389,0.583238,0.564096,0.512387,0.351964,0.536827,0.542167,0.497740,0.568242,0.281944,0.377749,0.533667,0.543356,0.523058,0.503835,0.559367,0.505142,0.537835,0.369981,0.541892,0.584234,0.518082,0.522152,0.553790,0.538251,0.516860,0.570951,0.557108,0.542611,0.546025,0.505649,0.576779,0.532653,0.548296,0.459547,0.376969,0.371251,0.507881,0.559445
BB Length,,m,0.06809,0.07318,0.07176,0.06721,0.07342,0.06799,0.06824,0.06864,0.06858,0.06796,0.06897,0.06829,0.06889,0.06879,0.0712,0.06842,0.06819,0.07102,0.06852,0.06851,0.06848,0.06778,0.06875,0.06838,0.06928,0.06865,0.06903,0.06835,0.06815,0.06781,0.06859,0.06843,0.06797,0.06785,0.07408,0.06838,0.06864,0.06807,0.06818,0.06866,0.06722,0.06816,0.06734,0.06786,0.06783,0.06844,0.06856,0.06822,0.06951,0.06778,0.06862,0.0686,0.06838,0.06854,0.0683,0.06788,0.06844,0.06853,0.06995,0.06859,0.06746,0.06815,0.0686,0.06836,0.07013,0.06862,0.06655,0.06928,0.06805,0.06833,0.06932,0.06894,0.06696,0.06836,0.07502,0.06815,0.06833,0.0675,0.0688,0.0685,0.06894,0.06874,0.06732,0.06851,0.06703,0.07038,0.06808,0.06878,0.07021,0.0693,0.06899,0.0678,0.06821,0.06952,0.06837,0.06907,0.06841,0.06889,0.06819,0.06866,0.06847,0.06745,0.06825,0.06813,0.06866,0.0684,0.07472,0.0679,0.06848,0.06863,0.06793,0.0678,0.06835,0.06803,0.06822,0.06832,0.06894,0.06847,0.06864,0.06866,0.06835,0.06763,0.06834,0.068,0.06888,0.06831,0.06827,0.07436,0.06806,0.07653,0.07082,0.07147,0.06993,0.06777,0.06835,0.06784,0.06872,0.06893,0.0726,0.06825,0.06815,0.06773,0.06844,0.06742,0.06834,0.06879,0.06786,0.06852,0.06819,0.06874,0.06863,0.06857,0.06859,0.06885,0.06862,0.0689,0.06856,0.06852,0.06777
Dropout Offset,,N/A,0.135364,0.146591,0.129789,0.129736,0.145882,0.129361,0.138459,0.127029,0.129395,0.129500,0.129131,0.128405,0.133617,0.126781,0.136747,0.127469,0.128151,0.127644,0.128030,0.127971,0.128824,0.127027,0.127899,0.131736,0.127303,0.136098,0.123909,0.129128,0.131994,0.127630,0.127364,0.125134,0.128654,0.129453,0.134814,0.127586,0.127553,0.126214,0.132986,0.127499,0.129161,0.124199,0.129272,0.131771,0.130397,0.126775,0.129608,0.128473,0.130020,0.125459,0.129326,0.126735,0.127867,0.124419,0.129252,0.127282,0.126148,0.132436,0.139349,0.129455,0.131206,0.125550,0.127364,0.130955,0.127646,0.129512,0.127144,0.140394,0.137178,0.125406,0.128145,0.125555,0.130153,0.128655,0.139940,0.133624,0.127285,0.127242,0.133699,0.128203,0.128758,0.127133,0.128032,0.125658,0.129490,0.127973,0.129622,0.128161,0.128887,0.128397,0.127494,0.130427,0.128698,0.128740,0.129380,0.131475,0.128086,0.127490,0.130047,0.124736,0.127334,0.127990,0.137777,0.129058,0.127907,0.124728,0.133301,0.137218,0.128907,0.126325,0.129175,0.128157,0.126691,0.125606,0.127291,0.129638,0.126395,0.127264,0.127670,0.131182,0.132577,0.127644,0.125348,0.128881,0.132803,0.127126,0.122152,0.136888,0.128337,0.141363,0.137564,0.131181,0.133114,0.129096,0.124045,0.122688,0.126307,0.126712,0.140071,0.128466,0.124367,0.130465,0.127855,0.129859,0.127767,0.126616,0.129858,0.137263,0.126589,0.125192,0.124170,0.128493,0.125372,0.127325,0.128191,0.137448,0.131045,0.124483,0.130467
SSB OD,,N/A,-0.000011,0.003784,0.002354,0.001567,0.003970,0.002696,0.002851,0.000243,0.001618,0.003002,0.001732,0.000761,0.003234,0.000194,0.004462,0.001190,0.003359,0.001833,0.001251,0.002176,0.002110,0.002031,0.002141,0.002982,0.001890,0.002854,0.001280,0.000425,0.004680,0.002112,-0.000633,0.000483,0.001552,0.002821,0.003579,0.001963,0.000681,-0.001821,0.002360,0.002316,0.002402,0.003031,0.003045,0.000704,0.001552,0.001702,0.002315,0.001222,0.002678,0.001765,0.001890,0.000976,-0.000155,0.001339,0.002144,0.001281,-0.000914,0.004333,0.002265,0.003081,0.002950,0.002119,0.000581,0.001205,0.000337,0.002424,-0.003966,0.003625,0.003199,0.001590,0.002161,0.002039,0.000131,0.002581,0.004517,0.001937,0.000961,-0.001295,0.002640,-0.000403,0.002559,0.000350,0.001154,0.000245,0.001507,0.002297,0.002997,0.001245,0.001783,0.001939,0.000348,0.002756,0.001418,0.001254,0.002304,0.002378,0.000930,0.002276,0.004237,-0.001588,0.002343,-0.001183,0.003489,0.001069,0.000458,0.002541,0.003193,0.002462,0.002191,0.001436,0.002712,0.001541,-0.000634,-0.002297,-0.001070,0.002641,0.001667,-0.000022,0.000410,0.003418,0.003359,0.002587,0.002168,0.002861,0.003661,-0.000782,-0.000279,0.003549,0.000270,0.005212,0.003751,0.002777,0.002888,-0.000852,0.001043,-0.000104,-0.000874,0.000376,0.004625,0.000849,0.001941,0.000076,0.000196,0.002313,-0.000186,0.000188,0.002695,0.003013,-0.001839,-0.000917,-0.000409,0.002196,-0.001307,0.002100,0.001186,0.003927,0.003473,-0.001579,0.001699
CSB OD,,N/A,-0.000008,0.003726,0.000636,0.001285,0.004272,0.001468,0.002911,-0.000000,0.002022,0.001744,0.001670,0.001191,0.002356,0.000159,0.003392,-0.000140,0.000268,-0.000329,0.000825,-0.000228,0.001456,0.000298,0.000225,0.002799,-0.000021,0.002731,-0.002538,0.002070,0.003816,0.000320,0.000076,-0.001873,0.000815,0.001386,0.002485,-0.000769,0.001040,-0.000916,0.002454,0.000065,0.001562,-0.000382,0.002280,0.002449,0.001396,-0.000665,0.001517,0.000799,0.001620,-0.000694,0.001259,-0.000267,0.001455,-0.001644,0.001288,-0.000446,0.000326,0.003151,0.002645,0.001418,0.002608,-0.001187,0.000581,0.001953,0.000041,0.001406,-0.001185,0.003077,0.003407,-0.001633,0.000399,-0.001258,0.000316,0.000960,0.003434,0.002956,-0.000369,-0.000855,0.002935,0.000885,0.000510,0.000786,-0.000133,-0.001523,0.001348,-0.000747,0.001136,0.000675,0.000813,0.000258,0.000588,0.002652,0.001006,0.000923,0.001357,0.002795,0.000655,0.000078,0.002028,-0.001700,-0.000109,-0.000421,0.003420,0.001105,0.000570,-0.001397,0.001716,0.003121,-0.000200,-0.000425,0.001431,0.000327,0.000498,-0.001917,0.000765,0.001192,-0.000203,0.000927,0.000225,0.001904,0.002278,0.000839,-0.000527,0.001212,0.003885,0.000954,-0.003495,0.002853,0.000747,0.004444,0.002878,0.002255,0.002379,0.000422,-0.002108,-0.003559,-0.000394,0.000085,0.004604,0.001417,-0.001166,0.002206,0.001461,0.002038,0.001397,0.000238,0.001507,0.002760,0.000135,-0.000935,-0.001467,0.000705,-0.001363,0.000297,0.000572,0.003927,0.003673,-0.001702,0.002034
