Design Study 1
Scenarios/Iterations:, 154
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154
CS OD,,N/A,0.018250,0.022371,0.021245,0.022248,0.025552,0.023085,0.020136,0.027217,0.022684,0.020515,0.022773,0.014480,0.017830,0.022158,0.030488,0.023173,0.023036,0.021504,0.024776,0.022378,0.021633,0.022187,0.023715,0.023279,0.022167,0.023138,0.021881,0.021746,0.021738,0.020627,0.039956,0.022445,0.021713,0.029678,0.022559,0.022897,0.021764,0.020366,0.020524,0.013107,0.022741,0.023642,0.023251,0.015610,0.022598,0.024739,0.024094,0.025571,0.022740,0.020888,0.020379,0.021082,0.022225,0.020772,0.013014,0.017202,0.022823,0.021314,0.023352,0.022639,0.022124,0.021226,0.022098,0.021626,0.028074,0.023605,0.021980,0.023398,0.022189,0.022996,0.021999,0.028709,0.023726,0.022073,0.023593,0.022869,0.020281,0.027594,0.022951,0.021373,0.023335,0.020888,0.023100,0.021362,0.022638,0.022414,0.021584,0.023021,0.020138,0.022871,0.023259,0.020758,0.019962,0.022121,0.022089,0.021866,0.021224,0.022165,0.021917,0.021695,0.020646,0.022710,0.022606,0.023651,0.021724,0.032174,0.021785,0.023855,0.023167,0.022720,0.022666,0.024251,0.023313,0.023879,0.021872,0.023976,0.021767,0.022246,0.021863,0.022369,0.024937,0.028661,0.022162,0.021914,0.024153,0.022982,0.023815,0.023727,0.022597,0.042913,0.021535,0.021556,0.022066,0.022830,0.022765,0.022343,0.023911,0.021653,0.022555,0.045393,0.023014,0.026245,0.022527,0.024631,0.024977,0.022839,0.037296,0.020440,0.024429,0.024326,0.023729,0.022285,0.022955,0.031747,0.021821
SS OD,,N/A,0.011800,0.011753,0.013260,0.012393,0.014594,0.013692,0.014607,0.012288,0.014017,0.035840,0.013742,0.013767,0.012214,0.011559,0.014261,0.014254,0.013584,0.013145,0.014103,0.013700,0.013858,0.015141,0.013221,0.010757,0.014479,0.012501,0.014326,0.011334,0.014196,0.014674,0.013340,0.013860,0.012470,0.017980,0.019535,0.014043,0.013339,0.013450,0.013392,0.012782,0.014378,0.013741,0.012987,0.012260,0.014967,0.013795,0.013216,0.018716,0.017768,0.014161,0.015262,0.014262,0.014671,0.012709,0.012761,0.011920,0.011638,0.021432,0.013593,0.021249,0.011582,0.012755,0.012556,0.013640,0.015279,0.014610,0.019017,0.012816,0.013126,0.011264,0.013922,0.018882,0.012853,0.018667,0.013809,0.014623,0.021725,0.013588,0.014488,0.013606,0.013514,0.013855,0.014775,0.013458,0.012335,0.018620,0.012671,0.012825,0.014810,0.014318,0.012368,0.012478,0.012249,0.014661,0.013976,0.013196,0.014420,0.014787,0.014220,0.015021,0.013838,0.012703,0.014506,0.010779,0.013079,0.014799,0.012676,0.013735,0.014270,0.011980,0.013090,0.031270,0.014009,0.012715,0.013809,0.020996,0.012615,0.012734,0.015536,0.013883,0.012667,0.020686,0.013690,0.013280,0.011562,0.014382,0.011732,0.021084,0.013761,0.016153,0.014440,0.012900,0.015656,0.011935,0.013795,0.010765,0.013869,0.011964,0.013107,0.012162,0.014662,0.012781,0.012308,0.013109,0.013005,0.018739,0.014206,0.014563,0.013429,0.012122,0.014511,0.012722,0.012440,0.018490,0.012524
ST OD,,N/A,0.028600,0.031961,0.032532,0.032608,0.031380,0.031509,0.028709,0.030360,0.034566,0.034223,0.033113,0.031129,0.031037,0.032969,0.034534,0.031401,0.034557,0.031240,0.033569,0.029708,0.030605,0.032868,0.032346,0.032457,0.034084,0.033825,0.031232,0.032306,0.033536,0.031987,0.043095,0.031630,0.031282,0.031783,0.031676,0.032203,0.031342,0.033268,0.030491,0.031200,0.030770,0.033744,0.033134,0.028514,0.031820,0.043259,0.032629,0.031706,0.031345,0.028852,0.029016,0.030767,0.032918,0.033862,0.026660,0.029509,0.030750,0.032893,0.030486,0.032674,0.031865,0.030630,0.030055,0.032543,0.032829,0.033380,0.032746,0.031801,0.033108,0.033661,0.033219,0.032340,0.034153,0.032489,0.034271,0.028534,0.030945,0.033317,0.032186,0.029964,0.032240,0.030822,0.031465,0.033424,0.033382,0.033984,0.038504,0.033753,0.028778,0.032052,0.034629,0.030382,0.030235,0.032047,0.033270,0.035000,0.031390,0.032352,0.031622,0.029909,0.030686,0.032370,0.031395,0.031409,0.032458,0.031852,0.034664,0.033210,0.031924,0.034015,0.031854,0.032776,0.032781,0.032114,0.029595,0.032678,0.032515,0.029990,0.031905,0.031483,0.033020,0.031562,0.032718,0.031977,0.032184,0.034146,0.032906,0.032448,0.031481,0.033822,0.032301,0.029322,0.031404,0.030925,0.033588,0.033125,0.032684,0.032646,0.030297,0.032923,0.032107,0.034001,0.030488,0.032709,0.035536,0.034054,0.032974,0.030491,0.033726,0.031999,0.034162,0.031396,0.031666,0.034653,0.032524
CS F,,m,0.015,0.01536,0.01482,0.01499,0.01505,0.01538,0.01429,0.01556,0.01511,0.01528,0.01484,0.01551,0.0145,0.01473,0.01525,0.01522,0.01525,0.01458,0.015,0.01499,0.0149,0.01481,0.01486,0.01472,0.0155,0.01528,0.01434,0.01545,0.01448,0.01513,0.01496,0.01503,0.01512,0.01547,0.01583,0.01466,0.01461,0.01482,0.01468,0.01425,0.01477,0.01504,0.01491,0.01477,0.01475,0.01462,0.0154,0.01451,0.01498,0.01539,0.01498,0.01549,0.01506,0.01498,0.01467,0.01427,0.01509,0.01489,0.01528,0.01517,0.01525,0.01487,0.01562,0.01508,0.01482,0.01486,0.01512,0.01517,0.01489,0.01515,0.0146,0.01554,0.01546,0.01492,0.01464,0.01483,0.01552,0.01524,0.01522,0.01485,0.01535,0.01433,0.01513,0.01491,0.01529,0.01499,0.01541,0.01494,0.01511,0.0148,0.01487,0.01493,0.01499,0.01484,0.01416,0.01455,0.01489,0.01526,0.0152,0.01462,0.01546,0.0155,0.01504,0.01509,0.01482,0.0148,0.0158,0.01469,0.01477,0.01537,0.01555,0.01523,0.01509,0.01505,0.0152,0.01441,0.01498,0.01447,0.01488,0.01495,0.01524,0.01552,0.0156,0.01586,0.0151,0.0148,0.01526,0.01484,0.01498,0.01511,0.01495,0.01428,0.01492,0.01571,0.01472,0.01491,0.01485,0.01437,0.009229,0.01574,0.01473,0.01453,0.01516,0.0145,0.01546,0.01554,0.01504,0.01473,0.01506,0.01471,0.01518,0.0149,0.01504,0.01537,0.01452
HT LX,,N/A,0.046600,0.052524,0.045654,0.047442,0.044999,0.039968,0.045168,0.038824,0.038752,0.041954,0.049622,0.047132,0.045759,0.046278,0.025533,0.046940,0.090909,0.054948,0.081841,0.041801,0.046737,0.052741,0.050295,0.046343,0.051291,0.047842,0.039980,0.046590,0.050007,0.051909,0.044891,0.045070,0.037626,0.058527,0.064285,0.062918,0.050922,0.045978,0.040759,0.033424,0.030561,0.052036,0.051663,0.039233,0.057418,0.049393,0.052042,0.033240,0.046901,0.049601,0.047138,0.037318,0.047141,0.052867,0.036452,0.046732,0.045386,0.050389,0.040112,0.049925,0.035922,0.048962,0.042421,0.053819,0.057321,0.052973,0.048674,0.052997,0.065313,0.055189,0.061915,0.048596,0.052024,0.048832,0.051457,0.056742,0.037915,0.050240,0.063089,0.029539,0.061140,0.047222,0.049201,0.025923,0.052982,0.052148,0.036092,0.049796,0.037414,0.051069,0.052295,0.047333,0.044494,0.050022,0.050048,0.051456,0.044650,0.050387,0.045906,0.034921,0.034393,0.045609,0.047764,0.048696,0.046720,0.049342,0.062811,0.039705,0.048858,0.053390,0.048506,0.047666,0.083608,0.071386,0.036561,0.037158,0.066473,0.052811,0.049482,0.045798,0.037502,0.042385,0.049570,0.043439,0.051872,0.047912,0.040782,0.050831,0.056274,0.048257,0.050242,0.050868,0.049244,0.069660,0.033627,0.047819,0.039934,0.047764,0.043243,0.040970,0.054300,0.041364,0.045316,0.053375,0.052379,0.045176,0.047770,0.034804,0.045143,0.047263,0.040671,0.052521,0.046750,0.051458,0.076139
ST UX,,N/A,0.032900,0.067046,0.034391,0.051085,0.040255,0.070397,0.042778,0.064984,0.028737,0.047635,0.061678,0.032817,0.035284,0.051329,0.043086,0.051611,0.046734,0.036872,0.046789,0.041023,0.034967,0.051594,0.049835,0.048473,0.071119,0.048192,0.031698,0.066260,0.067355,0.047036,0.020885,0.047799,0.041964,0.048665,0.067030,0.042324,0.014939,0.045177,0.040487,0.049234,0.045181,0.034086,0.057902,0.018558,0.031275,0.034675,0.046181,0.026253,0.052194,0.026847,0.014458,0.018294,0.038513,0.049755,0.024889,0.036141,0.011076,0.129110,0.036160,0.065330,0.029908,0.046772,0.042687,0.057894,0.057448,0.056492,0.133642,0.037365,0.034341,0.035328,0.052525,0.058872,0.062669,0.046231,0.092712,0.022090,0.073758,0.073127,0.043087,0.037912,0.097512,0.030763,0.024056,0.064984,0.038790,0.016562,0.036147,0.047191,0.032805,0.067912,0.029119,0.033259,0.248138,0.066977,0.048189,0.046451,0.047337,0.086435,0.065672,0.033720,0.053698,0.059716,0.042540,0.047539,0.035497,0.047465,0.049504,0.047163,0.037851,0.047863,0.056961,0.095921,0.051540,0.049581,0.076527,0.045862,0.036902,0.024964,0.049686,0.046055,0.020000,0.074545,0.051104,0.051064,0.058954,0.050937,0.044829,0.067102,0.065402,0.032284,0.070754,0.037437,0.041586,0.060660,0.032124,0.050126,0.048454,0.042479,0.064505,0.057471,0.057719,0.138389,0.036531,0.024429,0.051536,0.027526,0.054321,0.193258,0.060525,0.036083,0.049491,0.049553,0.032785,0.047602,0.039866
HT UX,,N/A,0.035900,0.029380,0.032788,0.033860,0.045521,0.031259,0.024638,0.034914,0.030078,0.032299,0.024199,0.027783,0.042530,0.035129,0.022319,0.036486,0.041836,0.027248,0.042571,0.035551,0.038069,0.037293,0.038723,0.038386,0.037971,0.044313,0.031263,0.039730,0.032419,0.038779,0.032064,0.030275,0.031518,0.030908,0.053634,0.041152,0.031283,0.027056,0.028389,0.025972,0.013669,0.034910,0.038740,0.036784,0.030739,0.035445,0.038219,0.030260,0.031107,0.021226,0.022533,0.032829,0.022839,0.036605,0.022499,0.041462,0.026596,0.031864,0.032377,0.032404,0.041243,0.032220,0.036966,0.034271,0.039319,0.029567,0.028975,0.037961,0.036717,0.032340,0.034300,0.041740,0.052512,0.029627,0.030668,0.020908,0.038723,0.036967,0.036209,0.026321,0.030823,0.019731,0.028587,0.036750,0.033430,0.027884,0.030119,0.040698,0.022370,0.024272,0.035167,0.028419,0.027458,0.021920,0.032976,0.034492,0.031560,0.034584,0.031913,0.034654,0.045536,0.041083,0.025569,0.036681,0.036126,0.069290,0.051738,0.032875,0.026413,0.038981,0.034256,0.033016,0.040815,0.034036,0.033482,0.030251,0.037343,0.024420,0.028873,0.045102,0.023273,0.034199,0.035590,0.028169,0.058134,0.029217,0.047806,0.030513,0.038073,0.035739,0.030069,0.027065,0.025974,0.040015,0.038020,0.050350,0.037074,0.031734,0.032361,0.038288,0.035516,0.039794,0.035881,0.039186,0.041907,0.039754,0.037712,0.026676,0.039701,0.026470,0.042767,0.034838,0.033028,0.040078,0.052591
HT Angle,,deg,73.25,68.54415,77.50955,73.0396,72.238,71.78914,72.18749,67.88512,74.05129,70.23386,66.6735,72.06169,71.97698,72.97604,72.13545,67.58331,73.042,70.62676,72.1378,68.58622,73.47057,77.1973,72.03837,73.97467,74.23145,74.2779,69.55353,72.86063,72.28734,73.93996,76.08057,70.54559,72.94721,70.48194,73.07465,74.46042,73.80381,72.02799,74.37432,66.01313,67.33657,72.0348,71.77871,74.19949,71.13347,73.67932,74.09906,67.31666,70.72078,74.02217,72.24208,74.3267,73.77383,73.00667,67.00769,71.95536,72.08238,73.93823,71.90632,67.90773,74.36709,72.11877,67.38439,74.45864,66.50302,73.05053,76.19456,73.30717,73.71203,74.19393,73.03244,66.56148,72.9569,66.99397,70.32682,72.2768,66.04906,73.40202,73.01291,59.64042,74.04835,70.63265,72.93543,75.33947,70.75819,74.12399,72.31777,74.62381,67.39678,71.05689,73.96111,76.12825,77.01515,67.66332,72.45417,72.91147,73.7334,72.34627,65.96647,73.08835,64.75579,74.3178,73.26558,73.60682,72.44266,72.9773,74.20519,73.03052,70.87962,74.16799,74.4501,70.23947,71.5149,73.73709,74.10508,71.08194,73.78373,74.48513,74.12751,70.68203,67.72392,67.35638,73.04742,65.93745,71.84075,70.72501,71.9696,67.20788,73.8294,71.87613,71.99731,73.05609,77.48756,72.35314,72.07014,73.91607,73.0284,72.11483,67.04644,73.75726,70.6928,67.55933,71.93703,74.10352,74.24929,73.03594,70.99763,65.44714,72.90259,73.37561,74.07396,72.24172,71.70193,71.72434,72.20739
HT Length,,m,0.1486,0.09973,0.15459,0.15757,0.11882,0.10413,0.09676,0.1218,0.09963,0.17636,0.07866,0.11068,0.16868,0.14686,0.06247,0.11424,0.20067,0.10116,0.17598,0.10008,0.17546,0.16336,0.28759,0.11821,0.14821,0.14569,0.18468,0.14749,0.19733,0.16987,0.11576,0.18325,0.10727,0.0934,0.15502,0.14644,0.11856,0.15343,0.09298,0.0794,0.09748,0.17219,0.18789,0.11104,0.09593,0.19234,0.14738,0.08423,0.10978,0.11132,0.08405,0.1689,0.1076,0.09926,0.07563,0.17557,0.12874,0.11284,0.13011,0.12161,0.17145,0.1596,0.10199,0.11096,0.17755,0.10298,0.18601,0.14962,0.06662,0.17013,0.14436,0.11864,0.18228,0.11975,0.2546,0.06226,0.08717,0.15321,0.2601,0.10781,0.10292,0.07641,0.10999,0.14955,0.17356,0.15877,0.12131,0.13084,0.096,0.13916,0.12463,0.09871,0.16779,0.15054,0.1405,0.1106,0.20984,0.14494,0.16846,0.19703,0.08359,0.1458,0.10257,0.17494,0.12427,0.08074,0.07591,0.12752,0.12226,0.16771,0.16037,0.11063,0.16015,0.14651,0.17202,0.10495,0.17299,0.10561,0.13328,0.13996,0.11173,0.11982,0.16287,0.11119,0.1468,0.1819,0.15285,0.10358,0.12303,0.16623,0.11013,0.0924,0.09876,0.14495,0.12173,0.14803,0.12279,0.16542,0.11486,0.1468,0.1178,0.11071,0.18198,0.14871,0.17787,0.16549,0.1154,0.08184,0.14693,0.11291,0.16967,0.15134,0.2283,0.1907,0.18566
ST Length,,m,0.545,0.27291,0.60395,0.55832,0.24964,0.46979,0.35214,0.34759,0.23974,0.5717,0.08993,0.53064,0.63009,0.59523,0.43082,0.16532,0.59446,0.36819,0.59076,0.18147,0.58996,0.58758,0.48497,0.50797,0.4171,0.57192,0.31771,0.5135,0.59209,0.44758,0.51583,0.52616,0.51863,0.40112,0.46701,0.58497,0.59024,0.50109,0.48677,0.23599,0.19991,0.60909,0.51701,0.54319,0.18169,0.57495,0.55857,0.19985,0.45965,0.43695,0.31502,0.47331,0.43095,0.60069,0.43689,0.70054,0.52753,0.53698,0.51988,0.43676,0.58052,0.56087,0.27947,0.56539,0.30217,0.57735,0.46382,0.56917,0.53821,0.55144,0.55342,0.29793,0.50458,0.50297,0.56946,0.51677,0.28094,0.62264,0.47302,0.28605,0.50876,0.43306,0.42031,0.56356,0.53897,0.58778,0.55964,0.57782,0.34226,0.59405,0.59494,0.13674,0.52337,0.38402,0.57335,0.59169,0.55629,0.52099,0.4977,0.55572,0.49302,0.58314,0.53873,0.57172,0.48464,0.43493,0.43604,0.45648,0.64156,0.48262,0.51384,0.42942,0.56311,0.51444,0.51953,0.5492,0.58049,0.54008,0.47969,0.44527,0.25763,0.64565,0.57444,0.52881,0.51949,0.60508,0.57844,0.28878,0.52102,0.5687,0.29429,0.43753,0.42169,0.56342,0.19571,0.66355,0.56218,0.58343,0.32322,0.55192,0.29087,0.29956,0.60645,0.56515,0.55329,0.55145,0.51884,0.41567,0.56478,0.56545,0.48152,0.57915,0.54973,0.5748,0.58186
BB Length,,m,0.068,0.06859,0.06792,0.06824,0.06797,0.07304,0.06858,0.06843,0.06827,0.07251,0.06823,0.06839,0.06752,0.06774,0.06791,0.06837,0.06779,0.06806,0.06786,0.0682,0.06791,0.06845,0.06857,0.06752,0.06816,0.06834,0.0682,0.06801,0.06823,0.06819,0.06861,0.06768,0.06825,0.0677,0.06811,0.06773,0.06852,0.06841,0.06837,0.06812,0.06814,0.06728,0.06864,0.06825,0.06871,0.06815,0.06779,0.06834,0.07284,0.06847,0.06803,0.06857,0.06795,0.06839,0.07314,0.06818,0.06836,0.06801,0.06834,0.06815,0.06788,0.06764,0.06811,0.06851,0.06809,0.06819,0.06782,0.06816,0.06818,0.06807,0.06905,0.07367,0.06848,0.06822,0.06838,0.06742,0.07311,0.0674,0.06892,0.07347,0.06778,0.06906,0.06875,0.06849,0.06865,0.06796,0.06774,0.06804,0.06852,0.06823,0.06766,0.06881,0.06796,0.06847,0.06858,0.06827,0.06768,0.0682,0.07312,0.06778,0.0734,0.0676,0.06814,0.06807,0.06814,0.06827,0.06711,0.06775,0.06832,0.06816,0.06801,0.09189,0.06788,0.06751,0.06802,0.0683,0.06849,0.06831,0.06855,0.09366,0.06788,0.0729,0.06871,0.0684,0.06765,0.06855,0.06853,0.06816,0.06824,0.06837,0.08806,0.06869,0.06794,0.06818,0.0682,0.06847,0.06849,0.06816,0.07261,0.06815,0.06797,0.06807,0.06773,0.06771,0.06815,0.06779,0.06803,0.06859,0.06877,0.06798,0.06838,0.06809,0.06881,0.06889,0.06809
Dropout Offset,,N/A,0.130000,0.130195,0.130029,0.130626,0.134679,0.129873,0.135324,0.130010,0.130057,0.134942,0.135127,0.129620,0.120016,0.134941,0.129741,0.134720,0.135073,0.134579,0.130593,0.135228,0.120181,0.119914,0.135609,0.129981,0.135677,0.130212,0.120863,0.130667,0.134932,0.130230,0.119347,0.130841,0.130150,0.135248,0.129960,0.120212,0.120167,0.129881,0.120361,0.135115,0.111542,0.130067,0.129708,0.119847,0.135104,0.129610,0.120188,0.130485,0.135793,0.130200,0.134916,0.119992,0.129925,0.130513,0.130611,0.121452,0.130766,0.130286,0.120077,0.135213,0.125835,0.130089,0.134927,0.129876,0.135263,0.129902,0.130425,0.130434,0.129761,0.129994,0.130460,0.130497,0.129829,0.130475,0.130396,0.130447,0.134944,0.120194,0.130047,0.135140,0.129938,0.130176,0.130099,0.130167,0.130108,0.130389,0.112270,0.130631,0.129978,0.129966,0.129363,0.129808,0.145837,0.134769,0.135295,0.130595,0.130539,0.130573,0.130614,0.130004,0.130497,0.129757,0.130222,0.129995,0.120246,0.130072,0.120023,0.130904,0.134725,0.129791,0.120802,0.135412,0.129833,0.130491,0.135790,0.120520,0.129618,0.129587,0.130255,0.129781,0.129582,0.142437,0.130936,0.134521,0.129914,0.135051,0.129949,0.130195,0.135140,0.135702,0.135200,0.130170,0.120313,0.129842,0.135210,0.130159,0.130027,0.130192,0.120713,0.130266,0.130615,0.135692,0.131275,0.130029,0.130137,0.129999,0.129649,0.130363,0.130437,0.129940,0.135573,0.135493,0.129639,0.130364,0.135364
SSB OD,,N/A,0.016000,-0.000280,0.015506,-0.000170,-0.000390,0.000278,0.015827,-0.000508,-0.000462,0.016226,0.000142,0.014837,0.015699,-0.000178,0.016063,-0.000354,-0.000472,0.015725,-0.000153,0.000395,-0.000104,0.000211,0.000187,-0.000262,-0.000140,0.000143,-0.000147,-0.000606,0.000275,0.000056,0.015536,0.016700,0.015627,-0.000105,-0.000590,0.000265,0.014998,0.000191,-0.000580,-0.000504,-0.000037,0.015175,-0.000535,0.015037,0.001037,0.015603,0.000559,-0.000076,0.000247,0.016013,-0.000230,0.015356,0.000458,0.016157,0.015459,0.015565,0.014709,0.016185,-0.000190,0.000229,-0.000978,0.015392,-0.000847,0.015695,-0.000420,0.015950,-0.000537,0.015509,0.015617,0.016769,0.015340,0.000189,0.000015,0.000069,0.015822,0.016075,-0.000050,0.015503,-0.000304,-0.000852,0.015608,0.015665,0.000199,0.015856,0.015564,0.016041,0.015185,0.000217,0.015661,0.016599,0.015884,-0.000271,0.015705,0.000137,0.015480,0.016535,0.000163,-0.000396,0.000061,-0.000412,-0.000006,-0.000626,0.015062,0.015671,-0.000283,0.000607,0.000881,0.015321,0.015528,-0.000542,0.016053,0.016766,-0.000271,0.015304,0.015370,0.000195,0.009173,-0.000121,0.000322,0.015302,-0.000272,-0.000256,-0.000172,0.000278,-0.000456,0.015384,0.015300,0.000102,0.000003,-0.000197,-0.000080,0.015503,0.016119,-0.000340,0.000110,-0.000134,0.015920,0.015844,-0.000002,-0.000341,-0.000434,0.000432,0.015288,0.000412,-0.000068,-0.000180,0.000152,-0.000005,-0.000852,0.015779,0.000498,-0.000271,-0.000279,-0.000542,-0.000011
CSB OD,,N/A,0.018000,0.000365,0.018369,0.000127,0.000218,0.000292,-0.000346,0.000287,-0.000095,0.018818,0.000813,0.018469,0.018321,-0.000187,0.018330,-0.000312,0.000468,0.017867,-0.000068,0.000323,-0.000258,0.000166,0.000783,-0.000081,-0.000086,-0.000206,0.000109,-0.000114,0.000725,0.000443,0.000743,0.018425,-0.000064,0.000063,0.000449,-0.000179,0.018104,-0.000075,0.000080,0.000872,0.000796,0.018239,0.000249,0.018134,0.000605,0.017678,-0.000610,0.000450,-0.000334,0.017695,-0.000234,0.017992,0.000240,-0.000107,0.012896,0.017219,0.018648,0.018566,0.017571,0.000311,0.000071,0.018213,0.000428,0.018223,0.000732,0.017928,0.000132,0.017563,0.000254,0.017886,-0.000473,0.000351,0.000187,0.000344,0.017682,0.000512,0.000284,0.018584,0.000105,-0.000096,0.018558,0.018252,-0.000265,0.017956,0.018076,0.018203,0.017680,-0.000117,0.018434,0.000811,0.018426,0.000240,0.017832,0.000279,0.018860,0.018123,-0.000051,0.000179,0.000065,-0.000214,0.000138,0.000261,0.018627,-0.000005,0.018146,0.000887,-0.000212,0.017776,0.018577,0.000478,0.017662,0.017721,0.000192,0.018187,0.017818,0.000780,0.018118,0.000831,-0.000261,0.017958,0.000304,-0.000079,0.000234,0.000311,-0.000237,0.018725,0.018045,-0.000221,-0.000148,-0.000225,0.000245,0.018148,0.018081,-0.000119,-0.000011,-0.000591,0.018156,0.017477,-0.000068,0.000059,0.000248,-0.000569,0.018586,-0.000035,-0.000006,-0.000297,0.000582,-0.000052,0.000039,0.018461,-0.000427,0.000590,-0.000558,0.000680,-0.000008
