Design Study 1
Scenarios/Iterations:, 156
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156
CS OD,,N/A,0.018250,0.022377,0.024770,0.030397,0.026657,0.024090,0.025158,0.020397,0.021111,0.021906,0.023344,0.023654,0.023002,0.024003,0.021353,0.022376,0.013112,0.022488,0.022017,0.032845,0.022398,0.023917,0.021842,0.023410,0.021958,0.023677,0.017435,0.022978,0.024757,0.022910,0.023839,0.024114,0.021352,0.024136,0.022246,0.023464,0.022786,0.032173,0.021884,0.018335,0.022919,0.022473,0.021438,0.024588,0.016534,0.023001,0.023637,0.023260,0.024935,0.022264,0.031205,0.015690,0.023135,0.022006,0.023217,0.020929,0.022016,0.023388,0.033013,0.022956,0.023806,0.025183,0.024457,0.017427,0.023795,0.029986,0.016140,0.021824,0.022956,0.022609,0.021848,0.016526,0.022501,0.024841,0.031047,0.034486,0.020212,0.023735,0.024281,0.024319,0.028846,0.024455,0.024094,0.030202,0.021965,0.022415,0.022427,0.035517,0.022409,0.023331,0.022867,0.015498,0.024355,0.020539,0.026143,0.021661,0.023694,0.023697,0.024084,0.022684,0.020773,0.024828,0.023868,0.023320,0.024502,0.024561,0.034221,0.021943,0.023705,0.024242,0.019579,0.021803,0.024480,0.025055,0.021799,0.021565,0.022146,0.023160,0.020329,0.016156,0.024268,0.023542,0.017648,0.017531,0.022117,0.023467,0.023018,0.020875,0.023876,0.023452,0.024634,0.024964,0.025384,0.020607,0.038473,0.033817,0.025127,0.022739,0.021829,0.023991,0.023001,0.025075,0.018857,0.022477,0.023506,0.023057,0.022707,0.020675,0.038142,0.023047,0.021797,0.023023,0.024875,0.018279,0.017179,0.022857,0.024233
SS OD,,N/A,0.011800,0.014472,0.014487,0.023139,0.015116,0.017080,0.014757,0.014196,0.012615,0.013395,0.014560,0.012399,0.011668,0.014380,0.015271,0.013839,0.012949,0.012956,0.010955,0.018553,0.012522,0.014779,0.013492,0.014864,0.012657,0.013017,0.019447,0.014609,0.020603,0.012841,0.019268,0.015802,0.013464,0.014805,0.012003,0.012031,0.011061,0.015353,0.014290,0.010392,0.014069,0.020161,0.022574,0.012381,0.010429,0.013285,0.013263,0.014033,0.012893,0.014190,0.018668,0.010538,0.015678,0.013176,0.012370,0.013258,0.011108,0.014228,0.012357,0.012849,0.013896,0.014936,0.015142,0.010501,0.014564,0.034234,0.011616,0.011886,0.011552,0.015835,0.013761,0.011901,0.013996,0.014240,0.013813,0.013787,0.012494,0.012800,0.021494,0.012517,0.012186,0.013838,0.021445,0.012953,0.018626,0.012109,0.014296,0.019983,0.012711,0.013857,0.012841,0.011428,0.015288,0.011485,0.013313,0.015661,0.012511,0.015241,0.014799,0.014340,0.013434,0.012557,0.014069,0.012060,0.013963,0.014662,0.018832,0.016383,0.011456,0.012656,0.013786,0.012882,0.018723,0.013394,0.014092,0.011459,0.011810,0.011977,0.011170,0.012363,0.014548,0.012827,0.009647,0.013198,0.013836,0.013077,0.015061,0.012201,0.014538,0.012040,0.017488,0.012383,0.011390,0.012556,0.021865,0.015398,0.012593,0.019120,0.014617,0.012541,0.014313,0.018024,0.012866,0.012105,0.011892,0.012370,0.013072,0.011898,0.015834,0.020144,0.018925,0.014538,0.015367,0.013933,0.013634,0.014637,0.016490
ST OD,,N/A,0.028600,0.031607,0.039691,0.046588,0.032616,0.030780,0.029730,0.030743,0.028538,0.029553,0.027874,0.031805,0.029090,0.033617,0.030027,0.034441,0.026764,0.031527,0.031043,0.031714,0.030224,0.031809,0.031375,0.031679,0.030625,0.031412,0.027724,0.028717,0.027237,0.031463,0.031526,0.029483,0.030835,0.031908,0.030048,0.031780,0.028952,0.031909,0.031739,0.029686,0.032021,0.040137,0.030415,0.031741,0.029065,0.030414,0.031830,0.031256,0.032442,0.029106,0.031792,0.027917,0.030532,0.032071,0.031888,0.030690,0.032009,0.029878,0.031542,0.031836,0.031970,0.031396,0.034048,0.027991,0.031625,0.033680,0.028318,0.031718,0.028866,0.029237,0.029192,0.029298,0.033324,0.031831,0.032892,0.033102,0.030499,0.031665,0.032156,0.031930,0.031761,0.029155,0.031847,0.032189,0.033399,0.028769,0.030743,0.031534,0.029324,0.039888,0.031935,0.027698,0.031641,0.031801,0.034481,0.030892,0.032711,0.030973,0.031879,0.032334,0.030364,0.029624,0.031828,0.028189,0.030945,0.031930,0.032337,0.032043,0.030889,0.031798,0.031845,0.029690,0.031684,0.031764,0.032109,0.030409,0.030659,0.027036,0.027863,0.029793,0.028293,0.031496,0.028619,0.028106,0.030164,0.031978,0.048085,0.031750,0.029816,0.031697,0.034511,0.031564,0.031772,0.031307,0.032160,0.040148,0.033211,0.031730,0.033547,0.031625,0.032270,0.040049,0.027800,0.028641,0.029091,0.031176,0.028111,0.030307,0.052331,0.031905,0.032068,0.031622,0.034216,0.030989,0.029525,0.031963,0.031597
CS F,,m,0.015,0.01507,0.01504,0.02205,0.01509,0.01493,0.01501,0.01496,0.01497,0.01501,0.01498,0.01496,0.01498,0.01492,0.01505,0.01501,0.01503,0.01499,0.01504,0.01512,0.015,0.01497,0.01504,0.01496,0.0151,0.0151,0.01531,0.01499,0.01501,0.01493,0.01485,0.01503,0.015,0.01499,0.01513,0.01504,0.01498,0.01498,0.015,0.01504,0.015,0.015,0.01505,0.01506,0.01503,0.01499,0.0151,0.01494,0.01507,0.01444,0.01509,0.002102,0.01507,0.01501,0.01499,0.015,0.01497,0.01507,0.01499,0.01507,0.015,0.01502,0.0149,0.01448,0.01495,0.01493,0.01496,0.01492,0.01507,0.01502,0.01502,0.01507,0.015,0.01499,0.01499,0.01501,0.01463,0.01507,0.01496,0.01503,0.01503,0.01499,0.01505,0.01506,0.01499,0.01507,0.01501,0.01489,0.01492,0.01492,0.01496,0.01466,0.01503,0.015,0.01472,0.01534,0.01497,0.01507,0.01507,0.01499,0.009919,0.0151,0.015,0.01501,0.01505,0.01505,0.01501,0.01543,0.01509,0.01508,0.01499,0.01503,0.0151,0.01505,0.01502,0.01497,0.01501,0.01502,0.01495,0.01497,0.0158,0.0151,0.01503,0.01501,0.01502,0.01522,0.01492,0.01504,0.01507,0.01504,0.01499,0.01511,0.01506,0.01498,0.01501,0.02206,0.01504,0.01505,0.02294,0.01504,0.01498,0.01504,0.01507,0.01507,0.01504,0.01503,0.01504,0.01492,0.01493,0.01509,0.01508,0.01501,0.01487,0.01503,0.01503,0.01505,0.015
HT LX,,N/A,0.046600,0.048786,0.050108,0.057276,0.052188,0.090027,0.039813,0.048919,0.033561,0.050674,0.024859,0.044901,0.046335,0.040575,0.037606,0.033361,0.040645,0.046677,0.051467,0.046042,0.047913,0.050992,0.026361,0.044592,0.053385,0.048664,0.034091,0.050049,0.052124,0.050786,0.051707,0.045278,0.041331,0.049490,0.050174,0.042302,0.033869,0.050765,0.049825,0.035204,0.046403,0.052273,0.057132,0.052554,0.033021,0.053263,0.050470,0.051623,0.031549,0.049524,0.047568,0.033952,0.054228,0.046466,0.045635,0.055395,0.045747,0.047316,0.050339,0.049528,0.042475,0.042639,0.038687,0.038351,0.035544,0.035383,0.033195,0.045379,0.039899,0.052679,0.038028,0.032505,0.047658,0.027797,0.050641,0.050840,0.046154,0.044002,0.037378,0.034597,0.049131,0.026150,0.032475,0.052370,0.038113,0.052565,0.050795,0.031991,0.029229,0.043693,0.049695,0.039775,0.050084,0.049670,0.046839,0.044275,0.044083,0.045688,0.052022,0.049841,0.047161,0.034064,0.050754,0.052114,0.055564,0.043003,0.080185,0.026347,0.052195,0.046358,0.038030,0.033571,0.051221,0.046461,0.047953,0.037101,0.026968,0.042303,0.037764,0.037185,0.039981,0.051146,0.039204,0.036468,0.046944,0.055779,0.050936,0.052364,0.043480,0.041809,0.052872,0.051201,0.052644,0.048317,0.069821,0.047362,0.050338,0.047377,0.041833,0.056050,0.046192,0.055853,0.050271,0.037330,0.031848,0.048822,0.054809,0.046898,0.051140,0.051542,0.066484,0.048785,0.043271,0.024913,0.039641,0.051879,0.053946
ST UX,,N/A,0.032900,0.044413,0.072453,0.035929,0.054662,0.041901,0.031942,0.065315,0.035519,0.043150,0.031061,0.051143,0.039158,0.199016,0.052517,0.045133,0.010737,0.035938,0.027489,0.024330,0.020230,0.049303,0.121671,0.030654,0.035228,0.112756,0.015536,0.063477,0.034664,0.053436,0.047250,0.052634,0.019423,0.036833,0.050435,0.049560,0.032630,0.165670,0.049254,0.021862,0.050958,0.111382,0.047505,0.033748,0.023574,0.048889,0.047879,0.049972,0.120632,0.011434,0.040955,0.008998,0.050119,0.032529,0.040301,0.072562,0.046929,0.194132,0.049227,0.042871,0.051998,0.048647,0.045596,0.017508,0.032851,0.031435,0.036214,0.046635,0.049443,0.170852,0.009716,0.023923,0.092850,0.043544,0.022321,0.049360,0.124838,0.035927,0.023579,0.097391,0.042966,0.014495,0.033992,0.041339,0.109542,0.011184,0.048713,0.032793,0.049628,0.128917,0.050333,0.024874,0.033265,0.047922,0.056725,0.046621,0.045113,0.055768,0.048204,0.046039,0.025539,0.097233,0.049512,0.052254,0.187727,0.021697,0.030608,0.087842,0.058324,0.036873,0.036483,0.014567,0.050987,0.047857,0.067570,0.029571,0.007901,0.016850,0.098543,0.169337,0.021729,0.054023,0.003837,0.021387,0.053904,0.046334,0.104293,0.051525,0.037096,0.047922,0.056820,0.040421,0.014879,0.048067,0.052135,0.047791,0.052754,0.045375,0.033910,0.046342,0.047811,0.108847,0.034509,0.009528,0.010397,0.046301,0.091677,0.035491,0.068672,0.047802,0.050377,0.045626,0.046939,0.017006,0.011214,0.043825,0.051182
HT UX,,N/A,0.035900,0.046362,0.032767,0.044683,0.027197,0.028211,0.027463,0.029737,0.025473,0.034188,0.083567,0.033904,0.032283,0.030611,0.024829,0.008762,0.027631,0.028713,0.041054,0.034335,0.030087,0.031901,0.030563,0.040033,0.034655,0.033074,0.045453,0.032563,0.025456,0.024203,0.026818,0.029013,0.031931,0.028278,0.034986,0.023849,0.026343,0.029173,0.029752,0.026192,0.037722,0.033657,0.031138,0.029343,0.028989,0.020297,0.027937,0.023511,0.019878,0.029656,0.026901,0.027307,0.032712,0.031501,0.040299,0.034208,0.021567,0.034158,0.032269,0.026083,0.023737,0.023272,0.028451,0.027903,0.037208,0.035609,0.031515,0.030770,0.031253,0.030680,0.026444,0.026812,0.036759,0.031424,0.038652,0.031996,0.026848,0.035415,0.024867,0.026463,0.037384,0.027132,0.027597,0.027176,0.026272,0.030768,0.036779,0.025196,0.030887,0.028547,0.032659,0.034703,0.033535,0.035444,0.036548,0.024787,0.031538,0.028064,0.032503,0.034206,0.076239,0.035242,0.028714,0.025358,0.035936,0.022768,0.022648,0.049518,0.033656,0.028363,0.025851,0.030968,0.036706,0.039929,0.021860,0.040377,0.031788,0.026426,0.023596,0.027090,0.036145,0.029147,0.030735,0.033179,0.034363,0.023796,0.028870,0.038724,0.102451,0.035046,0.029893,0.045751,0.033833,0.026623,0.025018,0.028247,0.030035,0.034286,0.046275,0.030569,0.031137,0.056277,0.039959,0.035479,0.035074,0.034630,0.042743,0.037982,0.023226,0.014976,0.022586,0.046603,0.032056,0.025156,0.027081,0.029545,0.030440
HT Angle,,deg,73.25,70.11412,69.55828,67.81413,68.2916,66.13224,64.99418,74.46482,74.08619,73.1386,72.07562,73.8568,71.58882,70.04368,69.11401,84.54881,73.68431,70.7797,73.29984,84.82718,74.976,73.45074,73.116,71.47831,72.9281,67.24967,55.63682,70.77199,71.6856,70.84272,63.71081,72.03736,72.05603,73.04443,72.07512,71.06039,70.51963,73.00997,66.84764,74.49071,70.25235,66.62424,74.83729,72.88151,72.85236,67.5448,69.66455,70.53687,74.80558,72.95859,64.59427,67.98469,70.76908,72.18075,72.21063,67.42774,72.10976,74.50933,70.8795,72.7651,73.01957,73.14628,70.10263,64.16207,73.5768,69.57913,74.0636,74.34102,74.6336,72.88848,72.02639,74.03184,72.97107,65.57018,70.60402,72.1279,70.02824,72.91453,70.35738,74.42443,72.96664,71.45457,65.12632,70.25516,69.70234,72.86095,72.1317,70.36467,71.6176,65.83066,70.54998,72.74344,74.46191,70.56831,72.00124,70.57762,74.31136,73.15081,72.78769,67.91701,72.92332,73.28986,72.94171,72.4589,75.21398,72.38756,71.49573,75.00084,73.00084,71.6434,69.03004,69.94362,64.79517,75.6675,62.64765,70.10743,72.99009,73.06907,74.4671,74.49043,73.9662,71.14258,72.07228,70.3657,70.02801,70.62795,64.79758,72.83453,70.41803,75.56154,66.37797,70.64981,73.04774,71.83309,64.10976,66.65623,71.52198,73.15962,73.01956,71.50667,72.30961,70.41208,72.82685,73.36306,71.55194,73.04002,73.22084,71.79281,62.56857,71.3612,70.69336,71.96342,73.09556,72.97582,78.80569,73.83678,70.96295
HT Length,,m,0.1486,0.16323,0.13464,0.10363,0.09901,0.13631,0.13806,0.1491,0.09706,0.14611,0.14593,0.14319,0.14549,0.14204,0.10021,0.09222,0.11384,0.10391,0.14818,0.12551,0.11542,0.18092,0.16921,0.12223,0.13723,0.11727,0.12814,0.08944,0.12579,0.09689,0.12307,0.18576,0.18142,0.15985,0.14426,0.10006,0.11633,0.10684,0.12656,0.14489,0.13266,0.10177,0.11867,0.1247,0.18809,0.11971,0.17017,0.10102,0.11352,0.13829,0.10719,0.12564,0.12785,0.11317,0.26598,0.11212,0.09858,0.13967,0.1509,0.13441,0.17729,0.1153,0.08985,0.10963,0.12572,0.08935,0.15109,0.12973,0.1416,0.12657,0.09335,0.11913,0.14798,0.09882,0.10638,0.18666,0.09637,0.15017,0.09577,0.14914,0.14707,0.11544,0.10415,0.09452,0.10531,0.19766,0.16506,0.10131,0.08181,0.10505,0.16902,0.13656,0.10655,0.14986,0.14284,0.08998,0.08663,0.12366,0.10804,0.10615,0.18154,0.15841,0.09877,0.11477,0.20569,0.10987,0.10259,0.12552,0.16524,0.08624,0.10326,0.14664,0.15209,0.14984,0.08816,0.16013,0.19104,0.12333,0.19972,0.13648,0.17588,0.16092,0.08247,0.20991,0.12367,0.12872,0.11756,0.22691,0.15489,0.10738,0.12484,0.14158,0.21327,0.0964,0.13431,0.11465,0.18477,0.08228,0.1413,0.11764,0.12247,0.18691,0.16584,0.16973,0.15677,0.11958,0.17925,0.19665,0.13065,0.11337,0.11911,0.20374,0.11092,0.15748,0.12233,0.10717,0.13219
ST Length,,m,0.545,0.55614,0.53619,0.35298,0.25854,0.22955,0.30867,0.63903,0.5361,0.54554,0.35894,0.49133,0.52381,0.4063,0.48817,0.18764,0.62263,0.44678,0.59629,0.62328,0.56978,0.59067,0.48189,0.41391,0.6813,0.49656,0.25739,0.47373,0.27656,0.24187,0.39461,0.63004,0.56481,0.59318,0.60922,0.43771,0.55015,0.60218,0.44158,0.55762,0.40269,0.46265,0.61533,0.51514,0.5918,0.38141,0.50047,0.43351,0.6195,0.53067,0.31328,0.53379,0.46392,0.46211,0.60234,0.25884,0.25979,0.61986,0.52128,0.56829,0.59421,0.59559,0.31444,0.55516,0.21702,0.27305,0.6333,0.53918,0.59335,0.46627,0.51233,0.5829,0.55165,0.34809,0.31782,0.54112,0.49657,0.62586,0.36105,0.57007,0.52857,0.5552,0.2529,0.3163,0.47764,0.59618,0.56635,0.23758,0.54193,0.50931,0.42436,0.52403,0.31624,0.537,0.49381,0.43143,0.28682,0.27934,0.51516,0.53954,0.59402,0.5962,0.36058,0.27804,0.5768,0.28116,0.47155,0.63384,0.56497,0.41918,0.40246,0.65455,0.39919,0.54336,0.48222,0.59455,0.63646,0.58916,0.66212,0.72379,0.5061,0.49291,0.47284,0.5921,0.53304,0.47357,0.55101,0.76981,0.6317,0.52307,0.42269,0.38237,0.57183,0.29518,0.42834,0.49208,0.68875,0.56957,0.5788,0.45259,0.52943,0.60328,0.59996,0.64543,0.52371,0.44409,0.62432,0.61574,0.38143,0.26843,0.45093,0.6204,0.5474,0.53549,0.62099,0.24041,0.29243
BB Length,,m,0.068,0.06808,0.06792,0.06807,0.073,0.06847,0.06806,0.06801,0.068,0.06801,0.06868,0.06804,0.06808,0.07307,0.07324,0.06793,0.06791,0.06799,0.06845,0.06805,0.06804,0.06805,0.06793,0.06808,0.09024,0.06802,0.0681,0.06797,0.06802,0.06797,0.06837,0.06812,0.06801,0.06798,0.06798,0.06796,0.06805,0.06794,0.06805,0.06807,0.06808,0.068,0.06808,0.06808,0.06925,0.06794,0.06799,0.06806,0.06791,0.06782,0.06795,0.06766,0.0926,0.06811,0.06812,0.06802,0.09303,0.06791,0.06796,0.06807,0.06793,0.06796,0.0728,0.06802,0.06831,0.06801,0.068,0.068,0.06802,0.06805,0.06808,0.06802,0.09034,0.06805,0.06804,0.06801,0.06813,0.06798,0.06802,0.068,0.06794,0.068,0.06807,0.07293,0.07298,0.06807,0.06796,0.06794,0.07302,0.07315,0.06802,0.07366,0.068,0.06804,0.10267,0.07295,0.0679,0.06797,0.06805,0.06803,0.06784,0.06805,0.06798,0.06792,0.06802,0.06795,0.06802,0.06798,0.06808,0.06809,0.07309,0.06796,0.06799,0.06812,0.07313,0.06795,0.06797,0.068,0.06808,0.06799,0.06799,0.06804,0.06797,0.0683,0.06804,0.06796,0.08975,0.06799,0.06813,0.06798,0.06793,0.06803,0.06799,0.06799,0.09542,0.06802,0.068,0.06799,0.06792,0.06802,0.06802,0.06824,0.06815,0.06806,0.06805,0.06805,0.06803,0.06813,0.07306,0.06808,0.0905,0.06801,0.08904,0.06802,0.06806,0.068,0.06798
Dropout Offset,,N/A,0.130000,0.129947,0.134981,0.130021,0.129967,0.129972,0.134991,0.129959,0.120023,0.135019,0.120054,0.134959,0.135064,0.120095,0.144281,0.119919,0.130077,0.129970,0.119890,0.120010,0.119921,0.130021,0.134982,0.129983,0.129988,0.135054,0.129996,0.135014,0.134975,0.134938,0.134905,0.141930,0.130044,0.129947,0.129989,0.135009,0.135008,0.129959,0.134874,0.130080,0.129981,0.135033,0.130048,0.130017,0.130012,0.125911,0.135011,0.135039,0.130081,0.135317,0.130015,0.112326,0.148132,0.129987,0.130005,0.134924,0.134896,0.130031,0.135019,0.130035,0.135015,0.120023,0.134776,0.129903,0.119964,0.135043,0.129972,0.119994,0.129987,0.135033,0.130076,0.129993,0.130041,0.129980,0.129999,0.129910,0.130059,0.129993,0.129955,0.120015,0.129930,0.130029,0.130124,0.130066,0.135002,0.130050,0.125990,0.129934,0.141993,0.141875,0.141927,0.130051,0.120016,0.130022,0.135064,0.126606,0.129985,0.129979,0.129946,0.135082,0.134942,0.130061,0.130032,0.134899,0.129993,0.134990,0.129997,0.119986,0.129943,0.130037,0.135030,0.129997,0.135032,0.120001,0.142099,0.130023,0.129988,0.120093,0.120018,0.130045,0.130069,0.134973,0.130037,0.129723,0.134986,0.135064,0.130008,0.130001,0.129920,0.129948,0.135037,0.129924,0.130048,0.135012,0.135010,0.135012,0.134982,0.120050,0.120054,0.134992,0.130012,0.135067,0.125873,0.120016,0.129967,0.129967,0.120097,0.135014,0.141923,0.130030,0.143040,0.134949,0.129963,0.130063,0.120016,0.129999,0.129989
SSB OD,,N/A,0.016000,0.016014,0.015853,0.015832,0.015890,0.015911,0.015962,0.015865,0.016096,0.015923,0.016042,0.015880,0.015704,0.016062,0.011021,0.015859,0.015757,0.015796,0.016008,0.015909,0.015989,0.016011,0.015907,0.015861,0.015650,0.015868,0.015865,0.015875,0.015809,0.015909,0.015844,0.016021,0.015801,0.016065,0.015848,0.015923,0.015835,0.015927,0.015867,0.014476,0.015904,0.015926,0.015923,0.016021,0.014805,0.015941,0.016034,0.015865,0.016007,0.014734,0.015780,0.015122,0.015816,0.015915,0.015870,0.015822,0.015810,0.015893,0.015952,0.016024,0.015910,0.015891,0.015990,0.015921,0.015891,0.015974,0.016012,0.016019,0.015982,0.015997,0.015871,0.016157,0.015821,0.015819,0.015870,0.015928,0.016608,0.015857,0.015873,0.016118,0.015825,0.015883,0.015773,0.015794,0.015775,0.015895,0.015901,0.015800,0.015930,0.015842,0.016023,0.015326,0.015864,0.015778,0.016005,0.016620,0.016034,0.015906,0.015935,0.015781,0.015970,0.015860,0.015921,0.015899,0.015901,0.015866,0.015849,0.015885,0.015978,0.015858,0.015956,0.016236,0.015886,0.015899,0.015863,0.015059,0.015841,0.015901,0.015792,0.015820,0.015833,0.015952,0.015803,0.016041,0.016002,0.015907,0.015949,0.016033,0.015913,0.015911,0.015850,0.015809,0.015975,0.015848,0.015808,0.015861,0.015923,0.015892,0.015962,0.015904,0.015998,0.015942,0.014615,0.015964,0.015928,0.015863,0.016065,0.015964,0.015842,0.015855,0.015843,0.015972,0.016014,0.015895,0.015931,0.015872,0.015864
CSB OD,,N/A,0.018000,0.018073,0.017762,0.017739,0.017773,0.017717,0.017816,0.017786,0.017997,0.017805,0.017818,0.017681,0.017755,0.017718,0.017191,0.017824,0.017718,0.017764,0.018026,0.017804,0.018010,0.018015,0.017797,0.017669,0.017643,0.017836,0.017815,0.017801,0.017731,0.017728,0.017776,0.017995,0.017787,0.018054,0.017725,0.017904,0.017735,0.017815,0.017873,0.017742,0.017682,0.017860,0.017804,0.018041,0.017942,0.017910,0.017921,0.017803,0.017989,0.011630,0.017712,0.013495,0.017773,0.017702,0.017709,0.017716,0.017720,0.017834,0.017867,0.017980,0.017831,0.017750,0.017849,0.018114,0.017733,0.017711,0.018002,0.017990,0.017998,0.017966,0.017764,0.020086,0.017715,0.017768,0.017702,0.017960,0.017997,0.017762,0.017804,0.017969,0.017788,0.017798,0.017737,0.017798,0.017778,0.017781,0.017771,0.017705,0.017761,0.017878,0.017977,0.017483,0.017751,0.017742,0.017809,0.018285,0.017995,0.017752,0.017919,0.017763,0.017770,0.017722,0.017726,0.017682,0.017764,0.017745,0.017665,0.017782,0.018002,0.017708,0.017781,0.017958,0.017760,0.017804,0.017983,0.017856,0.017679,0.017648,0.017816,0.017739,0.017745,0.017993,0.017716,0.017972,0.017980,0.017770,0.018059,0.018051,0.017734,0.017765,0.017666,0.017728,0.017775,0.017707,0.017827,0.017769,0.017971,0.017750,0.017725,0.017767,0.018040,0.017982,0.018034,0.017981,0.017780,0.017762,0.017991,0.018036,0.017820,0.017756,0.018026,0.018009,0.017861,0.017906,0.017763,0.017761,0.017795
