Design Study 1
Scenarios/Iterations:, 136
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136
CS OD,,N/A,0.030397,0.025519,0.026604,0.023425,0.021245,0.021313,0.022585,0.023767,0.021638,0.024098,0.020867,0.023666,0.023342,0.023263,0.025158,0.023784,0.025290,0.021179,0.026807,0.041277,0.024742,0.023388,0.024348,0.022004,0.024143,0.023193,0.021607,0.023774,0.022969,0.023524,0.033296,0.025033,0.025654,0.022640,0.025230,0.021053,0.024767,0.022521,0.022314,0.022313,0.025215,0.021893,0.024740,0.021997,0.021925,0.025027,0.021474,0.024378,0.019177,0.023587,0.022357,0.023250,0.022701,0.023498,0.037121,0.019058,0.021700,0.024247,0.022121,0.023072,0.023343,0.021789,0.022250,0.021206,0.025120,0.022234,0.020243,0.019649,0.022216,0.022669,0.023234,0.023049,0.024295,0.023208,0.021991,0.025317,0.022639,0.022583,0.024576,0.034835,0.028663,0.020641,0.023559,0.023412,0.022933,0.022345,0.032416,0.020374,0.022466,0.021731,0.024493,0.022425,0.023979,0.022514,0.029428,0.023563,0.023801,0.022920,0.021905,0.032763,0.023073,0.024711,0.025549,0.024656,0.024730,0.022922,0.021318,0.022820,0.022532,0.023353,0.021508,0.028173,0.023066,0.024495,0.017663,0.022428,0.026406,0.022741,0.021527,0.025812,0.023260,0.023525,0.021365,0.023007,0.033540,0.022212,0.025018,0.024121,0.022670,0.023037,0.024629,0.022023,0.022086,0.021188,0.025177,0.023099,0.024541
SS OD,,N/A,0.023139,0.014399,0.011869,0.018032,0.012051,0.013387,0.012933,0.012092,0.012597,0.013152,0.015213,0.015002,0.012315,0.013618,0.014165,0.012186,0.012209,0.013016,0.021994,0.015851,0.012039,0.013791,0.013427,0.014313,0.013615,0.014082,0.014019,0.014563,0.013046,0.013407,0.017767,0.011940,0.015840,0.016998,0.013647,0.013393,0.014364,0.016444,0.012442,0.012400,0.016387,0.013287,0.013891,0.014556,0.016403,0.012549,0.013649,0.013052,0.011292,0.017451,0.012718,0.011987,0.013830,0.014741,0.019804,0.011515,0.016084,0.012716,0.014520,0.013793,0.012267,0.012200,0.014267,0.013366,0.014085,0.016132,0.012292,0.014084,0.012105,0.013574,0.014016,0.014145,0.013149,0.013162,0.011999,0.013120,0.014425,0.012799,0.012184,0.015639,0.014522,0.014396,0.014351,0.014048,0.012538,0.013455,0.023724,0.012277,0.014048,0.013110,0.018394,0.012103,0.013535,0.013375,0.015499,0.012754,0.012683,0.015720,0.015356,0.018890,0.012845,0.013287,0.025038,0.009428,0.015362,0.013348,0.011942,0.013019,0.016507,0.013074,0.016156,0.023823,0.013780,0.013827,0.012208,0.012576,0.017271,0.013030,0.014112,0.016105,0.013774,0.013346,0.014119,0.014513,0.019086,0.012546,0.013898,0.012136,0.012004,0.012654,0.014400,0.014822,0.010775,0.011862,0.013621,0.015132,0.013774
ST OD,,N/A,0.046588,0.031323,0.034475,0.031764,0.031149,0.033995,0.031218,0.031558,0.031605,0.033718,0.029856,0.031656,0.028984,0.031516,0.035415,0.032385,0.032424,0.031692,0.028733,0.031979,0.032024,0.030687,0.031375,0.028135,0.030276,0.028949,0.029173,0.030273,0.031030,0.029647,0.031511,0.031726,0.031143,0.031017,0.032133,0.028526,0.032454,0.029198,0.028682,0.031708,0.032114,0.030227,0.031458,0.031541,0.029963,0.031795,0.032047,0.032824,0.028479,0.028630,0.031123,0.029524,0.033815,0.030813,0.031473,0.027001,0.030299,0.031295,0.032409,0.031460,0.032553,0.028851,0.031483,0.032376,0.030686,0.029402,0.031220,0.029899,0.030515,0.029677,0.027897,0.031492,0.029509,0.032387,0.031773,0.030137,0.031570,0.031134,0.034768,0.031563,0.032173,0.030539,0.029068,0.030845,0.031414,0.031633,0.031530,0.031754,0.031926,0.031101,0.031168,0.031158,0.030657,0.034041,0.031067,0.033900,0.029781,0.031717,0.032898,0.030008,0.027619,0.032367,0.033207,0.028297,0.030682,0.028848,0.031205,0.031430,0.031524,0.034176,0.031911,0.032666,0.032088,0.032150,0.028612,0.030402,0.033905,0.031225,0.029199,0.032530,0.031586,0.030331,0.032226,0.029618,0.033441,0.030504,0.030270,0.032143,0.030946,0.029509,0.034547,0.032482,0.027851,0.027850,0.030139,0.031315,0.031588
CS F,,m,0.02205,0.01498,0.01549,0.01495,0.015,0.01488,0.01497,0.01499,0.01486,0.01505,0.01489,0.0151,0.01499,0.01499,0.01504,0.01505,0.01494,0.01502,0.015,0.01508,0.01492,0.009347,0.01489,0.01504,0.01504,0.01495,0.01495,0.01505,0.01489,0.01496,0.01507,0.015,0.01503,0.01497,0.01494,0.01497,0.01496,0.01504,0.008186,0.01489,0.01501,0.01495,0.015,0.01429,0.01497,0.01502,0.01503,0.01498,0.01443,0.01604,0.01498,0.01496,0.01498,0.01497,0.01498,0.01493,0.01503,0.008223,0.01494,0.01491,0.01505,0.01497,0.01495,0.015,0.01494,0.01507,0.01501,0.01587,0.01501,0.01503,0.01501,0.01499,0.01495,0.01493,0.01498,0.01503,0.01507,0.01493,0.01496,0.01493,0.01501,0.01521,0.009755,0.01497,0.015,0.01499,0.01494,0.01497,0.015,0.01498,0.01504,0.01495,0.01496,0.01494,0.01502,0.01496,0.015,0.01504,0.01498,0.015,0.007196,0.01498,0.01496,0.01502,0.01498,0.01497,0.01447,0.01497,0.01499,0.01507,0.01504,0.01494,0.01507,0.01495,0.01538,0.01504,0.01496,0.01494,0.015,0.01481,0.01499,0.01501,0.0149,0.01503,0.01494,0.01495,0.01494,0.01509,0.01495,0.01503,0.01493,0.01502,0.01536,0.01459,0.01493,0.01498,0.01496
HT LX,,N/A,0.057276,0.049405,0.052993,0.038520,0.052368,0.045346,0.052996,0.028177,0.046881,0.047644,0.037835,0.028382,0.034084,0.049837,0.049204,0.048743,0.053975,0.033161,0.043545,0.059347,0.048869,0.054182,0.050693,0.047540,0.044505,0.046799,0.047195,0.036347,0.050867,0.033472,0.048232,0.048862,0.045033,0.046000,0.045625,0.039704,0.047073,0.041862,0.038476,0.050045,0.046926,0.048608,0.048982,0.042521,0.041665,0.048683,0.048862,0.042707,0.038608,0.050215,0.043541,0.032182,0.051216,0.049410,0.037245,0.030631,0.053161,0.041516,0.048732,0.052373,0.051005,0.037437,0.047445,0.044434,0.047410,0.027821,0.044699,0.044779,0.048442,0.039202,0.046087,0.049150,0.046173,0.046685,0.050982,0.042330,0.044091,0.041603,0.035546,0.045686,0.044506,0.034771,0.049231,0.047710,0.047972,0.048414,0.045815,0.040560,0.049518,0.052458,0.049349,0.052848,0.048860,0.047591,0.049736,0.045799,0.036598,0.050792,0.055194,0.030228,0.049478,0.047478,0.048473,0.034131,0.042199,0.044533,0.031974,0.047503,0.049089,0.049104,0.048356,0.036663,0.047899,0.050081,0.031331,0.038052,0.046661,0.049182,0.039288,0.046680,0.050584,0.027526,0.051522,0.048422,0.053308,0.052104,0.044648,0.036517,0.025860,0.041958,0.039962,0.049507,0.048702,0.041015,0.039816,0.052692,0.055899
ST UX,,N/A,0.035929,0.049360,0.092960,0.115585,0.046933,0.054187,0.050421,0.044239,0.046675,0.051567,0.063313,0.055216,0.016546,0.245615,0.053131,0.044769,0.003054,0.054027,0.033586,0.032292,0.034912,0.037081,0.051950,0.047496,0.048035,0.049266,0.049456,0.032089,0.038495,0.035624,0.032962,0.046344,0.043958,0.039718,0.049945,0.029844,0.044607,0.118347,0.023906,0.031265,0.033620,0.045931,0.031465,0.049931,0.020363,0.050062,0.046550,0.047977,0.384613,0.075718,0.011354,0.022186,0.033553,0.048369,0.057353,0.019023,0.049365,0.031173,0.020011,0.238105,0.043052,0.021372,0.037608,0.047988,0.033717,0.025298,0.051435,0.031557,0.044791,0.046230,0.133962,0.049433,0.052495,0.052586,0.047731,0.051171,0.055278,0.122412,0.045719,0.099036,0.017754,0.060056,0.186545,0.051690,0.048352,0.074872,0.033291,0.016823,0.049035,0.055290,0.051821,0.049214,0.049214,0.051012,0.011693,0.049298,0.149077,0.049279,0.049262,0.038024,0.048731,0.045624,0.182528,0.230461,0.129527,0.025935,0.058075,0.055688,0.048694,0.033691,0.050234,0.125489,0.047315,0.046889,0.029430,0.018547,0.051700,0.119775,0.019259,0.042048,0.040444,0.023277,0.034103,0.042744,0.050106,0.045089,0.019120,0.049003,0.021667,0.052188,0.029241,0.201292,0.015864,0.055704,0.022385,0.045646,0.030701
HT UX,,N/A,0.044683,0.029737,0.036860,0.036298,0.038373,0.032151,0.029542,0.022753,0.033342,0.032562,0.019820,0.029574,0.032097,0.033442,0.025597,0.030811,0.035173,0.022065,0.028333,0.027182,0.033110,0.030330,0.037330,0.034292,0.039257,0.034094,0.032440,0.033698,0.037862,0.026234,0.032339,0.021113,0.030281,0.034680,0.033445,0.029750,0.028694,0.037812,0.032541,0.042060,0.042460,0.028679,0.035194,0.030822,0.031007,0.031260,0.030559,0.036561,0.031499,0.036002,0.032900,0.032772,0.031224,0.032633,0.026834,0.029772,0.029309,0.029980,0.033562,0.023024,0.030963,0.022330,0.036747,0.029948,0.027511,0.036304,0.032176,0.036862,0.040381,0.028894,0.033274,0.028071,0.023212,0.027352,0.039625,0.036378,0.028194,0.031487,0.031460,0.019207,0.030318,0.025315,0.028427,0.026907,0.033278,0.024240,0.030395,0.040426,0.031692,0.032245,0.037781,0.037267,0.034404,0.030180,0.023188,0.026072,0.025763,0.033451,0.032352,0.023004,0.032064,0.041461,0.028870,0.032075,0.032309,0.029488,0.034727,0.038792,0.025546,0.033793,0.032244,0.017541,0.038907,0.026187,0.029171,0.028109,0.031734,0.031005,0.027252,0.027354,0.026486,0.019632,0.036173,0.029107,0.036586,0.030637,0.028800,0.026042,0.016878,0.035048,0.026680,0.028952,0.028160,0.031045,0.035251,0.035671,0.037516
HT Angle,,deg,67.81413,72.98542,74.25964,33.17965,72.75373,69.81344,70.77656,72.44311,68.48614,71.50284,69.75266,62.83004,70.95225,72.25604,73.44381,71.72784,73.13341,71.08406,75.07661,71.68627,73.07011,71.78828,71.32062,72.86561,72.88004,73.13803,72.69459,73.64569,74.49922,67.98956,73.17336,72.97345,76.25305,71.0764,66.81008,70.48141,72.80588,47.23677,72.61058,73.15286,74.94807,72.04769,75.42027,71.0791,69.6329,73.94673,70.57134,74.6254,66.59781,74.58851,73.08613,74.4595,71.80113,71.41364,64.4273,72.31526,71.99085,70.46552,73.03449,71.92523,72.63877,73.75091,72.81452,69.81312,71.45589,71.16839,70.33943,74.89828,72.91269,72.58371,71.48868,70.17667,74.68569,73.05075,72.18417,74.54031,71.72675,73.47242,41.66934,64.58745,75.82555,71.62254,73.57213,67.13386,71.87736,73.2431,69.34969,75.92342,72.36665,70.08343,73.57121,71.40811,72.89495,73.24295,70.45978,71.58932,79.14295,70.33017,72.89706,70.71239,70.71637,73.0894,67.82954,73.66002,74.60943,73.01611,64.91265,70.95177,72.43906,69.93123,80.01087,63.04122,71.58368,73.36951,71.3823,72.83374,71.81936,68.88444,71.65823,70.50375,73.07464,71.69447,72.68552,72.97859,64.36186,73.67672,75.34745,73.50326,74.092,66.23118,73.95948,74.02054,72.44123,71.49908,75.26554,73.80349,69.49131
HT Length,,m,0.10363,0.14513,0.16088,0.12347,0.27659,0.11231,0.12171,0.1136,0.12025,0.13558,0.10615,0.1019,0.15271,0.10204,0.14952,0.14203,0.14249,0.10877,0.10077,0.09669,0.15059,0.17305,0.10382,0.17326,0.09705,0.15969,0.14481,0.09317,0.18069,0.07781,0.14402,0.14671,0.11446,0.09967,0.11574,0.17283,0.07964,0.10139,0.17137,0.19633,0.1246,0.14003,0.08899,0.11451,0.11183,0.1455,0.11953,0.1128,0.1097,0.1413,0.17915,0.16558,0.16416,0.17032,0.09443,0.0931,0.16831,0.19504,0.13859,0.08925,0.11396,0.08623,0.1461,0.08311,0.1222,0.11988,0.12153,0.17622,0.11844,0.11238,0.11804,0.14678,0.11042,0.1414,0.10416,0.10031,0.13063,0.1118,0.16589,0.09074,0.1028,0.16276,0.16047,0.13683,0.14608,0.1349,0.11207,0.1784,0.11757,0.10227,0.14732,0.14766,0.16098,0.14224,0.09878,0.10516,0.12139,0.11531,0.1573,0.09098,0.13412,0.14778,0.12681,0.16219,0.2374,0.14214,0.08163,0.16058,0.11484,0.16336,0.16994,0.08435,0.08105,0.14776,0.10488,0.13508,0.11884,0.1223,0.10743,0.09927,0.14774,0.17378,0.12342,0.08205,0.10836,0.21788,0.09892,0.09066,0.11474,0.1518,0.12337,0.18153,0.19125,0.14976,0.18771,0.10186,0.13126
ST Length,,N/A,0.352980,0.598965,0.656467,0.503505,0.590022,0.287544,0.504176,0.546809,0.336407,0.318301,0.440007,0.380789,0.554659,0.611883,0.520753,0.517396,0.562954,0.496196,0.256975,0.436035,0.554761,0.527052,0.444381,0.617359,0.525264,0.604691,0.490520,0.317164,0.629770,0.251011,0.547596,0.507699,0.574538,0.419536,0.479027,0.571415,0.496694,0.623384,0.516401,0.620902,0.311659,0.520776,0.538336,0.488036,0.345159,0.596307,0.402388,0.592325,0.566481,0.644005,0.568685,0.568358,0.636037,0.600080,0.422015,0.504132,0.590223,0.558497,0.534006,0.446855,0.531466,0.516866,0.501096,0.194600,0.489254,0.483309,0.472955,0.611159,0.465627,0.466806,0.598910,0.525867,0.248265,0.514415,0.293416,0.246743,0.437295,0.326695,0.625362,0.357026,0.570421,0.522402,0.742212,0.510901,0.533743,0.623655,0.282855,0.623085,0.603477,0.268888,0.429197,0.518981,0.555242,0.553532,0.480255,0.286362,0.710587,0.510401,0.620132,0.429359,0.482390,0.611377,0.497149,0.522211,0.533510,0.516525,0.447346,0.557979,0.336426,0.585540,0.590023,0.176111,0.559749,0.503585,0.555148,0.436431,0.564195,0.503820,0.474596,0.178407,0.549564,0.560186,0.484205,0.328401,0.385503,0.611900,0.220197,0.501369,0.568036,0.507128,0.386769,0.486319,0.784134,0.664039,0.549829,0.591964,0.530328
BB Length,,m,0.06807,0.06802,0.06799,0.06803,0.06803,0.06797,0.06804,0.06796,0.07328,0.06796,0.07305,0.07293,0.06802,0.06793,0.06804,0.06795,0.06809,0.06797,0.06802,0.06805,0.0681,0.06842,0.06797,0.06806,0.06801,0.06804,0.06796,0.06798,0.06801,0.06803,0.06798,0.06806,0.06805,0.06802,0.06791,0.06808,0.06799,0.06793,0.068,0.06806,0.06798,0.06794,0.06801,0.06798,0.06813,0.0681,0.06795,0.06815,0.07312,0.06808,0.068,0.0681,0.06805,0.06806,0.07297,0.06798,0.06805,0.06853,0.06794,0.06803,0.06805,0.06805,0.06822,0.06801,0.06793,0.07297,0.06804,0.06771,0.06798,0.07296,0.06807,0.06804,0.06797,0.06801,0.06797,0.06799,0.06797,0.068,0.06801,0.07295,0.06802,0.09118,0.06801,0.06817,0.06798,0.08753,0.06799,0.06801,0.06826,0.06805,0.06799,0.06802,0.06806,0.06799,0.06812,0.06798,0.06824,0.06799,0.06806,0.06794,0.06795,0.06799,0.09388,0.06805,0.06803,0.0679,0.06796,0.06803,0.06796,0.06804,0.06797,0.07291,0.06796,0.06802,0.07295,0.06803,0.06807,0.06785,0.06808,0.06789,0.06802,0.06788,0.06806,0.06798,0.06801,0.06802,0.06809,0.06829,0.06808,0.07311,0.06809,0.06797,0.0694,0.06803,0.06804,0.06803,0.06798
Dropout Offset,,N/A,0.130021,0.120088,0.130013,0.129997,0.130035,0.111068,0.135069,0.130011,0.134882,0.135015,0.142181,0.135041,0.130066,0.120101,0.120015,0.134455,0.129991,0.142911,0.135008,0.129951,0.130099,0.134954,0.129934,0.130140,0.129913,0.129941,0.120129,0.119618,0.120027,0.129988,0.130027,0.130042,0.119951,0.130059,0.129990,0.134990,0.130025,0.129951,0.130034,0.129953,0.134911,0.129883,0.129978,0.135012,0.134701,0.120006,0.134977,0.119916,0.129621,0.119895,0.129966,0.129883,0.130028,0.130104,0.129974,0.130050,0.141916,0.134892,0.130040,0.129954,0.130006,0.129959,0.125988,0.109550,0.135031,0.134978,0.135063,0.120085,0.129993,0.141925,0.130010,0.135009,0.119995,0.129974,0.134922,0.120065,0.129975,0.130025,0.135182,0.135017,0.120041,0.135003,0.130028,0.134884,0.129998,0.135034,0.129999,0.119980,0.120071,0.130011,0.130002,0.135033,0.172078,0.130014,0.129966,0.129932,0.129944,0.129967,0.130102,0.135011,0.135318,0.129995,0.141796,0.134903,0.130001,0.119860,0.146003,0.130013,0.130060,0.142042,0.129993,0.129985,0.130041,0.120061,0.129843,0.130028,0.120066,0.135128,0.130054,0.130005,0.130045,0.142778,0.134975,0.129952,0.135039,0.129983,0.111136,0.130003,0.130003,0.134955,0.129974,0.130007,0.129934,0.130024,0.129987,0.129999,0.134948
SSB OD,,N/A,0.015832,0.016042,0.015902,0.015800,0.015789,0.015867,0.015935,0.016001,0.015969,0.015828,0.015836,0.015759,0.015861,0.015977,0.015894,0.015888,0.015849,0.010511,0.015846,0.015898,0.015947,0.015187,0.015881,0.015657,0.015968,0.015913,0.016058,0.015843,0.016064,0.015935,0.015895,0.016007,0.015966,0.015892,0.016244,0.015815,0.015900,0.015939,0.015976,0.015647,0.015894,0.016071,0.015985,0.016042,0.015858,0.015835,0.016026,0.015908,0.015245,0.015926,0.015909,0.016016,0.015904,0.015866,0.015899,0.015751,0.015931,0.009052,0.015864,0.015933,0.015908,0.015998,0.015812,0.015877,0.015911,0.015830,0.015919,0.015783,0.015874,0.015868,0.015922,0.015987,0.015924,0.015940,0.015950,0.015926,0.015989,0.015954,0.015861,0.015825,0.015883,0.015839,0.015842,0.015936,0.015936,0.015911,0.015855,0.015926,0.015990,0.016040,0.015830,0.016010,0.015902,0.015893,0.015862,0.016168,0.016051,0.015917,0.015818,0.015857,0.015933,0.016083,0.015843,0.014761,0.016052,0.015765,0.015987,0.015911,0.015926,0.015969,0.015718,0.015862,0.015809,0.015814,0.012398,0.015963,0.015944,0.016514,0.015815,0.015899,0.015833,0.015970,0.015855,0.015890,0.015907,0.015815,0.015935,0.016050,0.015935,0.015870,0.015916,0.015974,0.013708,0.015682,0.015891,0.016022,0.015847
CSB OD,,N/A,0.017739,0.018036,0.017851,0.017799,0.017723,0.017769,0.017806,0.018026,0.017794,0.017715,0.017757,0.017789,0.017807,0.018024,0.017854,0.017843,0.017770,0.017941,0.017727,0.017849,0.018078,0.017914,0.017855,0.017736,0.018025,0.018108,0.018026,0.017858,0.018019,0.017795,0.017758,0.017978,0.018011,0.017743,0.017997,0.017789,0.018061,0.017786,0.017765,0.017787,0.017762,0.018005,0.018018,0.017931,0.017739,0.017798,0.017974,0.017835,0.018043,0.017790,0.017791,0.017993,0.017925,0.017803,0.017725,0.017731,0.017696,0.018014,0.017927,0.018079,0.017707,0.017952,0.017796,0.017914,0.017807,0.017797,0.017756,0.017844,0.017828,0.017806,0.018074,0.017997,0.017974,0.018028,0.017772,0.017996,0.018047,0.017848,0.018038,0.017803,0.017743,0.017740,0.017817,0.018015,0.017857,0.017972,0.017754,0.017816,0.017977,0.018073,0.017791,0.017978,0.017739,0.017796,0.017743,0.018073,0.018062,0.017882,0.017782,0.017720,0.018062,0.018015,0.017842,0.017682,0.018010,0.017799,0.018019,0.017823,0.017783,0.017753,0.017825,0.017692,0.017729,0.017816,0.013298,0.018008,0.018011,0.017973,0.017760,0.018018,0.018010,0.018015,0.017705,0.017964,0.017821,0.017823,0.017953,0.017980,0.018025,0.017810,0.017744,0.017999,0.018093,0.017871,0.017862,0.018059,0.017768
