Design Study 1
Scenarios/Iterations:, 104
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104
CS OD,,N/A,0.030397,0.021478,0.021214,0.022788,0.021504,0.021704,0.017956,0.022534,0.020535,0.021957,0.021107,0.022093,0.022358,0.025580,0.022435,0.019752,0.020970,0.019758,0.020798,0.023530,0.022079,0.021220,0.021781,0.021122,0.022515,0.022574,0.030035,0.023802,0.019962,0.023848,0.020150,0.034914,0.021149,0.022679,0.019733,0.019842,0.020550,0.022554,0.022516,0.027672,0.025723,0.022403,0.030827,0.020075,0.022552,0.021767,0.022637,0.022626,0.022032,0.021820,0.022020,0.028812,0.022640,0.019231,0.020684,0.021410,0.027286,0.023243,0.021620,0.023783,0.025836,0.033306,0.021934,0.023798,0.019914,0.029968,0.025042,0.022185,0.023253,0.021792,0.023744,0.020094,0.023611,0.021807,0.023116,0.026005,0.023196,0.020028,0.026571,0.027289,0.019229,0.023191,0.025543,0.025082,0.023118,0.025755,0.025800,0.022698,0.021866,0.022225,0.030103,0.021213,0.019448,0.021001,0.022378,0.030819,0.028317,0.022504,0.022321,0.022673,0.020438,0.021770,0.022705,0.020075,0.023928
SS OD,,N/A,0.023139,0.014047,0.017124,0.019538,0.025396,0.014132,0.011773,0.023880,0.015337,0.021723,0.013589,0.017893,0.018490,0.028425,0.017672,0.012977,0.014662,0.013346,0.013716,0.024009,0.016345,0.014201,0.021897,0.022224,0.025986,0.027691,0.030154,0.028234,0.013359,0.029280,0.013379,0.038558,0.013867,0.026343,0.013866,0.013300,0.013559,0.030328,0.021462,0.033317,0.027720,0.017844,0.033185,0.013342,0.019236,0.022609,0.021455,0.023722,0.019572,0.023314,0.015272,0.038140,0.025405,0.013346,0.014169,0.020333,0.029121,0.025068,0.017356,0.023629,0.026445,0.034138,0.019977,0.031518,0.013768,0.032477,0.033153,0.016705,0.020587,0.023605,0.024084,0.013619,0.027847,0.023966,0.021945,0.029479,0.025177,0.013590,0.027459,0.033486,0.012592,0.024133,0.034218,0.030794,0.024824,0.029139,0.026086,0.026641,0.016471,0.021669,0.033721,0.014143,0.012754,0.016853,0.020263,0.034609,0.034379,0.024429,0.035033,0.022888,0.014698,0.018669,0.023470,0.013107,0.035977
ST OD,,N/A,0.046588,0.031232,0.031267,0.034238,0.031665,0.031448,0.029475,0.034102,0.031281,0.031709,0.031168,0.034050,0.032970,0.040725,0.033048,0.030831,0.031059,0.030730,0.031322,0.037051,0.032366,0.031635,0.031654,0.031217,0.033806,0.034099,0.041818,0.038263,0.030804,0.040225,0.030722,0.046044,0.031386,0.035325,0.030640,0.030359,0.030779,0.036085,0.035514,0.041781,0.039855,0.033021,0.042815,0.030800,0.032793,0.032410,0.033483,0.034023,0.033773,0.037173,0.031944,0.042678,0.034622,0.030208,0.030875,0.031429,0.040077,0.035628,0.032751,0.037439,0.038830,0.043899,0.033914,0.038795,0.030953,0.042138,0.039675,0.033067,0.035096,0.031690,0.037145,0.031335,0.037291,0.032499,0.035792,0.039598,0.035563,0.030542,0.039319,0.040902,0.030099,0.036223,0.040053,0.040143,0.035263,0.039193,0.038773,0.034314,0.032148,0.035352,0.042535,0.031561,0.029990,0.031440,0.033357,0.042954,0.041894,0.033426,0.035464,0.036431,0.031018,0.033532,0.034436,0.030681,0.039475
CS F,,m,0.02205,0.01478,0.01471,0.01479,0.01464,0.01478,0.01478,0.01472,0.01467,0.01471,0.01476,0.01474,0.01477,0.01478,0.01477,0.01475,0.01473,0.01475,0.01475,0.01479,0.01476,0.01475,0.01469,0.01465,0.01475,0.01473,0.01482,0.0148,0.01477,0.0148,0.01471,0.01512,0.01475,0.01474,0.01471,0.01473,0.01475,0.01473,0.01477,0.01484,0.01481,0.01478,0.01488,0.01471,0.01477,0.01467,0.01477,0.01477,0.01472,0.01471,0.01477,0.01498,0.01473,0.01465,0.01473,0.01468,0.01484,0.01478,0.01474,0.01479,0.01481,0.01488,0.01475,0.0148,0.01475,0.01488,0.01486,0.01475,0.0148,0.0147,0.0148,0.01475,0.01481,0.01467,0.0148,0.01482,0.01478,0.01472,0.01483,0.01485,0.01476,0.0148,0.01487,0.01483,0.01477,0.01483,0.01481,0.01475,0.01477,0.01475,0.01487,0.01475,0.01475,0.01468,0.01475,0.01488,0.0149,0.01473,0.01465,0.01477,0.01466,0.01475,0.01476,0.01477,0.01482
HT LX,,N/A,0.057276,0.043741,0.053798,0.044653,0.079444,0.043203,0.042250,0.066335,0.045673,0.065125,0.041302,0.042705,0.044976,0.044929,0.043915,0.040823,0.046082,0.044495,0.040984,0.047554,0.043631,0.041369,0.063270,0.077556,0.073610,0.074341,0.048039,0.066193,0.043751,0.046932,0.043987,0.070719,0.042102,0.054823,0.052651,0.045020,0.043995,0.060305,0.044285,0.074265,0.046357,0.044543,0.067361,0.043109,0.044975,0.057173,0.053257,0.061908,0.048029,0.060331,0.042339,0.076073,0.067469,0.050085,0.047892,0.059946,0.052985,0.060107,0.043640,0.044689,0.047839,0.057429,0.048490,0.074187,0.045988,0.064605,0.069859,0.042296,0.044524,0.075291,0.045339,0.040300,0.062761,0.064565,0.044349,0.064883,0.062820,0.045738,0.049754,0.073787,0.042889,0.046308,0.074574,0.065135,0.057274,0.061220,0.045943,0.073663,0.043724,0.044397,0.069286,0.042987,0.043535,0.045630,0.047355,0.071947,0.064165,0.068840,0.079238,0.043961,0.046804,0.043594,0.057628,0.042378,0.087591
ST UX,,N/A,0.035929,0.038208,0.039323,0.039395,0.038067,0.039208,0.029554,0.041612,0.041177,0.040959,0.033899,0.044137,0.043215,0.050200,0.043005,0.036504,0.038841,0.034374,0.038679,0.043705,0.043507,0.040809,0.041458,0.037029,0.041529,0.041839,0.047912,0.045452,0.035138,0.056728,0.038533,0.060342,0.041117,0.048171,0.035039,0.034862,0.034956,0.048808,0.048228,0.047681,0.049847,0.042294,0.048637,0.038585,0.039075,0.044006,0.043019,0.044365,0.040297,0.038558,0.038991,0.050262,0.042768,0.034807,0.037597,0.042519,0.050187,0.045356,0.045857,0.041931,0.046842,0.050088,0.041671,0.046104,0.034817,0.049559,0.049058,0.042131,0.042787,0.038622,0.046004,0.034354,0.047395,0.042045,0.045260,0.046658,0.044543,0.035782,0.048284,0.047875,0.032603,0.047415,0.048021,0.047262,0.042544,0.048460,0.046856,0.041852,0.042350,0.049004,0.049456,0.035600,0.033182,0.043028,0.044649,0.048275,0.058274,0.041775,0.043186,0.047867,0.040262,0.046125,0.045422,0.034411,0.044115
HT UX,,N/A,0.044683,0.029791,0.030446,0.029589,0.031025,0.029822,0.031393,0.030232,0.031682,0.030300,0.029872,0.030346,0.030390,0.030000,0.030465,0.031037,0.029802,0.031104,0.030712,0.029736,0.030622,0.030655,0.030591,0.030996,0.029618,0.029696,0.029506,0.029811,0.031138,0.029860,0.030724,0.029018,0.030633,0.030312,0.031262,0.030767,0.030260,0.029964,0.030450,0.029978,0.029843,0.029707,0.029501,0.031142,0.029076,0.030995,0.029699,0.029794,0.030221,0.030307,0.029818,0.029010,0.030352,0.033588,0.030361,0.030655,0.029752,0.029828,0.030834,0.029752,0.029840,0.029099,0.030712,0.030120,0.031101,0.029513,0.029256,0.030478,0.030040,0.030304,0.030165,0.030622,0.029650,0.031067,0.030353,0.029598,0.029810,0.030852,0.029747,0.029574,0.030933,0.030149,0.028991,0.030118,0.029139,0.029696,0.029858,0.029708,0.030671,0.030490,0.029643,0.030180,0.030605,0.031104,0.030155,0.029114,0.029411,0.029924,0.030073,0.030252,0.031167,0.030685,0.030003,0.030803,0.029425
HT Angle,,deg,67.81413,79.5491,74.49391,74.79426,71.90882,81.71896,75.39692,71.94187,74.48862,74.66876,78.51336,84.41669,75.82059,78.84948,77.43183,77.59838,79.96785,72.62778,78.57283,72.57057,79.6566,78.49642,74.56403,73.46425,76.22845,74.92487,76.54043,71.85387,73.27254,75.71926,79.73666,75.23253,82.53513,75.19599,72.63409,75.78018,75.45665,76.12679,77.74094,71.5881,79.5693,81.75385,72.39559,77.62766,78.34026,74.5134,76.9253,78.11682,71.74923,71.09945,82.89291,72.89398,71.88642,75.10125,75.82777,77.23428,75.60404,74.5643,78.72951,75.34178,73.90627,76.56464,71.68761,71.54843,71.85341,72.92473,75.41176,80.27918,77.24542,73.57282,74.39686,75.98613,75.27668,72.96387,74.97493,71.95841,74.54814,75.17589,75.73867,71.91748,75.58732,73.30274,76.5488,71.5191,76.51187,72.86619,76.09821,74.91089,75.95096,78.03591,71.99738,74.13489,77.6675,76.23715,77.67758,73.09895,73.73145,74.62581,72.70655,75.90384,77.21656,76.99679,77.20467,75.5806,71.89296
HT Length,,m,0.10363,0.16079,0.20016,0.13512,0.23332,0.15334,0.26212,0.17865,0.23358,0.18979,0.14405,0.13669,0.15199,0.12733,0.13687,0.1801,0.1847,0.23733,0.14546,0.13654,0.14704,0.13641,0.20312,0.22793,0.16888,0.17795,0.12612,0.1499,0.22283,0.13325,0.20935,0.12738,0.15731,0.16976,0.24917,0.21796,0.18983,0.17748,0.13914,0.14819,0.13075,0.14673,0.13352,0.20498,0.13993,0.20977,0.15252,0.15943,0.18787,0.23688,0.13619,0.13299,0.18556,0.27882,0.20229,0.20895,0.13132,0.14785,0.15955,0.12882,0.13214,0.12605,0.19999,0.16252,0.24674,0.13263,0.13557,0.13376,0.13219,0.19436,0.13204,0.15786,0.13793,0.21962,0.13324,0.13693,0.15008,0.22192,0.131,0.13648,0.22587,0.14433,0.1349,0.15451,0.14185,0.13559,0.1294,0.16927,0.1524,0.15027,0.13415,0.16418,0.2114,0.21098,0.15902,0.13316,0.13239,0.1737,0.21112,0.13508,0.22845,0.15411,0.15972,0.19533,0.15669
ST Length,,N/A,0.352980,0.504777,0.561096,0.495162,0.589860,0.497769,0.694641,0.530554,0.566304,0.534334,0.500600,0.482442,0.495316,0.467842,0.490909,0.512678,0.542635,0.629650,0.494749,0.492998,0.492864,0.488086,0.527934,0.616901,0.508079,0.504334,0.476804,0.499039,0.597287,0.476031,0.542901,0.477487,0.494606,0.491311,0.664140,0.614484,0.563593,0.489285,0.483972,0.493353,0.477124,0.495285,0.488009,0.543587,0.504212,0.507472,0.503960,0.501905,0.513412,0.562985,0.489760,0.480850,0.507237,0.690252,0.577649,0.528697,0.482344,0.498976,0.491778,0.483194,0.484944,0.479325,0.507896,0.497400,0.646852,0.486264,0.485116,0.484358,0.487556,0.578052,0.482840,0.503689,0.492406,0.528213,0.482862,0.494789,0.502988,0.613068,0.483772,0.492760,0.626169,0.488895,0.486996,0.492549,0.506649,0.490916,0.481186,0.506471,0.495344,0.484935,0.487819,0.506137,0.608209,0.516445,0.497235,0.492210,0.478772,0.508061,0.500542,0.480137,0.565693,0.489468,0.498739,0.554889,0.497341
BB Length,,m,0.06807,0.06686,0.06803,0.06738,0.06887,0.06659,0.06668,0.06839,0.06791,0.06844,0.06644,0.06628,0.06767,0.06741,0.06729,0.06666,0.0673,0.06734,0.06654,0.06808,0.06708,0.06662,0.06854,0.06852,0.06819,0.0686,0.06761,0.0687,0.06731,0.06828,0.06729,0.06853,0.06648,0.0685,0.06764,0.06731,0.06714,0.06847,0.06763,0.06898,0.06759,0.06681,0.06863,0.06726,0.06677,0.06852,0.06776,0.06802,0.06805,0.06785,0.06616,0.06896,0.06878,0.0679,0.06766,0.06822,0.06821,0.06835,0.0674,0.06723,0.06803,0.0679,0.0681,0.06907,0.06731,0.06868,0.06864,0.06661,0.0672,0.0682,0.06773,0.06619,0.06844,0.06874,0.0675,0.06869,0.06824,0.06752,0.06798,0.0689,0.06692,0.06826,0.06845,0.06877,0.0675,0.06866,0.06768,0.06841,0.06744,0.06771,0.06886,0.06707,0.06684,0.06796,0.06783,0.06847,0.06883,0.06844,0.06903,0.06761,0.06789,0.06754,0.06813,0.06698,0.06893
Dropout Offset,,N/A,0.130021,0.127505,0.128892,0.130500,0.129932,0.127089,0.124854,0.131817,0.128452,0.129587,0.127640,0.127015,0.129709,0.134770,0.129260,0.126975,0.127016,0.127404,0.127631,0.137819,0.128151,0.128091,0.129319,0.129121,0.129844,0.130266,0.141858,0.140647,0.127597,0.137982,0.126322,0.153621,0.126405,0.130804,0.127434,0.126811,0.127581,0.130386,0.129631,0.148249,0.133420,0.127931,0.149858,0.127059,0.129156,0.129618,0.129677,0.129405,0.130895,0.132601,0.127171,0.148204,0.133250,0.126658,0.127858,0.128174,0.140243,0.133369,0.128432,0.134779,0.139749,0.147204,0.131214,0.142658,0.127572,0.148440,0.138600,0.128194,0.130112,0.129764,0.135438,0.127958,0.134764,0.129908,0.131458,0.143362,0.132946,0.127265,0.138862,0.146026,0.126187,0.135385,0.138176,0.145771,0.130920,0.142326,0.136903,0.130339,0.129233,0.129404,0.150018,0.129147,0.125844,0.128573,0.129241,0.149208,0.145177,0.130163,0.132958,0.130312,0.127572,0.129209,0.129685,0.127261,0.142416
SSB OD,,N/A,0.015832,0.000000,0.000000,0.015620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
