Design Study 1
Scenarios/Iterations:, 42
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42
CS OD,,N/A,0.025350,0.023350,0.023350,0.017250,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.025000,0.023350,0.023350,0.026000,0.023350,0.016775,0.026000,0.023350,0.023350,0.012875,0.023350,0.023350,0.016775,0.026000,0.026000,0.026000,0.023350,0.023350,0.021350,0.023350,0.023350,0.023350,0.023000,0.023350,0.023350,0.023350
SS OD,,N/A,0.013000,0.013000,0.013000,0.011750,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.015500,0.013000,0.013000,0.015500,0.013000,0.008700,0.014000,0.013000,0.013000,0.010550,0.013000,0.013000,0.008700,0.013000,0.013000,0.013000,0.013000,0.013000,0.010500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000
ST OD,,N/A,0.033600,0.031800,0.031800,0.028600,0.034900,0.029000,0.029000,0.034900,0.034900,0.031800,0.031800,0.031800,0.031800,0.035000,0.031800,0.028600,0.031800,0.031800,0.050000,0.050000,0.033000,0.031800,0.028600,0.033000,0.031800,0.031800,0.028600,0.031800,0.031800,0.028600,0.033000,0.033000,0.035000,0.028600,0.031800,0.028800,0.027200,0.025700,0.031700,0.031800,0.031800,0.031800,0.029000
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.005,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.018,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.050000,0.048800,0.046300,0.038000,0.055500,0.045000,0.045000,0.053600,0.053600,0.049200,0.047500,0.055300,0.046900,0.067500,0.048000,0.046200,0.069300,0.050100,0.050000,0.050000,0.075000,0.048800,0.034600,0.060900,0.057000,0.056700,0.032400,0.047800,0.063200,0.033400,0.080000,0.080000,0.068100,0.043000,0.050100,0.049500,0.043000,0.047100,0.038700,0.048600,0.039600,0.010800,0.039500
ST UX,,N/A,0.042300,0.011800,0.047700,0.012000,0.038100,0.012000,0.013000,0.043900,0.043900,0.071400,0.032700,0.073500,0.028900,0.148500,0.139200,0.048400,0.042700,0.029300,0.114000,0.114000,0.012000,0.047000,0.023600,0.053000,0.068500,0.046200,0.023100,0.049200,0.037700,0.023900,0.058000,0.058000,0.148500,0.047000,0.047600,0.076500,0.132200,0.047800,0.015700,0.038900,0.060800,0.020800,0.014300
HT UX,,N/A,0.030000,0.032000,0.032200,0.025000,0.041000,0.049000,0.051000,0.034200,0.034200,0.033300,0.030800,0.038100,0.029500,0.031100,0.028900,0.030500,0.031600,0.024700,0.025000,0.025000,0.030000,0.033300,0.025000,0.025000,0.029800,0.041200,0.027200,0.018900,0.039400,0.025600,0.025000,0.025000,0.031100,0.038400,0.037000,0.034800,0.028100,0.028100,0.042100,0.024700,0.057200,0.047200,0.023300
HT Angle,,deg,72.5,73.5,72,73,72.3,73,73,73,73,71,73,71,73,71.9,72,72,73.5,73,73.5,73.5,73,72,73,71,73,72,69,73,73,71.5,72,72,71.9,71,70,72.5,71.5,71,73,72.5,72,72,73.5
HT Length,,m,0.136,0.1785,0.1629,0.1499,0.1462,0.1929,0.1741,0.155,0.155,0.1853,0.146,0.1471,0.1606,0.1832,0.1952,0.1502,0.1698,0.135,0.1512,0.1512,0.1637,0.1008,0.1343,0.1598,0.14,0.139,0.1303,0.1346,0.1606,0.134,0.1705,0.1705,0.1744,0.1726,0.1126,0.1635,0.1296,0.1473,0.1938,0.145,0.25,0.2804,0.1457
ST Length,,N/A,0.522300,0.631800,0.597700,0.583500,0.526000,0.605000,0.565000,0.510000,0.510000,0.533000,0.552700,0.533000,0.508900,0.631000,0.643000,0.560000,0.533000,0.491600,0.596000,0.596000,0.536000,0.537000,0.558600,0.570000,0.538300,0.597200,0.558100,0.515200,0.517700,0.558900,0.560000,0.560000,0.631000,0.567000,0.527600,0.616500,0.618700,0.602800,0.625700,0.520000,0.550000,0.550000,0.584300
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Dropout Offset,,N/A,0.130000,0.135000,0.142000,0.130000,0.142000,0.142000,0.142000,0.130000,0.130000,0.130000,0.130000,0.130000,0.142000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.115000,0.130000,0.130000,0.130000,0.115000,0.130000,0.142000,0.115000,0.130000,0.130000,0.130000,0.142000,0.130000,0.142000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000
SSB OD,,N/A,0.016000,0.016000,0.016000,0.014000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000
CSB OD,,N/A,0.018000,0.018000,0.018000,0.000000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.016000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.000000,0.018000,0.018000,0.018000,0.018000
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.350000,0.350000,0.300000,0.350000,0.360000,0.360000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.350000,0.350000,0.375000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009250,0.009000,0.009000,0.009000,0.007750,0.009000,0.009000,0.009250,0.009000,0.009000,0.009000,0.009000,0.009000,0.010000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.002039,0.001465,0.006117,0.002905,0.006902,0.000527,0.002929,0.000528,0.000554,0.000785,0.000649,0.004047,0.002164,0.000912,0.001170,0.002112,0.000870,0.001172,0.001434,0.000727,0.007291,0.002581,0.009047,0.000921,0.004616,0.001374,0.004360,0.007601,0.000765,0.002418,0.008981,0.003375,0.002448,0.007770,0.002269,0.000982,0.002126,0.004199,0.005816,0.001277,0.003323,0.005690,0.000658
CS Thickness,,N/A,0.000613,0.005949,0.002634,0.000513,0.006538,0.007960,0.000536,0.003069,0.004259,0.003589,0.000682,0.001967,0.005607,0.001923,0.009308,0.004640,0.001835,0.000999,0.003783,0.000558,0.003967,0.000672,0.000816,0.001933,0.001099,0.001084,0.007201,0.003850,0.000601,0.001877,0.001794,0.009166,0.002007,0.008372,0.008317,0.007045,0.001162,0.008098,0.004411,0.000558,0.001188,0.002241,0.001932
TT Thickness,,N/A,0.001284,0.002168,0.003831,0.000950,0.009620,0.004984,0.003486,0.002257,0.000845,0.001312,0.000552,0.005624,0.002218,0.008883,0.003256,0.000853,0.003650,0.004118,0.001259,0.002878,0.002316,0.002140,0.003142,0.001861,0.001269,0.008987,0.001335,0.004981,0.001412,0.009411,0.000900,0.000672,0.001723,0.001135,0.001388,0.009522,0.001080,0.008892,0.001333,0.000970,0.001573,0.000848,0.001182
BB Thickness,,m,0.00060384,0.001208,0.00557,0.00618,0.002366,0.00057876,0.00051824,0.00088391,0.001347,0.00056578,0.002699,0.00071603,0.003976,0.004948,0.002252,0.00099874,0.0043,0.001221,0.001034,0.00091282,0.006046,0.00063742,0.001008,0.003259,0.003307,0.002922,0.001967,0.00069844,0.001705,0.002308,0.003669,0.004265,0.001388,0.001383,0.001723,0.002176,0.002687,0.004491,0.006095,0.00912,0.00054647,0.001207,0.00095726
HT Thickness,,m,0.00618,0.00091482,0.00641,0.00096429,0.006221,0.001955,0.0009482,0.00074269,0.001985,0.009234,0.001265,0.006548,0.00053833,0.00090948,0.0005916,0.002957,0.006198,0.002959,0.004191,0.004112,0.005378,0.00066796,0.00092491,0.009247,0.00051221,0.002039,0.001347,0.00099947,0.001758,0.002032,0.005069,0.00195,0.002066,0.001155,0.006543,0.004052,0.00344,0.00745,0.00445,0.003209,0.003692,0.003696,0.002385
ST Thickness,,N/A,0.001201,0.000667,0.001502,0.001452,0.000654,0.000714,0.007747,0.008036,0.001883,0.007350,0.003883,0.000627,0.003060,0.000987,0.006907,0.003483,0.006126,0.001953,0.000626,0.000852,0.003290,0.002128,0.002667,0.001159,0.000546,0.000687,0.006577,0.008658,0.008583,0.003542,0.004035,0.009634,0.000649,0.001135,0.004883,0.001112,0.001250,0.000683,0.001473,0.000624,0.005613,0.004698,0.002276
DT Thickness,,m,0.00056786,0.003859,0.004207,0.003334,0.00095656,0.001268,0.005486,0.00058088,0.002257,0.004522,0.001363,0.00068428,0.004973,0.005514,0.00050811,0.00076084,0.00061094,0.002857,0.002126,0.006491,0.00086662,0.006467,0.00096923,0.00054467,0.00171,0.001576,0.001914,0.00074596,0.00052052,0.001516,0.009425,0.00056413,0.00087939,0.00072339,0.003819,0.00543,0.00143,0.003538,0.00282,0.002789,0.00051919,0.005312,0.00094612
DT Length,,N/A,0.649827,0.698147,0.680732,0.657402,0.659590,0.673027,0.658611,0.654764,0.654764,0.640651,0.663396,0.636152,0.641829,0.661371,0.662908,0.660028,0.658082,0.640658,0.649775,0.649775,0.667872,0.651333,0.634915,0.684140,0.644308,0.663481,0.636612,0.686953,0.650575,0.650200,0.679016,0.679016,0.668328,0.674646,0.633208,0.654267,0.647565,0.650056,0.671236,0.644551,0.547935,0.542388,0.659573
Min FS 1,Monitor Only,,1.946e-01,3.575e-01,4.767e-01,3.662e-01,3.360e-01,3.339e-01,4.139e-01,2.197e-01,3.174e-01,2.734e+00,2.222e-01,1.711e+00,4.950e-01,1.802e+00,2.776e-01,1.557e-01,6.177e-01,8.364e-01,2.444e-01,7.003e-01,7.346e-01,8.550e-01,8.679e-01,4.197e-01,3.906e-01,4.369e-01,8.991e-01,5.562e-01,2.192e-01,1.355e+00,2.370e+00,3.493e-01,3.177e-01,1.836e-01,3.750e-01,5.211e-01,2.529e-01,5.110e-01,3.453e-01,2.778e-01,6.788e-01,2.459e+00,1.460e-01
Max Stress 1,Monitor Only, N/m^2,2.364e+09,1.287e+09,9.649e+08,1.256e+09,1.369e+09,1.378e+09,1.111e+09,2.094e+09,1.449e+09,3.026e+08,2.071e+09,4.837e+08,9.294e+08,4.592e+08,1.657e+09,2.954e+09,1.339e+09,9.892e+08,1.882e+09,1.181e+09,1.126e+09,9.676e+08,5.300e+08,1.971e+09,2.118e+09,1.894e+09,5.116e+08,1.488e+09,2.098e+09,3.394e+08,3.492e+08,2.368e+09,1.448e+09,2.505e+09,1.227e+09,8.827e+08,1.819e+09,9.002e+08,1.332e+09,1.656e+09,6.776e+08,1.871e+08,3.150e+09
Min FS 3,Monitor Only,,4.388e-01,8.647e-01,1.333e+00,9.937e-01,1.281e+00,5.184e-01,4.122e-01,5.360e-01,8.087e-01,1.491e+00,6.204e-01,1.867e+00,1.344e+00,6.006e+00,7.573e-01,4.309e-01,1.750e+00,2.063e+00,5.469e-01,1.019e+00,2.036e+00,1.297e+00,5.862e-01,9.175e-01,1.362e+00,2.026e+00,8.550e-01,1.080e+00,5.655e-01,1.225e+00,6.738e+00,8.518e-01,7.569e-01,4.435e-01,1.132e+00,1.616e+00,7.257e-01,1.452e+00,9.185e-01,9.468e-01,3.460e-01,9.303e-01,3.688e-01
Max Stress 3,Monitor Only, N/m^2,1.048e+09,5.319e+08,3.452e+08,4.629e+08,3.591e+08,8.874e+08,1.116e+09,8.582e+08,5.688e+08,5.549e+08,7.415e+08,4.431e+08,3.423e+08,1.378e+08,6.074e+08,1.068e+09,4.728e+08,4.010e+08,8.411e+08,8.123e+08,4.064e+08,6.379e+08,7.847e+08,9.017e+08,6.076e+08,4.085e+08,5.380e+08,7.664e+08,8.134e+08,3.755e+08,1.228e+08,9.713e+08,6.078e+08,1.037e+09,4.062e+08,2.847e+08,6.339e+08,3.167e+08,5.008e+08,4.858e+08,1.329e+09,4.945e+08,1.247e+09
Mass,Monitor Only, kg,3.17,6.25,8.19,4.09,8.46,6.01,7.6,5.8,4.75,4.92,3.64,2.95,7.19,5.29,8.22,5.07,3.72,2.87,5.3,3.57,4.23,3.34,3.3,2.96,1.98,2.92,5.45,4.31,4.72,6.11,7.12,5.06,4.38,5.4,8.4,8.67,3.7,9.51,6.78,3.81,5.68,7.6,3.44
Dropout X Displacement,Monitor Only, m,3.515e-02,1.501e-02,1.086e-02,1.444e-02,1.276e-02,2.006e-02,9.835e-03,2.351e-02,1.791e-02,-5.922e-03,2.737e-02,-1.286e-02,8.372e-03,5.279e-03,2.109e-02,3.691e-02,2.975e-02,2.098e-02,1.858e-02,1.760e-02,2.344e-02,1.868e-02,-6.186e-03,2.991e-02,3.974e-02,2.726e-02,-5.754e-03,3.307e-02,2.609e-02,-4.062e-03,4.464e-03,3.190e-02,1.193e-02,4.145e-02,1.210e-02,8.178e-03,2.456e-02,1.022e-02,1.460e-02,1.527e-02,-4.322e-03,-9.613e-04,4.451e-02
Dropout Y Displacement,Monitor Only, m,-6.952e-02,-2.889e-02,-2.122e-02,-2.974e-02,-2.529e-02,-4.036e-02,-1.949e-02,-4.603e-02,-3.529e-02,1.097e-02,-5.534e-02,2.115e-02,-1.668e-02,-1.078e-02,-4.134e-02,-7.446e-02,-5.628e-02,-4.366e-02,-3.803e-02,-3.659e-02,-4.502e-02,-3.858e-02,1.333e-02,-5.708e-02,-7.930e-02,-6.186e-02,1.223e-02,-7.252e-02,-5.088e-02,8.646e-03,-8.666e-03,-5.975e-02,-2.346e-02,-8.171e-02,-2.535e-02,-1.440e-02,-4.673e-02,-2.096e-02,-3.458e-02,-3.199e-02,1.156e-02,3.175e-03,-9.084e-02
BB X Displacement,Monitor Only, m,4.234e-02,1.795e-02,1.278e-02,1.744e-02,1.507e-02,2.394e-02,1.173e-02,2.827e-02,2.157e-02,-6.113e-03,3.267e-02,-1.323e-02,1.006e-02,6.416e-03,2.509e-02,4.448e-02,3.503e-02,2.559e-02,2.237e-02,2.139e-02,2.773e-02,2.294e-02,-6.987e-03,3.567e-02,4.781e-02,3.393e-02,-6.466e-03,3.993e-02,3.153e-02,-4.519e-03,5.435e-03,3.780e-02,1.459e-02,4.901e-02,1.475e-02,9.896e-03,2.918e-02,1.225e-02,1.709e-02,1.848e-02,-4.089e-03,-9.213e-04,5.237e-02
BB Y Displacement,Monitor Only, m,-3.755e-02,-1.609e-02,-1.151e-02,-1.657e-02,-1.303e-02,-2.203e-02,-1.020e-02,-2.493e-02,-1.901e-02,6.196e-03,-2.980e-02,1.082e-02,-9.153e-03,-5.526e-03,-2.321e-02,-3.988e-02,-3.058e-02,-2.330e-02,-1.997e-02,-1.902e-02,-2.419e-02,-1.982e-02,6.934e-03,-3.071e-02,-4.044e-02,-3.185e-02,6.361e-03,-4.182e-02,-2.734e-02,4.669e-03,-4.426e-03,-3.179e-02,-1.230e-02,-4.490e-02,-1.205e-02,-6.992e-03,-2.378e-02,-1.087e-02,-2.039e-02,-1.701e-02,7.155e-03,2.095e-03,-4.888e-02
BB Z Displacement,Monitor Only, m,2.386e-03,8.146e-04,7.471e-04,2.135e-03,1.011e-03,1.332e-03,1.728e-03,1.315e-03,8.373e-04,1.610e-03,1.876e-03,3.492e-03,5.247e-04,6.396e-04,1.165e-03,1.305e-03,2.222e-03,2.101e-03,9.095e-04,2.292e-03,1.118e-03,2.396e-03,3.742e-03,1.744e-03,2.699e-03,2.566e-03,2.524e-03,2.216e-03,2.380e-03,2.070e-03,5.217e-04,1.152e-03,7.454e-04,1.320e-03,7.260e-04,7.793e-04,1.535e-03,6.742e-04,6.929e-04,1.386e-03,1.671e-03,5.356e-04,2.191e-03
BBR Y Displacement,Monitor Only, m,-1.393e-02,-6.071e-03,-4.230e-03,-6.225e-03,-4.730e-03,-8.346e-03,-3.833e-03,-9.215e-03,-7.010e-03,-7.357e-03,-1.095e-02,-1.036e-02,-3.428e-03,-2.040e-03,-8.656e-03,-1.449e-02,-1.126e-02,-8.854e-03,-7.357e-03,-7.196e-03,-8.812e-03,-7.297e-03,-7.355e-03,-1.130e-02,-1.464e-02,-1.209e-02,-6.332e-03,-1.603e-02,-1.014e-02,-5.190e-03,-1.618e-03,-1.141e-02,-4.531e-03,-1.652e-02,-4.124e-03,-2.575e-03,-8.521e-03,-3.931e-03,-7.734e-03,-6.198e-03,-1.060e-02,-3.963e-03,-1.790e-02
BBL Y Displacement,Monitor Only, m,-1.313e-02,-5.774e-03,-3.955e-03,-5.740e-03,-4.362e-03,-7.513e-03,-2.550e-03,-8.772e-03,-6.683e-03,-6.520e-03,-1.035e-02,-8.989e-03,-3.215e-03,-1.863e-03,-8.337e-03,-1.403e-02,-1.059e-02,-8.116e-03,-6.994e-03,-6.431e-03,-8.404e-03,-6.245e-03,-6.425e-03,-1.066e-02,-1.357e-02,-1.105e-02,-5.747e-03,-1.519e-02,-9.486e-03,-4.649e-03,-1.485e-03,-1.101e-02,-4.257e-03,-1.604e-02,-3.876e-03,-2.279e-03,-7.965e-03,-3.636e-03,-7.426e-03,-5.701e-03,-9.691e-03,-3.692e-03,-1.718e-02
