Design Study 1
Scenarios/Iterations:, 140
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140
CS OD,,N/A,0.023350,0.029850,0.023350,0.023350,0.021000,0.023350,0.021250,0.027500,0.019500,0.029350,0.023350,0.019500,0.025000,0.023350,0.023350,0.023350,0.023350,0.023350,0.021600,0.018000,0.023350,0.023350,0.023350,0.017250,0.022000,0.021350,0.023350,0.023350,0.020650,0.023350,0.023350,0.023350,0.023350,0.021250,0.021350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.031000,0.018500,0.026000,0.023350,0.023350,0.023350,0.023350,0.023350,0.026000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.019500,0.025000,0.023350,0.023350,0.027350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.030000,0.027350,0.018000,0.023350,0.023350,0.023350,0.027500,0.023350,0.030000,0.023350,0.023350,0.023350,0.040000,0.023350,0.023350,0.023350,0.025500,0.023350,0.030000,0.023350,0.023350,0.023350,0.023350,0.033500,0.019500,0.023350,0.021000,0.017100,0.023350,0.020000,0.023350,0.027500,0.023350,0.023350,0.023350,0.027500,0.027500,0.022500,0.023350,0.032500,0.020250,0.021500,0.021000,0.025850,0.032000,0.033500,0.023350,0.033500,0.027500,0.027500,0.023350,0.023350,0.023350,0.022500,0.022500,0.024000,0.024000,0.019500,0.020000,0.023350,0.070000,0.025000,0.027500,0.027500,0.023350,0.027500
SS OD,,N/A,0.013000,0.013000,0.013000,0.014500,0.013000,0.013000,0.012750,0.019000,0.012500,0.019000,0.013000,0.011500,0.014000,0.019000,0.013000,0.013000,0.013000,0.013000,0.012500,0.012250,0.013000,0.013000,0.014000,0.012300,0.017500,0.013000,0.013000,0.013000,0.014500,0.013000,0.013000,0.013000,0.013000,0.012500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.019500,0.015000,0.013000,0.013000,0.013000,0.013000,0.015000,0.013000,0.013000,0.020000,0.013000,0.020000,0.020000,0.013000,0.013000,0.013000,0.012250,0.006500,0.013000,0.013000,0.016500,0.017000,0.013000,0.013000,0.013000,0.013000,0.013000,0.016500,0.016500,0.013000,0.013000,0.013000,0.013000,0.016500,0.013000,0.030000,0.013000,0.013000,0.013000,0.021500,0.013000,0.016500,0.013000,0.015000,0.015000,0.013000,0.013000,0.013000,0.015000,0.013000,0.019000,0.012250,0.013000,0.013000,0.010000,0.013000,0.013000,0.013000,0.019000,0.013000,0.013000,0.013000,0.016500,0.019000,0.016500,0.013000,0.024000,0.013000,0.013000,0.013000,0.025000,0.027000,0.022500,0.020000,0.021000,0.016500,0.016500,0.013000,0.013000,0.019000,0.016500,0.015000,0.019500,0.019500,0.012250,0.014000,0.013000,0.049000,0.016500,0.019000,0.019000,0.013000,0.019000
ST OD,,N/A,0.031800,0.031800,0.031800,0.031800,0.029000,0.031800,0.030000,0.031800,0.028000,0.030000,0.029000,0.028000,0.031800,0.026000,0.028600,0.031800,0.031800,0.031800,0.028600,0.028000,0.031800,0.028000,0.035000,0.028600,0.029000,0.036000,0.031800,0.031800,0.025400,0.031800,0.031800,0.028600,0.031800,0.031800,0.036000,0.030000,0.031800,0.031800,0.031800,0.031800,0.028000,0.031800,0.031800,0.034000,0.031800,0.031000,0.031800,0.028600,0.034000,0.031800,0.031800,0.028600,0.031800,0.031800,0.038000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.028000,0.031800,0.031800,0.036000,0.031800,0.033000,0.031800,0.028600,0.031800,0.026800,0.034800,0.035000,0.031800,0.031800,0.031800,0.030000,0.031800,0.032000,0.031800,0.035000,0.029000,0.029000,0.031800,0.040000,0.031800,0.033000,0.028600,0.034800,0.034800,0.040000,0.031800,0.031800,0.035000,0.028600,0.032000,0.031000,0.031800,0.028600,0.028600,0.031800,0.028500,0.031800,0.031800,0.031800,0.031800,0.034600,0.031800,0.031800,0.035000,0.030000,0.031800,0.028000,0.031800,0.028000,0.034000,0.037000,0.037000,0.031800,0.037000,0.035000,0.032000,0.030000,0.031800,0.031800,0.035000,0.034000,0.034900,0.034900,0.028000,0.035000,0.031800,0.040000,0.031800,0.031800,0.031800,0.031800,0.031800
CS F,,m,0.015,0.015,0.015,0.015,0.0149,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.025,0.015,0.015,0.015,0.023,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.049100,0.040000,0.051800,0.058800,0.044200,0.050100,0.040000,0.044200,0.038900,0.032000,0.033800,0.037600,0.034200,0.040800,0.036600,0.046800,0.047000,0.047900,0.031700,0.038800,0.049800,0.040600,0.048500,0.041200,0.037300,0.090000,0.046900,0.049900,0.033700,0.048900,0.048900,0.039300,0.055000,0.036900,0.049900,0.046300,0.048700,0.046600,0.049900,0.044900,0.031600,0.049000,0.035800,0.050800,0.049900,0.051500,0.049400,0.035600,0.055000,0.054900,0.045000,0.050000,0.050500,0.050500,0.060000,0.050500,0.050500,0.050000,0.050000,0.040000,0.045000,0.059000,0.059400,0.039900,0.038900,0.053100,0.049900,0.044300,0.045000,0.052900,0.054200,0.039000,0.046500,0.040100,0.047000,0.043700,0.045000,0.050800,0.043200,0.041000,0.051400,0.049600,0.050200,0.041600,0.035000,0.035000,0.049900,0.040800,0.049200,0.052000,0.040300,0.045700,0.040200,0.050000,0.047200,0.046100,0.049000,0.040700,0.050000,0.036400,0.070000,0.034100,0.037000,0.049200,0.043000,0.040000,0.043100,0.047500,0.048000,0.050200,0.041700,0.035000,0.044000,0.040000,0.041200,0.045600,0.037000,0.033000,0.045000,0.045000,0.049500,0.040000,0.059000,0.036300,0.049600,0.044000,0.041300,0.043700,0.036400,0.038000,0.045000,0.050000,0.040000,0.042400,0.054100,0.056100,0.041300,0.042500,0.043700,0.090000,0.044900
ST UX,,N/A,0.048400,0.042200,0.028900,0.058800,0.020000,0.049000,0.025000,0.054900,0.029300,0.031500,0.029600,0.026500,0.056800,0.031800,0.046800,0.014800,0.038300,0.045700,0.020300,0.027000,0.029600,0.023000,0.041500,0.144600,0.031600,0.040000,0.017800,0.049000,0.040000,0.049200,0.049200,0.020800,0.055000,0.021900,0.046200,0.045500,0.049000,0.048600,0.049000,0.050800,0.017600,0.056600,0.013400,0.046700,0.049000,0.048200,0.135000,0.018500,0.055000,0.028500,0.025000,0.030000,0.049900,0.049900,0.051800,0.039900,0.039900,0.054000,0.054000,0.054000,0.054000,0.097600,0.053600,0.048600,0.062200,0.039100,0.048500,0.052000,0.042300,0.050100,0.050900,0.044700,0.021900,0.048000,0.052900,0.095400,0.042300,0.046700,0.044700,0.083400,0.045800,0.010000,0.046700,0.169700,0.024000,0.024000,0.049000,0.085300,0.050000,0.037800,0.011400,0.073000,0.049900,0.050800,0.036500,0.046700,0.046700,0.022100,0.035000,0.097300,0.046000,0.050000,0.209300,0.047200,0.025000,0.350000,0.035400,0.050500,0.065500,0.040000,0.022100,0.120000,0.040000,0.038600,0.063500,0.031300,0.033000,0.033000,0.070000,0.067700,0.053000,0.054000,0.052000,0.061200,0.010000,0.036600,0.047900,0.017800,0.042800,0.111500,0.054000,0.054000,0.031300,0.032000,0.050900,0.032200,0.036300,0.053600,0.039000,0.025000,0.055100
HT UX,,N/A,0.035100,0.033900,0.036500,0.036000,0.035000,0.034000,0.030800,0.029600,0.035000,0.027700,0.038300,0.028800,0.034000,0.027400,0.027300,0.046000,0.057000,0.041300,0.026500,0.025800,0.033300,0.052500,0.038500,0.030000,0.030500,0.039000,0.034300,0.034000,0.030300,0.034100,0.034100,0.036000,0.045000,0.026700,0.038500,0.038600,0.033900,0.035300,0.034000,0.027100,0.026200,0.036600,0.036100,0.038700,0.034000,0.035200,0.031400,0.024600,0.030000,0.029500,0.030000,0.025100,0.028500,0.028500,0.038500,0.035000,0.035000,0.035000,0.035000,0.035000,0.025000,0.036500,0.027700,0.034000,0.027100,0.021500,0.033900,0.028300,0.038000,0.036300,0.030900,0.050400,0.033200,0.063100,0.034200,0.037000,0.038000,0.042000,0.036800,0.034300,0.030000,0.025700,0.038700,0.031600,0.027800,0.027800,0.034000,0.018500,0.038300,0.024700,0.039600,0.030700,0.038200,0.042000,0.029600,0.038000,0.033000,0.029000,0.018000,0.022300,0.038000,0.036000,0.029900,0.035900,0.030000,0.020000,0.039000,0.032400,0.032300,0.044000,0.033800,0.031000,0.028000,0.030900,0.040000,0.033900,0.030000,0.033000,0.038000,0.033000,0.045000,0.035000,0.035000,0.032500,0.025700,0.033000,0.036000,0.024200,0.027300,0.027100,0.030000,0.035000,0.029800,0.027000,0.030900,0.030000,0.033000,0.031000,0.030800,0.045200,0.029400
HT Angle,,deg,74,75,72.5,74.5,79,73,76.5,70.5,76.5,74.25,77,77,75,74.25,71,72,72.5,73,72,79,73,72.5,75,71,73,73,73,73,69,72,72,70,73,74,73,71,73,70.5,73,70.5,74,59,73,73,73,73,68.5,73,71,73,74,51.12406,71.5,71.5,73.5,72,72,71,71,71,70,74,73,73,77,74.5,73,71,71.5,73,73,72,74,73,71.5,74.5,72,73,72,70,72.63989,75,73,69,74,74,73,66.5,74.5,70,72,70.6,72.5,73,72,72.5,72.01901,77,68,77,72.5,72,72,72,78,74,78,69.3,71,73.5,74,78,80,74.5,80,79,75,78,66,63,63,69.5,61,77,75,76,72,68,76,77,69.5,70,75,76,70.5,67.1,76,70.5,70.5,72,70.5
HT Length,,m,0.148,0.0984,0.1204,0.125,0.1254,0.145,0.181,0.115,0.0903,0.11,0.0947,0.168,0.13,0.114,0.1145,0.2397,0.2573,0.12,0.1199,0.1698,0.1606,0.1316,0.1733,0.0953,0.11,0.12,0.1311,0.145,0.1463,0.18,0.16,0.0965,0.1254,0.1845,0.13,0.1376,0.1349,0.1362,0.145,0.1065,0.17,0.2,0.14,0.19,0.145,0.11,0.1,0.125,0.121,0.185,0.1147,0.11,0.1228,0.1213,0.1529,0.1242,0.1242,0.11,0.1204,0.135,0.11,0.1619,0.145,0.1449,0.1622,0.09,0.145,0.103,0.1268,0.14,0.145,0.152,0.145,0.1052,0.1632,0.1156,0.1234,0.127,0.1459,0.1353,0.08,0.12,0.17,0.2573,0.211,0.211,0.145,0.13,0.1385,0.0909,0.105,0.1286,0.143,0.145,0.12,0.175,0.18,0.13,0.113,0.0806,0.12,0.1466,0.0922,0.1264,0.1014,0.15,0.1321,0.103,0.127,0.12,0.115,0.1341,0.0984,0.182,0.0984,0.1039,0.1849,0.1102,0.12,0.11,0.145,0.103,0.13,0.0949,0.17,0.0917,0.14,0.11,0.1699,0.0829,0.105,0.1322,0.1589,0.122,0.1317,0.1064,0.0944,0.115,0.115,0.1867,0.115
ST Length,,m,0.525,0.56,0.515,0.5248,0.66,0.515,0.595,0.301,0.6693,0.2215,0.6296,0.5865,0.5968,0.2218,0.5168,0.6,0.6109,0.6057,0.5003,0.587,0.4956,0.543,0.6015,0.5906,0.2116,0.48,0.57,0.515,0.53,0.4892,0.4692,0.5008,0.521,0.6019,0.5832,0.59,0.533,0.533,0.515,0.445,0.5876,0.48,0.4934,0.6767,0.515,0.5142,0.501,0.5185,0.41,0.52,0.53,0.31,0.4899,0.4899,0.5178,0.47,0.47,0.48,0.5,0.483,0.406,0.5176,0.5196,0.515,0.6172,0.14,0.5145,0.444,0.3923,0.53,0.5169,0.5897,0.5819,0.555,0.4901,0.6534,0.3923,0.5917,0.5997,0.53,0.5858,0.18,0.6267,0.48,0.634,0.634,0.515,0.4953,0.6,0.3998,0.4914,0.528,0.42,0.5168,0.3,0.6417,0.56,0.5521,0.36,0.5873,0.476,0.53,0.7343,0.5222,0.615,0.54,0.56,0.445,0.485,0.57,0.5521,0.59,0.59,0.5786,0.59,0.5713,0.603,0.613,0.41,0.489,0.421,0.483,0.381,0.58,0.2,0.6566,0.573,0.261,0.58,0.56,0.49,0.48,0.5813,0.52,0.32,0.4507,0.52,0.301,0.301,0.5452,0.301
BB Length,,m,0.068,0.068,0.068,0.06,0.03,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.045,0.068,0.068,0.068,0.068,0.19,0.068,0.068,0.073,0.083,0.083,0.068,0.083,0.083,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.1,0.068,0.068,0.068,0.068,0.07,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.087,0.087,0.087,0.068,0.087,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Dropout Offset,,N/A,0.135000,0.130000,0.130000,0.135000,0.120000,0.135000,0.120000,0.135000,0.130000,0.110000,0.120000,0.120000,0.120000,0.110000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.135000,0.130000,0.120000,0.130000,0.150000,0.150000,0.135000,0.150000,0.150000,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.130000,0.120000,0.135000,0.130000,0.120000,0.170000,0.120000,0.130000,0.130000,0.240000,0.130000,0.130000,0.120000,0.135000,0.120000,0.135000,0.130000,0.135000,0.135000,0.130000,0.135000,0.130000,0.135000,0.130000,0.130000,0.130000,0.135000,0.120000,0.130000,0.130000,0.130000,0.130000,0.120000,0.135000,0.135000,0.130000,0.120000,0.120000,0.120000,0.130000,0.120000,0.130000,0.130000,0.130000,0.142000,0.142000,0.142000,0.135000,0.142000,0.120000,0.130000,0.130000,0.130000,0.130000,0.120000,0.120000,0.135000,0.135000,0.130000,0.120000,0.130000,0.135000,0.120000,0.135000,0.135000,0.130000,0.135000
SSB OD,,N/A,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.016000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.018000,0.000000,0.000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.018000,0.018000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022000,0.018000,0.018000,0.018000,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
